,Historical mean,OLS,OLS oriented,Monotone linear,Ridge,Lasso,Elastic net,Explicit interactions,Random forest,Gradient boosting,MLP
Historical mean,0.0,0.015227020710816556,0.015227020679636976,0.016466625360827034,0.016415989524477283,0.018166650534891516,0.01942032279578822,0.021841280177200037,0.014677278437854296,0.01634734757293497,0.02276304594310136
OLS,0.015227020710816556,0.0,-0.011852900003270817,0.0036899018112235595,-0.012207036480099543,0.01522702066134068,-0.007937299530512433,-5.0348283743231575e-18,-0.013182883578378473,-0.012614044936460065,-0.01655748909129325
OLS oriented,0.015227020679636976,-0.011852900003270817,0.0,0.003689901811223563,-0.012207036480099529,0.015227020661340686,-0.007937299530512438,2.675053741129314e-18,-0.01318288357837846,-0.012614044936460164,-0.016557489091293245
Monotone linear,0.016466625360827034,0.0036899018112235595,0.003689901811223563,0.0,0.004901984221054579,0.01646662536082702,0.008259976159334059,0.011904665780927332,0.0025388638006858134,0.004172455784454484,0.011380502642595899
Ridge,0.016415989524477283,-0.012207036480099543,-0.012207036480099529,0.004901984221054579,0.0,0.016415989524477304,-0.00852548331224925,0.0008554036418188289,-0.01412846952907178,-0.01232856618903176,-0.015824807760263036
Lasso,0.018166650534891516,0.01522702066134068,0.015227020661340686,0.01646662536082702,0.016415989524477304,0.0,0.019420323311870574,0.021841280092562188,0.014677278492742685,0.016347347531672447,0.02276304544812214
Elastic net,0.01942032279578822,-0.007937299530512433,-0.007937299530512438,0.008259976159334059,-0.00852548331224925,0.019420323311870574,0.0,0.005038021172764645,-0.013563790494268412,-0.006612613119098077,-0.007096781137492227
Explicit interactions,0.021841280177200037,-5.0348283743231575e-18,2.675053741129314e-18,0.011904665780927332,0.0008554036418188289,0.021841280092562188,0.005038021172764645,0.0,0.0038325271610825224,-0.00447207407171059,0.0014152544781640827
Random forest,0.014677278437854296,-0.013182883578378473,-0.01318288357837846,0.0025388638006858134,-0.01412846952907178,0.014677278492742685,-0.013563790494268412,0.0038325271610825224,0.0,-0.011274207664356155,-0.008089931067131332
Gradient boosting,0.01634734757293497,-0.012614044936460065,-0.012614044936460164,0.004172455784454484,-0.01232856618903176,0.016347347531672447,-0.006612613119098077,-0.00447207407171059,-0.011274207664356155,0.0,-0.013007230634228536
MLP,0.02276304594310136,-0.01655748909129325,-0.016557489091293245,0.011380502642595899,-0.015824807760263036,0.02276304544812214,-0.007096781137492227,0.0014152544781640827,-0.008089931067131332,-0.013007230634228536,0.0
