,market_loss_1d,vix,realized_volatility_20d,drawdown_severity,liquidity_stress_20d,baa_credit_spread_pct,term_spread_10y_2y_pct,average_equity_correlation_60d,negative_momentum_21d,lagged_portfolio_loss_1d
market_loss_1d,0.0,2.2197963884247374e-18,-3.683770488550301e-18,2.1584916393939986e-17,1.935455763911266e-17,1.9081958235744875e-17,1.386126663185277e-17,1.9280212347285084e-17,3.852639279304491e-18,-2.095435817806905e-18
vix,2.2197963884247374e-18,0.0,-7.734405736020584e-19,-6.7839218314749744e-18,2.4026264333444606e-18,-7.251677625890151e-18,2.6235971618321573e-19,-1.4757196236608277e-18,8.189297385611436e-18,-2.3797377208142136e-18
realized_volatility_20d,-3.683770488550301e-18,-7.734405736020584e-19,0.0,-1.1938528731520344e-17,4.38516754874653e-18,-1.0820251633613868e-17,-2.777536660766638e-18,2.4248267635429784e-19,2.5060128547921898e-18,-4.494448243909748e-18
drawdown_severity,2.1584916393939986e-17,-6.7839218314749744e-18,-1.1938528731520344e-17,0.0,3.981603406765814e-18,1.5777723043408093e-18,2.4410037483387928e-17,-6.030229226014605e-19,2.9624533646294393e-18,-2.5877668614650844e-17
liquidity_stress_20d,1.935455763911266e-17,2.4026264333444606e-18,4.38516754874653e-18,3.981603406765814e-18,0.0,2.387309926463321e-18,2.5120448049740332e-17,-8.260587980841909e-21,-1.3782920117721985e-18,4.7195492663876944e-18
baa_credit_spread_pct,1.9081958235744875e-17,-7.251677625890151e-18,-1.0820251633613868e-17,1.5777723043408093e-18,2.387309926463321e-18,0.0,2.3773972208863098e-17,-7.599740942374583e-19,1.4694381348837278e-18,-2.4630319829543712e-17
term_spread_10y_2y_pct,1.386126663185277e-17,2.6235971618321573e-19,-2.777536660766638e-18,2.4410037483387928e-17,2.5120448049740332e-17,2.3773972208863098e-17,0.0,2.23366299001966e-17,1.0077573145461297e-17,-3.681468710128557e-18
average_equity_correlation_60d,1.9280212347285084e-17,-1.4757196236608277e-18,2.4248267635429784e-19,-6.030229226014605e-19,-8.260587980841909e-21,-7.599740942374583e-19,2.23366299001966e-17,0.0,2.6728595224468964e-19,-2.871105029207963e-17
negative_momentum_21d,3.852639279304491e-18,8.189297385611436e-18,2.5060128547921898e-18,2.9624533646294393e-18,-1.3782920117721985e-18,1.4694381348837278e-18,1.0077573145461297e-17,2.6728595224468964e-19,0.0,-9.155485012099667e-20
lagged_portfolio_loss_1d,-2.095435817806905e-18,-2.3797377208142136e-18,-4.494448243909748e-18,-2.5877668614650844e-17,4.7195492663876944e-18,-2.4630319829543712e-17,-3.681468710128557e-18,-2.871105029207963e-17,-9.155485012099667e-20,0.0
