first,second,mean,std,min,max,count,sign persistence,mean absolute interaction
market_excess_return,size_spread,0.05835416624503052,0.013978790766145896,0.04012022969502833,0.07119253123299288,5,1.0,0.058354166245030516
market_excess_return,momentum_spread,0.04464433590111475,0.04074923820443531,-1.7470981278392892e-18,0.10807104651583098,5,0.8,0.04464433590111475
market_excess_return,sector_excess_return,0.0371087346637635,0.01741200664117124,0.016488912502665418,0.06466731054299268,5,1.0,0.03710873466376351
sector_excess_return,size_spread,0.026060060255672174,0.04853623044416552,-0.02492334887508088,0.10658398746841737,5,0.8,0.03602939980570453
market_excess_return,low_volatility_spread,0.012453796303368245,0.03426595701378707,-0.048170501843174444,0.03419307875931632,5,0.8,0.03172199704063802
size_spread,quality_spread,-0.030752484039848944,0.028466121884891428,-0.06427849744968428,0.0005273372697630495,5,0.8,0.030963418947754166
size_spread,value_growth_spread,0.026898160938730327,0.02448340650037125,0.004320458114608068,0.06519276306760541,5,1.0,0.026898160938730327
size_spread,momentum_spread,0.025965752072898873,0.01818670196890798,-1.7470981278392892e-18,0.04724059537428403,5,0.8,0.025965752072898873
sector_excess_return,value_growth_spread,-0.0065491943054897805,0.03264878991226332,-0.04281504221627047,0.04605021989385786,5,0.8,0.02496928226303292
market_excess_return,quality_spread,0.01696482081678303,0.023201279450873687,-0.018795039081499876,0.04618019408923943,5,0.8,0.024482836449382976
sector_excess_return,low_volatility_spread,-0.009544951140520768,0.02658094017620296,-0.03507258961838349,0.03452749451573666,5,0.8,0.02335594894681543
market_excess_return,value_growth_spread,0.02070936777507957,0.010886294353627552,0.004321825473870226,0.034498249929652496,5,1.0,0.02070936777507957
quality_spread,low_volatility_spread,-0.01615648467542429,0.01212873915087662,-0.035315844294210814,-0.00548954090079537,5,1.0,0.01615648467542429
momentum_spread,quality_spread,-0.011710126478034188,0.01571218537184694,-0.03037962673359166,0.008111508090929743,5,0.6,0.01495472971440609
sector_excess_return,quality_spread,0.0026700089996567313,0.017325472178978264,-0.014477079163822392,0.030867804236367775,5,0.6,0.01201977273636366
value_growth_spread,low_volatility_spread,0.005795058615714828,0.011930718743265262,-0.010836703603776534,0.015732584439981954,5,0.6,0.011286052916010317
value_growth_spread,momentum_spread,-0.008519720731976006,0.008055440699134012,-0.01629997078552952,0.00017778971302962607,5,0.8,0.008590836617187857
value_growth_spread,quality_spread,0.004866986693331535,0.00582468295556305,-0.004295646272495773,0.010330103291032296,5,0.8,0.006585245202329844
size_spread,low_volatility_spread,0.005588108246553415,0.006061441952956743,-0.0020673316315428444,0.012836116876037123,5,0.8,0.006415040899170553
sector_excess_return,momentum_spread,-0.006090581214913067,0.007563807543040024,-0.01751307573150309,-1.7470981278392892e-18,5,1.0,0.006090581214913066
momentum_spread,low_volatility_spread,-0.001440131070210044,0.0065052159512904275,-0.006115974479767651,0.009349130676314682,5,0.6,0.005179783340735918
