,market_excess_return,sector_excess_return,size_spread,value_growth_spread,momentum_spread,quality_spread,low_volatility_spread
market_excess_return,0.0,0.0993434149055566,0.016090424955112148,-0.03907511738742034,-0.024746732693315183,0.016031425875004494,3.0357660829594124e-18
sector_excess_return,0.0993434149055566,0.0,8.037552105359207e-18,0.06637098159940831,0.020587055291276475,-0.00041296992658551606,6.7365094983766e-18
size_spread,0.016090424955112148,8.037552105359207e-18,0.0,-3.4839029809200875e-18,3.2236944595235666e-18,-0.0018765686436885657,2.8912057932946875e-20
value_growth_spread,-0.03907511738742034,0.06637098159940831,-3.4839029809200875e-18,0.0,0.010508169473214653,-0.007666101047499527,2.6020852139652086e-19
momentum_spread,-0.024746732693315183,0.020587055291276475,3.2236944595235666e-18,0.010508169473214653,0.0,0.009836158786136664,1.8792837656415413e-18
quality_spread,0.016031425875004494,-0.00041296992658551606,-0.0018765686436885657,-0.007666101047499527,0.009836158786136664,0.0,6.360652745248291e-19
low_volatility_spread,3.0357660829594124e-18,6.7365094983766e-18,2.8912057932946875e-20,2.6020852139652086e-19,1.8792837656415413e-18,6.360652745248291e-19,0.0
