,value
ADF statistic,-18.712104788949752
p-value,2.0344900143935536e-30
used lags,8.0
observations,3152.0
critical value 1%,-3.4324263431163704
critical value 5%,-2.8624574007945007
critical value 10%,-2.567258353800826
