fold,model,OOS start,OOS end,best parameters
1,MLP [balanced],2021-01-01,2022-01-01,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (16,), 'classifier__learning_rate_init': 0.0003, 'classifier__solver': 'adam'}"
1,MLP [unweighted],2021-01-01,2022-01-01,"{'classifier__alpha': 0.001, 'classifier__hidden_layer_sizes': (8,), 'classifier__learning_rate_init': 0.0003, 'classifier__solver': 'lbfgs'}"
1,Penalized logistic [balanced],2021-01-01,2022-01-01,{'classifier__C': 0.01}
1,Penalized logistic [unweighted],2021-01-01,2022-01-01,{'classifier__C': 0.01}
1,RBF SVM [balanced],2021-01-01,2022-01-01,"{'classifier__C': 1.0, 'classifier__gamma': 'scale'}"
1,RBF SVM [unweighted],2021-01-01,2022-01-01,"{'classifier__C': 1.0, 'classifier__gamma': 'scale'}"
1,Random forest [balanced],2021-01-01,2022-01-01,"{'classifier__max_depth': 3, 'classifier__min_samples_leaf': 20}"
1,Random forest [unweighted],2021-01-01,2022-01-01,"{'classifier__max_depth': 3, 'classifier__min_samples_leaf': 20}"
1,Rolling prior probability,2021-01-01,2022-01-01,{}
2,Choquistic 1-additive [balanced],2022-01-01,2023-01-01,{}
2,Choquistic 1-additive [unweighted],2022-01-01,2023-01-01,{}
2,Choquistic 2-additive [balanced],2022-01-01,2023-01-01,{}
2,Choquistic 2-additive [unweighted],2022-01-01,2023-01-01,{}
2,Choquistic model aggregator [balanced],2022-01-01,2023-01-01,"{'capacity': '2-additive', 'class weight': 'balanced', 'base models': ['Rolling prior probability', 'Logistic [balanced]', 'Logistic oriented [balanced]', 'Penalized logistic [balanced]', 'Explicit interactions [balanced]', 'RBF SVM [balanced]', 'Random forest [balanced]', 'Gradient boosting [balanced]', 'MLP [balanced]']}"
2,Choquistic model aggregator [unweighted],2022-01-01,2023-01-01,"{'capacity': '2-additive', 'class weight': 'unweighted', 'base models': ['Rolling prior probability', 'Logistic [unweighted]', 'Logistic oriented [unweighted]', 'Penalized logistic [unweighted]', 'Explicit interactions [unweighted]', 'RBF SVM [unweighted]', 'Random forest [unweighted]', 'Gradient boosting [unweighted]', 'MLP [unweighted]']}"
2,Explicit interactions [balanced],2022-01-01,2023-01-01,{'classifier__logistic__C': 0.01}
2,Explicit interactions [unweighted],2022-01-01,2023-01-01,{'classifier__logistic__C': 0.01}
2,Fuzzy Choquet neural network [balanced],2022-01-01,2023-01-01,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (32,), 'classifier__mlp_solver': 'adam'}"
