model,base model,probability calibration,threshold source,ROC AUC,PR AUC,Precision,Recall,F1,Brier,Log loss,Mean predicted probability,Observed event prevalence,Calibration gap,Absolute calibration gap,Threshold,Predicted event rate,Observed event rate,validation PR AUC,selection runtime seconds,refit runtime seconds,calibration runtime seconds,parameter count,calibration observations,calibration event prevalence,OOS folds
Choquistic 2-additive,Choquistic 2-additive,uncalibrated,selection validation,0.7420278763422157,0.1204817419026731,0.05154639175257732,0.7407407407407407,0.0963855421686747,0.18854985635312488,0.5847433461025904,0.39042123685195756,0.03270745003028468,0.3577137868216729,0.3577137868216729,0.4680978147023477,0.4700181708055724,0.03270745003028468,0.07333095475188109,7.482905900000105,7.532637799999975,0.0,57.0,3514,0.032725918139599595,7
Choquistic 1-additive,Choquistic 1-additive,uncalibrated,selection validation,0.712916579698045,0.07403614931828684,0.06430868167202572,0.7407407407407407,0.11834319526627218,0.24892789342763166,0.7337143062009023,0.4546905115411564,0.03270745003028468,0.4219830615108717,0.4219830615108717,0.5807307209249397,0.3767413688673531,0.03270745003028468,0.05956876293336822,2.015974900000174,1.6793868999998267,0.0,12.0,3514,0.032725918139599595,7
Logistic,Logistic,uncalibrated,selection validation,0.6242723625315986,0.06426367303072089,0.05555555555555555,0.5370370370370371,0.10069444444444445,0.5236858220815326,1.5824594937893903,0.701416080922057,0.03270745003028468,0.6687086308917723,0.6687086308917723,0.6898232975927167,0.31617201695941854,0.03270745003028468,0.058126995510574715,0.06733780000013212,0.04979830000002039,0.0,11.0,3514,0.032725918139599595,7
Logistic oriented,Logistic oriented,uncalibrated,selection validation,0.6242723625315986,0.06426367303072089,0.05555555555555555,0.5370370370370371,0.10069444444444445,0.5236858220815326,1.5824594937893903,0.701416080922057,0.03270745003028468,0.6687086308917723,0.6687086308917723,0.6898232975927167,0.31617201695941854,0.03270745003028468,0.058126995510574715,0.07976069999972424,0.05682010000009541,0.0,11.0,3514,0.032725918139599595,7
