model,stress observations,MSE,RMSE,MAE,Tail-weighted MAE,OOS R2,Correlation
Fuzzy Choquet neural network,80,0.0001799757356143435,0.013415503554259285,0.010701040588706658,0.013029810678819273,-0.009131816855648012,-0.2493418192948206
Gradient boosting,80,0.0001815376803609807,0.013473591962093134,0.010616451627776037,0.012238549432326553,-0.017889709327218117,0.17528914088824382
Random forest,80,0.00018632407217909544,0.013650057588856372,0.010889579989849813,0.01351127896376553,-0.04472721747857911,-0.06930530016908619
Historical mean,80,0.0001928760273087543,0.013887981397912164,0.011119773077527016,0.014297927403894425,-0.0814643162957065,
Choquet 2-additive scaled-q L1,80,0.0001928760273087543,0.013887981397912164,0.011119773077527016,0.014297927403894425,-0.0814643162957065,
Choquet 2-additive scaled-q,80,0.0001928760273087543,0.013887981397912164,0.011119773077527016,0.014297927403894425,-0.0814643162957065,
Choquet 1-additive scaled-q,80,0.0001928760273087543,0.013887981397912164,0.011119773077527016,0.014297927403894425,-0.0814643162957065,
Monotone linear,80,0.00019894099795310182,0.014104644552526016,0.011274428372079792,0.01458342317443745,-0.11547087181617632,-0.1716555787185444
Lasso,80,0.0002058519477775812,0.014347541523814495,0.011546642416015284,0.014782293267584463,-0.1542208695798708,-0.2903018819703643
Choquet 2-additive L1,80,0.00021362669676736477,0.01461597402732246,0.011099810592464319,0.015253275739592889,-0.19781422702261509,0.12442684591683392
Choquet 1-additive,80,0.00021445715258968317,0.014644355656350442,0.011139984239554231,0.015243395593403234,-0.20247062912000846,0.10523132549095748
Elastic net,80,0.0002153740466749972,0.014675627641603517,0.011800302916407027,0.015139186770775175,-0.2076116943364874,-0.2698486834703548
Choquet 2-additive,80,0.00023852908800432797,0.015444386941679749,0.011915967194542963,0.016266472705125323,-0.3374430232446546,0.028016556778964603
Choquet model aggregator,80,0.0002386182264647061,0.015447272460363547,0.012530656163177344,0.015778839824303115,-0.3379428264884978,-0.29607870025594196
MLP,80,0.00026737671855419043,0.016351657975697462,0.012994671172323414,0.015981260642194454,-0.499192948752075,-0.34588388253317837
Ridge,80,0.00028936300504563963,0.0170106732684406,0.013819237230533826,0.017673791648558347,-0.6224710181945463,-0.207652559666101
OLS,80,0.0002959294047517637,0.017202598779014863,0.013994461033414419,0.017895179895352574,-0.6592891083833288,-0.20011148100543827
OLS oriented,80,0.0002959294047517637,0.017202598779014863,0.013994461033414419,0.017895179895352574,-0.6592891083833288,-0.20011148100543827
Explicit interactions,80,0.0007003933213225544,0.026464945141121195,0.021548936608568225,0.02400126519075308,-2.927135968897032,-0.38406010860359246
