,Rolling prior probability,Logistic [unweighted],Logistic oriented [unweighted],Penalized logistic [unweighted],Explicit interactions [unweighted],RBF SVM [unweighted],Random forest [unweighted],Gradient boosting [unweighted],MLP [unweighted]
Rolling prior probability,0.0,5.838125326067665e-17,-1.3142908630906326e-16,-2.140863958468902e-17,1.439168750849896e-17,4.399131405701533e-17,-1.1279477349707195e-16,-9.697631884588551e-17,-2.3606469967368853e-17
Logistic [unweighted],5.838125326067665e-17,0.0,3.3944501335781825e-17,-2.0176916900676577e-16,8.746789088143437e-17,-2.7615606062673106e-16,3.3100416117893855e-17,-1.5075398502604175e-17,3.9658440862022464e-17
Logistic oriented [unweighted],-1.3142908630906326e-16,3.3944501335781825e-17,0.0,3.3291110823569175e-16,-3.655189789058582e-17,2.551001636250471e-16,1.8053321985224368e-17,2.703293077735778e-17,1.9379676600443436e-17
Penalized logistic [unweighted],-2.140863958468902e-17,-2.0176916900676577e-16,3.3291110823569175e-16,0.0,1.547207895470682e-16,3.671481213443349e-18,-2.1734135037452397e-17,-6.347197482681732e-18,-1.0962731313475704e-16
Explicit interactions [unweighted],1.439168750849896e-17,8.746789088143437e-17,-3.655189789058582e-17,1.547207895470682e-16,0.0,7.290878431444278e-18,-6.289189595406047e-17,1.7457904375367454e-17,7.233313497999567e-17
RBF SVM [unweighted],4.399131405701533e-17,-2.7615606062673106e-16,2.551001636250471e-16,3.671481213443349e-18,7.290878431444278e-18,0.0,4.762890031920207e-17,-5.1669277643140265e-19,-2.7204304334533493e-17
Random forest [unweighted],-1.1279477349707195e-16,3.3100416117893855e-17,1.8053321985224368e-17,-2.1734135037452397e-17,-6.289189595406047e-17,4.762890031920207e-17,0.0,7.927289668250253e-17,1.0931092888002495e-16
Gradient boosting [unweighted],-9.697631884588551e-17,-1.5075398502604175e-17,2.703293077735778e-17,-6.347197482681732e-18,1.7457904375367454e-17,-5.1669277643140265e-19,7.927289668250253e-17,0.0,7.980952962331999e-17
MLP [unweighted],-2.3606469967368853e-17,3.9658440862022464e-17,1.9379676600443436e-17,-1.0962731313475704e-16,7.233313497999567e-17,-2.7204304334533493e-17,1.0931092888002495e-16,7.980952962331999e-17,0.0
