,portfolio loss
count,3161.0
mean,-0.0007826261310642493
std,0.011585561304641716
min,-0.09128542018079412
25%,-0.00633719892958842
50%,-0.0011777905928000616
75%,0.004089603426253566
max,0.12702089402181627
