fold,model,feature,Shapley importance
1,Choquet 1-additive scaled-q,lagged_portfolio_loss_1d,0.10000000000000013
1,Choquet 1-additive scaled-q,liquidity_stress_20d,0.10000000000000013
1,Choquet 1-additive scaled-q,market_loss_1d,0.10000000000000013
1,Choquet 1-additive scaled-q,negative_momentum_21d,0.10000000000000013
1,Choquet 1-additive scaled-q,realized_volatility_20d,0.10000000000000013
1,Choquet 1-additive scaled-q,term_spread_10y_2y_pct,0.10000000000000013
1,Choquet 1-additive scaled-q,vix,0.10000000000000013
1,Choquet 2-additive,average_equity_correlation_60d,1.5958732382892083e-05
1,Choquet 2-additive,baa_credit_spread_pct,-8.263014559269213e-19
1,Choquet 2-additive,drawdown_severity,1.3820180726671478e-17
1,Choquet 2-additive,lagged_portfolio_loss_1d,0.4067388612830417
1,Choquet 2-additive,liquidity_stress_20d,0.0012500830331457309
1,Choquet 2-additive,market_loss_1d,0.39853354693934057
1,Choquet 2-additive,negative_momentum_21d,0.01632835447761144
1,Choquet 2-additive,realized_volatility_20d,0.0810034283208299
1,Choquet 2-additive,term_spread_10y_2y_pct,0.077654600696102
1,Choquet 2-additive,vix,0.018475166517545313
1,Choquet 2-additive L1,average_equity_correlation_60d,0.0072078048061661425
1,Choquet 2-additive L1,baa_credit_spread_pct,0.0004962884670581348
1,Choquet 2-additive L1,drawdown_severity,0.0004888190375052789
1,Choquet 2-additive L1,lagged_portfolio_loss_1d,0.49553602052861845
1,Choquet 2-additive L1,liquidity_stress_20d,0.013809436192480559
1,Choquet 2-additive L1,market_loss_1d,0.4656482975537197
1,Choquet 2-additive L1,negative_momentum_21d,0.0027914930198010787
1,Choquet 2-additive L1,realized_volatility_20d,0.0038290635460829056
1,Choquet 2-additive L1,term_spread_10y_2y_pct,0.009676660049377008
1,Choquet 2-additive L1,vix,0.0005161167991909461
1,Choquet 2-additive scaled-q,average_equity_correlation_60d,0.10000000000000013
1,Choquet 2-additive scaled-q,baa_credit_spread_pct,0.10000000000000013
1,Choquet 2-additive scaled-q,drawdown_severity,0.10000000000000013
1,Choquet 2-additive scaled-q,lagged_portfolio_loss_1d,0.10000000000000013
1,Choquet 2-additive scaled-q,liquidity_stress_20d,0.10000000000000013
1,Choquet 2-additive scaled-q,market_loss_1d,0.10000000000000013
1,Choquet 2-additive scaled-q,negative_momentum_21d,0.10000000000000013
1,Choquet 2-additive scaled-q,realized_volatility_20d,0.10000000000000013
1,Choquet 2-additive scaled-q,term_spread_10y_2y_pct,0.10000000000000013
1,Choquet 2-additive scaled-q,vix,0.10000000000000013
1,Choquet 2-additive scaled-q L1,average_equity_correlation_60d,0.10000000000000013
1,Choquet 2-additive scaled-q L1,baa_credit_spread_pct,0.10000000000000013
1,Choquet 2-additive scaled-q L1,drawdown_severity,0.10000000000000013
1,Choquet 2-additive scaled-q L1,lagged_portfolio_loss_1d,0.10000000000000013
1,Choquet 2-additive scaled-q L1,liquidity_stress_20d,0.10000000000000013
1,Choquet 2-additive scaled-q L1,market_loss_1d,0.10000000000000013
1,Choquet 2-additive scaled-q L1,negative_momentum_21d,0.10000000000000013
1,Choquet 2-additive scaled-q L1,realized_volatility_20d,0.10000000000000013
1,Choquet 2-additive scaled-q L1,term_spread_10y_2y_pct,0.10000000000000013
1,Choquet 2-additive scaled-q L1,vix,0.10000000000000013
1,Choquet model aggregator,Elastic net,0.09793904213450402
1,Choquet model aggregator,Explicit interactions,0.04135431104425028
1,Choquet model aggregator,Gradient boosting,0.09259984071760875
1,Choquet model aggregator,Historical mean,0.09763205358025659
1,Choquet model aggregator,Lasso,0.09782263170682985
1,Choquet model aggregator,MLP,0.09133212672110694
1,Choquet model aggregator,Monotone linear,0.0977230554269105
1,Choquet model aggregator,OLS,0.09632962302015928
1,Choquet model aggregator,OLS oriented,0.09632962303480416
1,Choquet model aggregator,Random forest,0.09461134419735445
1,Choquet model aggregator,Ridge,0.09632634841621524
1,Fuzzy Choquet neural network,average_equity_correlation_60d,0.10000000000000013
1,Fuzzy Choquet neural network,baa_credit_spread_pct,0.10000000000000013
1,Fuzzy Choquet neural network,drawdown_severity,0.10000000000000013
1,Fuzzy Choquet neural network,lagged_portfolio_loss_1d,0.10000000000000013
1,Fuzzy Choquet neural network,liquidity_stress_20d,0.10000000000000013
1,Fuzzy Choquet neural network,market_loss_1d,0.10000000000000013
1,Fuzzy Choquet neural network,negative_momentum_21d,0.10000000000000013
1,Fuzzy Choquet neural network,realized_volatility_20d,0.10000000000000013
1,Fuzzy Choquet neural network,term_spread_10y_2y_pct,0.10000000000000013
1,Fuzzy Choquet neural network,vix,0.10000000000000013
2,Choquet 1-additive,average_equity_correlation_60d,0.021505077906764765
2,Choquet 1-additive,baa_credit_spread_pct,5.3474668906579815e-19
2,Choquet 1-additive,drawdown_severity,-1.199019505230937e-18
2,Choquet 1-additive,lagged_portfolio_loss_1d,0.48962617442167394
2,Choquet 1-additive,liquidity_stress_20d,0.006340748551243924
2,Choquet 1-additive,market_loss_1d,0.465372998924252
2,Choquet 1-additive,negative_momentum_21d,-1.1902533864752256e-18
2,Choquet 1-additive,realized_volatility_20d,0.0001026530317322308
2,Choquet 1-additive,term_spread_10y_2y_pct,0.017052347164331686
2,Choquet 1-additive,vix,-8.646200402327822e-18
2,Choquet 1-additive scaled-q,average_equity_correlation_60d,0.10000000000000013
2,Choquet 1-additive scaled-q,baa_credit_spread_pct,0.10000000000000013
2,Choquet 1-additive scaled-q,drawdown_severity,0.10000000000000013
2,Choquet 1-additive scaled-q,lagged_portfolio_loss_1d,0.10000000000000013
2,Choquet 1-additive scaled-q,liquidity_stress_20d,0.10000000000000013
