,count,mean,std,min,25%,50%,75%,max
market_loss_1d,3161.0,-0.0005097238814713585,0.010852436832427417,-0.09986271079661346,-0.005752547589112922,-0.0006769318334267638,0.0036478159661958998,0.1158866450626963
small_cap_relative_loss_1d,3161.0,0.00016067479578799862,0.0070390550182661184,-0.04397288941072741,-0.003831043076020002,0.00030883241542056794,0.004396386049153378,0.029405444657308877
vix,3162.0,18.034029095509172,6.847330574140601,9.14,13.4725,16.345,20.7,82.69
vix_change_1d,3161.0,0.0009047769693135105,1.89251336569849,-18.71,-0.7399999999999984,-0.10000000000000142,0.5899999999999999,24.86
realized_volatility_20d,3142.0,0.1575072172828007,0.0962151382372052,0.046347836165331516,0.10294603181894892,0.13068635509938642,0.18000573041593673,0.9654558374765321
realized_volatility_60d,3102.0,0.16421603245081234,0.08560690944838091,0.0750499985752968,0.11159808091821957,0.13345048823455882,0.19253346058065907,0.6392813038156748
drawdown_severity,3161.0,0.035955410942372805,0.04842025266055308,-0.0,0.002814613260566534,0.015182696694561404,0.04967876090449597,0.3100588459434922
negative_momentum_21d,3141.0,-0.016489476823908465,0.04573513262827631,-0.23099077120508435,-0.044143006510671795,-0.021626140787696743,0.0049263985011221215,0.3477519064323579
lagged_portfolio_loss_1d,3160.0,-0.0007765000170334849,0.01158227322002161,-0.09128542018079412,-0.0063356778065021884,-0.001177639848202103,0.004092033990249402,0.12702089402181627
lagged_portfolio_loss_5d,3156.0,-0.0038901831056510966,0.023657667729973256,-0.14800781009689548,-0.017283474091230534,-0.005700621028375369,0.007424460135154737,0.18748369664934034
liquidity_stress_20d,3141.0,0.5248993462901348,0.13859111777965694,0.2696990012878849,0.42445542247771273,0.4901757385396083,0.6134906245355192,1.1655655430374945
baa_credit_spread_pct,3162.0,2.161853257432005,0.4808554869597258,1.36,1.81,2.12,2.3775,4.31
baa_credit_spread_change_5d_bps,3157.0,-0.1130820399113082,7.928239417647916,-55.00000000000003,-4.0000000000000036,0.0,3.0000000000000027,93.00000000000006
term_spread_10y_2y_pct,3162.0,0.60955091714105,0.736813973454712,-1.0800000000000005,0.17250000000000054,0.54,1.08,2.61
treasury_2y_change_5d_bps,3157.0,0.6119733924611973,10.598826778907142,-111.99999999999997,-3.9999999999999982,0.0,5.000000000000027,70.00000000000001
fed_funds_effective_pct,3162.0,1.9223655913978492,1.9004189172852617,0.04,0.12,1.42,3.64,5.33
average_equity_correlation_60d,3102.0,0.2769261575001151,0.156530958338241,-0.009412440732904249,0.15288787511048121,0.25592509550943265,0.3853862959567263,0.7960744315348802
sector_return_dispersion_20d,3142.0,0.007628786926748351,0.0028535894059493307,0.002809546372610776,0.005583156990911348,0.007151698713423953,0.009096582451100678,0.025268056952504024
equity_return_dispersion_20d,3142.0,0.013157924649060238,0.0037393638472361587,0.006721827800665728,0.01029264358233482,0.012606366710958725,0.015412995174485201,0.030442216175770014
portfolio_loss_1d,3161.0,-0.0007826261310642493,0.011585561304641716,-0.09128542018079412,-0.00633719892958842,-0.0011777905928000616,0.004089603426253566,0.12702089402181627
future_loss_h1,3161.0,-0.0007826261310642493,0.011585561304641716,-0.09128542018079412,-0.00633719892958842,-0.0011777905928000616,0.004089603426253566,0.12702089402181627
historical_var_h1_a0p95,2912.0,0.017672528201182706,0.006843430050230245,0.008268534188576166,0.013070134729460881,0.015748625459354675,0.02181464978380281,0.03792393955533934
tail_event_h1_a0p95,2911.0,0.05530745448299553,0.22861866674953726,0.0,0.0,0.0,0.0,1.0
historical_var_h1_a0p975,2912.0,0.02338739608191362,0.009462624722337947,0.010108827267048074,0.017061604959190832,0.02210303629549202,0.02822107129969524,0.04690192487170036
tail_event_h1_a0p975,2911.0,0.03297835795259361,0.17861059568873724,0.0,0.0,0.0,0.0,1.0
future_loss_h5,3157.0,-0.003897833834467576,0.02365782519791757,-0.14800781009689548,-0.017302546085369443,-0.0057078639584558204,0.007414459206230676,0.18748369664934034
historical_var_h5_a0p95,2908.0,0.03534846845947511,0.015261493363838597,0.01202561060085349,0.023699754892864792,0.03159316411227948,0.048900912389685296,0.06722776595028053
tail_event_h5_a0p95,2903.0,0.05821563899414399,0.23419109944207436,0.0,0.0,0.0,0.0,1.0
historical_var_h5_a0p975,2908.0,0.04803488105760018,0.0250841254544394,0.013661427397211755,0.02997830368819874,0.04245441697551458,0.05795122276652219,0.1162892889846491
tail_event_h5_a0p975,2903.0,0.035825008611780916,0.18588566391669395,0.0,0.0,0.0,0.0,1.0
future_loss_h10,3152.0,-0.007815124140037504,0.032448428835013476,-0.17530993421870755,-0.027425656908028763,-0.010765242865663445,0.007580503421955325,0.24228303777719545
historical_var_h10_a0p95,2903.0,0.04804967118135936,0.026385449500120478,0.010268884555557483,0.0269262358725005,0.0421343202150895,0.06480283639167485,0.10586891437992718
tail_event_h10_a0p95,2893.0,0.06463878326996197,0.24592990287080432,0.0,0.0,0.0,0.0,1.0
historical_var_h10_a0p975,2903.0,0.061993798156542664,0.03217474001872044,0.013751944745923854,0.03319198326976958,0.056909737743444905,0.08650301818942245,0.13696880896046187
tail_event_h10_a0p975,2893.0,0.04666436225371587,0.21095540348599903,0.0,0.0,0.0,0.0,1.0
