first,second,interaction,interpretation
Random forest [balanced],MLP [balanced],0.2484056037109882,complementary
Rolling prior probability,Random forest [balanced],0.027404205815296727,complementary
Rolling prior probability,MLP [balanced],0.010151011376791854,complementary
Logistic oriented [balanced],MLP [balanced],-1.7360665572140747e-16,redundant
Logistic oriented [balanced],Gradient boosting [balanced],-1.6678824153376327e-16,redundant
Logistic oriented [balanced],Explicit interactions [balanced],-1.635951818084599e-16,redundant
Logistic [balanced],Explicit interactions [balanced],1.5809654604877598e-16,complementary
Logistic [balanced],Logistic oriented [balanced],-1.5653975480827344e-16,redundant
RBF SVM [balanced],Gradient boosting [balanced],-1.560195718413943e-16,redundant
Rolling prior probability,Logistic [balanced],-1.484433376733318e-16,redundant
Penalized logistic [balanced],Explicit interactions [balanced],-1.4430173224870755e-16,redundant
Logistic [balanced],MLP [balanced],1.371321729789777e-16,complementary
