model,base model,class weight,probability calibration,evaluation_structure,ROC AUC,PR AUC,validation PR AUC
Choquistic 2-additive [balanced],Choquistic 2-additive,balanced,uncalibrated,rolling_5y,0.7412973399197569,0.12659694320430032,0.0707532414782913
Choquistic 2-additive [balanced] [sigmoid],Choquistic 2-additive,balanced,sigmoid,rolling_5y,0.6900438321853475,0.09854500946819367,0.0707532414782913
Choquistic 2-additive [unweighted],Choquistic 2-additive,unweighted,uncalibrated,rolling_5y,0.6838632621350217,0.09598710418005607,0.06136474215036014
Choquistic 2-additive [unweighted] [sigmoid],Choquistic 2-additive,unweighted,sigmoid,rolling_5y,0.6663767712609291,0.08489448694944696,0.06136474215036014
Choquistic 1-additive [balanced],Choquistic 1-additive,balanced,uncalibrated,rolling_5y,0.7091827268721446,0.0716630000796328,0.0605772039870474
Penalized logistic [balanced],Penalized logistic,balanced,uncalibrated,rolling_5y,0.6186020083953709,0.07078812095967227,0.06428362740321132
Choquistic 1-additive [unweighted],Choquistic 1-additive,unweighted,uncalibrated,rolling_5y,0.6649620816809295,0.06975468089101387,0.0612447816571824
Choquistic 1-additive [unweighted] [sigmoid],Choquistic 1-additive,unweighted,sigmoid,rolling_5y,0.6172452978965189,0.06811910391846708,0.0612447816571824
Choquistic 1-additive [balanced] [sigmoid],Choquistic 1-additive,balanced,sigmoid,rolling_5y,0.6400832579605278,0.06739252013343022,0.0605772039870474
Gradient boosting [balanced],Gradient boosting,balanced,uncalibrated,rolling_5y,0.5653656160857163,0.0439888141548802,0.06381407315239788
Choquistic model aggregator [balanced],Choquistic model aggregator,balanced,uncalibrated,rolling_5y,0.5209304482942554,0.0424080851914327,0.06636612430745854
Gradient boosting [unweighted],Gradient boosting,unweighted,uncalibrated,rolling_5y,0.5605011711774391,0.04135191573349205,0.05927196779213887
Choquistic model aggregator [balanced] [sigmoid],Choquistic model aggregator,balanced,sigmoid,rolling_5y,0.5624550662121107,0.040830903837891425,0.06636612430745854
Choquistic model aggregator [unweighted],Choquistic model aggregator,unweighted,uncalibrated,rolling_5y,0.4971416312994272,0.04020877686692451,0.0708967375491953
Penalized logistic [unweighted],Penalized logistic,unweighted,uncalibrated,rolling_5y,0.539588116607528,0.03820217346715647,0.07645121431113633
Penalized logistic [balanced] [sigmoid],Penalized logistic,balanced,sigmoid,rolling_5y,0.5492938147916232,0.036993477271605034,0.06428362740321132
Logistic oriented [balanced],Logistic oriented,balanced,uncalibrated,rolling_5y,0.5483197662283448,0.03648873086132794,0.050601096320710186
Logistic [balanced],Logistic,balanced,uncalibrated,rolling_5y,0.5483197662283448,0.03648873086132794,0.050601096320710186
Logistic oriented [unweighted] [sigmoid],Logistic oriented,unweighted,sigmoid,rolling_5y,0.5206289570722883,0.03635824154622832,0.06364759687382601
Logistic [unweighted] [sigmoid],Logistic,unweighted,sigmoid,rolling_5y,0.5206289570722883,0.03635824154622832,0.06364759687382601
Gradient boosting [balanced] [sigmoid],Gradient boosting,balanced,sigmoid,rolling_5y,0.5469746515457223,0.03493736282181323,0.06381407315239788
Gradient boosting [unweighted] [sigmoid],Gradient boosting,unweighted,sigmoid,rolling_5y,0.5380168835084302,0.034785063392274294,0.05927196779213887
Penalized logistic [unweighted] [sigmoid],Penalized logistic,unweighted,sigmoid,rolling_5y,0.5298824184234329,0.03383641858542799,0.07645121431113633
Logistic oriented [balanced] [sigmoid],Logistic oriented,balanced,sigmoid,rolling_5y,0.5166863795542569,0.033242843468499775,0.050601096320710186
Logistic [balanced] [sigmoid],Logistic,balanced,sigmoid,rolling_5y,0.5166863795542569,0.033242843468499775,0.050601096320710186
Rolling prior probability [sigmoid],Rolling prior probability,not applicable,sigmoid,rolling_5y,0.43444885085461166,0.030203731710015547,0.029132968059682376
Logistic [unweighted],Logistic,unweighted,uncalibrated,rolling_5y,0.49388900484705117,0.030119508970275176,0.06364759687382601
Logistic oriented [unweighted],Logistic oriented,unweighted,uncalibrated,rolling_5y,0.49388900484705117,0.030119508970275176,0.06364759687382601
Rolling prior probability,Rolling prior probability,not applicable,uncalibrated,rolling_5y,0.4477376562536237,0.029742771549369183,0.029132968059682376
Choquistic model aggregator [unweighted] [sigmoid],Choquistic model aggregator,unweighted,sigmoid,rolling_5y,0.4174725758946172,0.026733464533034344,0.0708967375491953
