,Rolling prior probability,Logistic [balanced],Logistic oriented [balanced],Penalized logistic [balanced],Explicit interactions [balanced],RBF SVM [balanced],Random forest [balanced],Gradient boosting [balanced],MLP [balanced]
Rolling prior probability,0.0,-1.484433376733318e-16,-9.706621735597023e-17,-7.619319173025251e-19,-8.925502392992239e-17,-3.428064803549947e-17,0.027404205815296727,-1.2788674253800477e-16,0.010151011376791854
Logistic [balanced],-1.484433376733318e-16,0.0,-1.5653975480827344e-16,5.677816967467173e-17,1.5809654604877598e-16,1.0613992549304399e-16,5.227104100893717e-18,-3.230870717434439e-17,1.371321729789777e-16
Logistic oriented [balanced],-9.706621735597023e-17,-1.5653975480827344e-16,0.0,4.8729342390409545e-17,-1.635951818084599e-16,-5.3583931412482624e-18,-6.998584008972633e-17,-1.6678824153376327e-16,-1.7360665572140747e-16
Penalized logistic [balanced],-7.619319173025251e-19,5.677816967467173e-17,4.8729342390409545e-17,0.0,-1.4430173224870755e-16,-1.0892767839954922e-16,-6.612529051150428e-17,3.215849770476495e-17,-9.837462598871115e-17
Explicit interactions [balanced],-8.925502392992239e-17,1.5809654604877598e-16,-1.635951818084599e-16,-1.4430173224870755e-16,0.0,-4.255704347870609e-17,1.3220611074790546e-16,-3.784766902318418e-17,-2.263035036499569e-17
RBF SVM [balanced],-3.428064803549947e-17,1.0613992549304399e-16,-5.3583931412482624e-18,-1.0892767839954922e-16,-4.255704347870609e-17,0.0,-6.904072030903076e-17,-1.560195718413943e-16,-3.3883657862567525e-17
Random forest [balanced],0.027404205815296727,5.227104100893717e-18,-6.998584008972633e-17,-6.612529051150428e-17,1.3220611074790546e-16,-6.904072030903076e-17,0.0,-4.5604486859268915e-17,0.2484056037109882
Gradient boosting [balanced],-1.2788674253800477e-16,-3.230870717434439e-17,-1.6678824153376327e-16,3.215849770476495e-17,-3.784766902318418e-17,-1.560195718413943e-16,-4.5604486859268915e-17,0.0,3.468031604755792e-17
MLP [balanced],0.010151011376791854,1.371321729789777e-16,-1.7360665572140747e-16,-9.837462598871115e-17,-2.263035036499569e-17,-3.3883657862567525e-17,0.2484056037109882,3.468031604755792e-17,0.0
