fold,model,probability calibration,threshold source,calibration runtime seconds,ROC AUC,PR AUC,Precision,Recall,F1,Brier,Log loss,Mean predicted probability,Observed event prevalence,Calibration gap,Absolute calibration gap,Threshold,Predicted event rate,Observed event rate,base model,validation PR AUC,selection runtime seconds,refit runtime seconds,parameter count,calibration observations,calibration event prevalence
0,Choquistic 1-additive,uncalibrated,selection validation,0.0,0.5894230769230769,0.10782763360612058,0.05138339920948617,1.0,0.09774436090225563,0.26952956787375437,0.749286668624378,0.5086623335838215,0.05138339920948617,0.45727893437433537,0.45727893437433537,0.031011736809122146,1.0,0.05138339920948617,Choquistic 1-additive,0.007767747302280408,0.31990829999995185,0.2799382999999125,12.0,498,0.04819277108433735
0,Choquistic 1-additive [isotonic],isotonic,calibration,0.01166230000012547,0.5375000000000001,0.05914746123441776,0.064,0.6153846153846154,0.11594202898550725,0.04867492792886935,0.20173058145471823,0.05807204150682369,0.05138339920948617,0.006688642297337524,0.006688642297337524,0.07547169811320753,0.49407114624505927,0.05138339920948617,Choquistic 1-additive,0.007767747302280408,0.31990829999995185,0.2799382999999125,12.0,498,0.04819277108433735
0,Choquistic 1-additive [sigmoid],sigmoid,calibration,0.011894700000084413,0.41057692307692306,0.06467146186323883,0.0,0.0,0.0,0.04937526407939062,0.21293998547708087,0.040317094139411876,0.05138339920948617,-0.011066305070074292,0.011066305070074292,0.07014526775368746,0.0,0.05138339920948617,Choquistic 1-additive,0.007767747302280408,0.31990829999995185,0.2799382999999125,12.0,498,0.04819277108433735
0,Choquistic 2-additive,uncalibrated,selection validation,0.0,0.6471153846153846,0.11213084378152295,0.05138339920948617,1.0,0.09774436090225563,0.15993471181255187,0.5038062587124821,0.3699088951074728,0.05138339920948617,0.3185254958979867,0.3185254958979867,0.008371044545751702,1.0,0.05138339920948617,Choquistic 2-additive,0.00909674688683959,0.9176605999998628,1.075007899999946,57.0,498,0.04819277108433735
0,Choquistic 2-additive [isotonic],isotonic,calibration,0.012173099999927217,0.7035256410256411,0.1251107156949211,0.08653846153846154,0.6923076923076923,0.15384615384615385,0.0467052657893422,0.18767784950586963,0.05732356665498585,0.05138339920948617,0.005940167445499682,0.005940167445499682,0.06306306306306307,0.41106719367588934,0.05138339920948617,Choquistic 2-additive,0.00909674688683959,0.9176605999998628,1.075007899999946,57.0,498,0.04819277108433735
0,Choquistic 2-additive [sigmoid],sigmoid,calibration,0.01404739999998128,0.35272435897435894,0.04559119044397062,0.0,0.0,0.0,0.048782392207324186,0.20299636730602844,0.04818532049748966,0.05138339920948617,-0.0031980787119965104,0.0031980787119965104,0.04873898886732816,0.011857707509881422,0.05138339920948617,Choquistic 2-additive,0.00909674688683959,0.9176605999998628,1.075007899999946,57.0,498,0.04819277108433735
0,Gradient boosting,uncalibrated,selection validation,0.0,0.5650641025641026,0.06772640940144385,0.05952380952380952,0.7692307692307693,0.11049723756906077,0.052111401138224135,0.3096748932318648,0.008302778645158979,0.05138339920948617,-0.04308062056432719,0.04308062056432719,0.0012493809594035636,0.6640316205533597,0.05138339920948617,Gradient boosting,0.01681075207860922,0.664036200000055,0.062001399999871865,,498,0.04819277108433735
0,Gradient boosting [isotonic],isotonic,calibration,0.017447900000206573,0.53125,0.05726872246696035,0.05726872246696035,1.0,0.10833333333333334,0.04854966558434189,0.1974741136956882,0.050538629472490285,0.05138339920948617,-0.0008447697369958831,0.0008447697369958831,0.01,0.8972332015810277,0.05138339920948617,Gradient boosting,0.01681075207860922,0.664036200000055,0.062001399999871865,,498,0.04819277108433735
0,Gradient boosting [sigmoid],sigmoid,calibration,0.01871959999994033,0.5650641025641026,0.06772640940144385,0.05726872246696035,1.0,0.10833333333333334,0.048729635857105394,0.20240797800919702,0.04786841103930821,0.05138339920948617,-0.0035149881701779587,0.0035149881701779587,0.04590157481859518,0.8972332015810277,0.05138339920948617,Gradient boosting,0.01681075207860922,0.664036200000055,0.062001399999871865,,498,0.04819277108433735
0,Logistic,uncalibrated,selection validation,0.0,0.5448717948717949,0.05983204402315792,0.051587301587301584,1.0,0.09811320754716982,0.1547726229069996,0.46756007932565014,0.26853293199267747,0.05138339920948617,0.2171495327831913,0.2171495327831913,0.00021148614424030445,0.9960474308300395,0.05138339920948617,Logistic,0.013482608124052196,0.0078078999999888765,0.007450899999867033,11.0,498,0.04819277108433735
0,Logistic [isotonic],isotonic,calibration,0.00931229999991956,0.6,0.06341463414634146,0.06341463414634146,1.0,0.11926605504587157,0.04821688084560677,0.19345481531946207,0.0504628031916082,0.05138339920948617,-0.0009205960178779657,0.0009205960178779657,0.05994550408719346,0.8102766798418972,0.05138339920948617,Logistic,0.013482608124052196,0.0078078999999888765,0.007450899999867033,11.0,498,0.04819277108433735
0,Logistic [sigmoid],sigmoid,calibration,0.010553800000025149,0.4551282051282052,0.04742399019418644,0.02631578947368421,0.15384615384615385,0.0449438202247191,0.048763326162942634,0.20278531725182036,0.048209257612008484,0.05138339920948617,-0.0031741415974776838,0.0031741415974776838,0.04837613131346497,0.30039525691699603,0.05138339920948617,Logistic,0.013482608124052196,0.0078078999999888765,0.007450899999867033,11.0,498,0.04819277108433735
0,Logistic oriented,uncalibrated,selection validation,0.0,0.5448717948717949,0.05983204402315792,0.051587301587301584,1.0,0.09811320754716982,0.1547726229069996,0.46756007932565014,0.26853293199267747,0.05138339920948617,0.2171495327831913,0.2171495327831913,0.00021148614424030445,0.9960474308300395,0.05138339920948617,Logistic oriented,0.013482608124052196,0.009884800000008909,0.011523299999907977,11.0,498,0.04819277108433735
0,Logistic oriented [isotonic],isotonic,calibration,0.010548199999902863,0.6,0.06341463414634146,0.06341463414634146,1.0,0.11926605504587157,0.04821688084560677,0.19345481531946207,0.0504628031916082,0.05138339920948617,-0.0009205960178779657,0.0009205960178779657,0.05994550408719346,0.8102766798418972,0.05138339920948617,Logistic oriented,0.013482608124052196,0.009884800000008909,0.011523299999907977,11.0,498,0.04819277108433735
