,Shapley importance
Lasso,0.19735203219947248
Historical mean,0.19735203218870986
Monotone linear,0.13913963358376819
Elastic net,0.08365383449665266
MLP,0.06772778864684255
Random forest,0.05887847925710852
Ridge,0.056905383331321426
Gradient boosting,0.0548949662202036
OLS,0.054247798401697744
OLS oriented,0.054247798386107916
Explicit interactions,0.035600253288115113
