asset,model,fit observations,extreme fit observations removed,extreme fit rate,test observations,stress test observations,full-fit test RMSE,reduced-fit test RMSE,test RMSE change,mean absolute prediction change,maximum absolute prediction change,full-fit stress RMSE,reduced-fit stress RMSE,stress mean absolute prediction change,failure
AAPL,OLS,1509,84,0.055666003976143144,1652,512,0.015605205293923015,0.01555758733228681,-4.761796163620449e-05,0.0015388887422941057,0.02023562988251088,0.0219938445879478,0.02217683273501034,0.003560219452626267,
AAPL,Ridge,1509,84,0.055666003976143144,1652,512,0.015605087904354465,0.015557457491120138,-4.763041323432686e-05,0.001538858972827817,0.020234430917450984,0.021993705110424432,0.02217665383799303,0.003560194718511318,
AAPL,Lasso,1509,84,0.055666003976143144,1652,512,0.015567140654247521,0.015521515980494633,-4.562467375288787e-05,0.0015362483392478467,0.020088057124700718,0.021943677754663184,0.02213084290507013,0.0035506354699371646,
AAPL,Monotone linear,1509,84,0.055666003976143144,1652,512,0.014850428865598031,0.014917656689384412,6.722782378638069e-05,0.0012312596223541274,0.014436953885619191,0.02112565843937179,0.021403022722794658,0.0028705401473843517,
AAPL,Gradient boosting,1509,84,0.055666003976143144,1652,512,0.014134547217729426,0.014787330204917857,0.000652782987188431,0.0023995408865868473,0.019919000247389882,0.019875738502207058,0.02133529753175715,0.004608129931721709,
AAPL,Choquet 1-additive,1509,84,0.055666003976143144,1652,512,0.02397949418767409,0.020234611845762175,-0.0037448823419119134,0.004414131212504012,0.03163313688848582,0.034288254244854266,0.028452551380286215,0.008292907182375915,
AAPL,Choquet 2-additive,1509,84,0.055666003976143144,1652,512,0.023621131014241646,0.01991699701547676,-0.003704133998764885,0.004464678015199697,0.03305914556049769,0.03386793897048608,0.02799397525260988,0.008353555900373661,
AAPL,Choquet 2-additive L1,1509,84,0.055666003976143144,1652,512,0.023757297376250687,0.019842877994400966,-0.003914419381849721,0.004594503101905636,0.03074976767263149,0.03394866732182897,0.027807900482337652,0.008709352204290116,
AMZN,OLS,1509,83,0.05500331345261763,1652,520,0.01612909345417905,0.014927696966488194,-0.0012013964876908551,0.0028535544930929704,0.018182015331065046,0.021074964292229686,0.01956933336806094,0.005324962996887762,
AMZN,Ridge,1509,83,0.05500331345261763,1652,520,0.01612898350818408,0.014927654554882031,-0.00120132895330205,0.0028534746049576985,0.018181670197352638,0.02107490518067311,0.01956933868081333,0.005324897743509023,
AMZN,Lasso,1509,83,0.05500331345261763,1652,520,0.016096172401758077,0.014907049424013259,-0.0011891229777448182,0.002853195744334072,0.018105339847239714,0.021041073731059515,0.01955393138619607,0.005322370803189988,
AMZN,Monotone linear,1509,83,0.05500331345261763,1652,520,0.015860244091286314,0.01490053097835474,-0.0009597131129315747,0.0023527331310883434,0.01800817083189269,0.021080907776219623,0.01972601119727942,0.0049587756085298675,
AMZN,Gradient boosting,1509,83,0.05500331345261763,1652,520,0.01696195267024804,0.015218312682952696,-0.0017436399872953444,0.0053218734060033555,0.026967915716536936,0.021908952429065147,0.020077128876337245,0.008890338691061128,
AMZN,Choquet 1-additive,1509,83,0.05500331345261763,1652,520,0.02782206357162767,0.023728732303414782,-0.004093331268212888,0.0042141019746253176,0.029071721045559745,0.038662477219279914,0.03147151704697478,0.008106653507660346,
AMZN,Choquet 2-additive,1509,83,0.05500331345261763,1652,520,0.027777214825452725,0.02378428940275793,-0.003992925422694794,0.004538517647763267,0.0319726095486155,0.038654591957133284,0.03170647318186932,0.008068395161678708,
AMZN,Choquet 2-additive L1,1509,83,0.05500331345261763,1652,520,0.027697131755865034,0.023817304907557894,-0.0038798268483071392,0.004567836718263111,0.03153739011016676,0.03853931562533778,0.03173151371288182,0.008004535003076048,
JPM,OLS,1509,84,0.055666003976143144,1652,527,0.010591927299758472,0.011493193725731285,0.0009012664259728121,0.0009851164715070598,0.013428572191345984,0.016213349200461132,0.018075366988275127,0.001996487000594169,
JPM,Ridge,1509,84,0.055666003976143144,1652,527,0.01059195495125493,0.011493226007566878,0.0009012710563119485,0.0009850937774749532,0.013428169414652618,0.016213382265917776,0.018075406734383445,0.0019964451047179512,
JPM,Lasso,1509,84,0.055666003976143144,1652,527,0.010594116519833496,0.011497110465594347,0.0009029939457608511,0.0009546301626434268,0.013320397344051518,0.016211844059649295,0.01807661524740733,0.001960534089327479,
JPM,Monotone linear,1509,84,0.055666003976143144,1652,527,0.01062573351997666,0.011532275980639776,0.0009065424606631151,0.0009106420552017139,0.012632988192421816,0.01610004666182212,0.017981890208914275,0.0019872097541459867,
JPM,Gradient boosting,1509,84,0.055666003976143144,1652,527,0.011093534808439819,0.012188207989514995,0.0010946731810751766,0.0012760509387875324,0.01606358533817,0.017010271162374295,0.019228884716137092,0.0024729857011152223,
