,average_capital,average_capital,exceedance_frequency,exceedance_frequency,mean_exceedance,mean_exceedance
sample,all,stress,all,stress,all,stress
model,,,,,,
ES 97.5%,0.032247578805492214,0.0521779956988828,0.014437951185974561,0.11392405063291139,0.011609229361611033,0.021239829618419206
PH gamma=0.50,0.007979663509278168,0.012885510863625719,0.16328635269852182,0.3860759493670886,0.00876553800129929,0.022124052945674204
PH gamma=0.70,0.003271916753805943,0.005451372185973614,0.2966655207975249,0.5,0.008118830441633796,0.02281957865183832
VaR 99%,0.03191061950544615,0.05157056632229217,0.014781711928497766,0.11392405063291139,0.012092649637010438,0.022030968369006875
