asset,model,feature,training_correlation,absolute_training_correlation,minimum_absolute_correlation,meets_correlation_threshold,subperiod_sign_agreement,sign_stable,stability_required,orientation_supported,orientation_sign,transformation,orientation_training_observations,orientation_source,training_subperiod_1_correlation,training_subperiod_2_correlation,training_subperiod_3_correlation
AMZN,OLS oriented,sector_excess_return,-0.67819699133293,0.67819699133293,0.2,True,1.0,True,False,True,-1.0,multiplied by -1,1257,training only (frozen before validation refit),-0.6027621548957254,-0.639027049491158,-0.7918309594510042
AMZN,OLS oriented,size_spread,-0.043167661980620706,0.043167661980620706,0.2,False,0.6666666666666666,False,False,False,1.0,unchanged (below absolute correlation threshold),1257,training only (frozen before validation refit),-0.11742002715456336,-0.040268048199918395,0.042967134352120386
AMZN,OLS oriented,value_growth_spread,0.5073820422404165,0.5073820422404165,0.2,True,1.0,True,False,True,1.0,unchanged (positive training correlation),1257,training only (frozen before validation refit),0.32262245296501363,0.4168721704540736,0.7231400331584652
AMZN,OLS oriented,momentum_spread,-0.3868568512352876,0.3868568512352876,0.2,True,1.0,True,False,True,-1.0,multiplied by -1,1257,training only (frozen before validation refit),-0.24153883147060973,-0.3256039527935125,-0.5925621407738031
AMZN,OLS oriented,quality_spread,0.15749540671882623,0.15749540671882623,0.2,False,0.6666666666666666,False,False,False,1.0,unchanged (below absolute correlation threshold),1257,training only (frozen before validation refit),-0.033525749977905334,0.3033263564054748,0.2868671711304696
AMZN,OLS oriented,low_volatility_spread,0.45522880365017926,0.45522880365017926,0.2,True,1.0,True,False,True,1.0,unchanged (positive training correlation),1257,training only (frozen before validation refit),0.403675964510982,0.3109664927328157,0.6610009031190994
AMZN,Monotone linear,market_excess_return,-0.5687672516006005,0.5687672516006005,0.2,True,1.0,True,False,True,-1.0,multiplied by -1,1257,training only (frozen before validation refit),-0.4799619379332266,-0.5199150394663532,-0.7081866068817283
AMZN,Monotone linear,sector_excess_return,-0.67819699133293,0.67819699133293,0.2,True,1.0,True,False,True,-1.0,multiplied by -1,1257,training only (frozen before validation refit),-0.6027621548957254,-0.639027049491158,-0.7918309594510042
AMZN,Monotone linear,size_spread,-0.043167661980620706,0.043167661980620706,0.2,False,0.6666666666666666,False,False,False,1.0,unchanged (below absolute correlation threshold),1257,training only (frozen before validation refit),-0.11742002715456336,-0.040268048199918395,0.042967134352120386
AMZN,Monotone linear,value_growth_spread,0.5073820422404165,0.5073820422404165,0.2,True,1.0,True,False,True,1.0,unchanged (positive training correlation),1257,training only (frozen before validation refit),0.32262245296501363,0.4168721704540736,0.7231400331584652
AMZN,Monotone linear,momentum_spread,-0.3868568512352876,0.3868568512352876,0.2,True,1.0,True,False,True,-1.0,multiplied by -1,1257,training only (frozen before validation refit),-0.24153883147060973,-0.3256039527935125,-0.5925621407738031
AMZN,Monotone linear,quality_spread,0.15749540671882623,0.15749540671882623,0.2,False,0.6666666666666666,False,False,False,1.0,unchanged (below absolute correlation threshold),1257,training only (frozen before validation refit),-0.033525749977905334,0.3033263564054748,0.2868671711304696
AMZN,Monotone linear,low_volatility_spread,0.45522880365017926,0.45522880365017926,0.2,True,1.0,True,False,True,1.0,unchanged (positive training correlation),1257,training only (frozen before validation refit),0.403675964510982,0.3109664927328157,0.6610009031190994
AMZN,Choquet 1-additive,market_excess_return,-0.5687672516006005,0.5687672516006005,0.2,True,1.0,True,False,True,-1.0,multiplied by -1,1257,training only (frozen before validation refit),-0.4799619379332266,-0.5199150394663532,-0.7081866068817283
AMZN,Choquet 1-additive,sector_excess_return,-0.67819699133293,0.67819699133293,0.2,True,1.0,True,False,True,-1.0,multiplied by -1,1257,training only (frozen before validation refit),-0.6027621548957254,-0.639027049491158,-0.7918309594510042
AMZN,Choquet 1-additive,size_spread,-0.043167661980620706,0.043167661980620706,0.2,False,0.6666666666666666,False,False,False,1.0,unchanged (below absolute correlation threshold),1257,training only (frozen before validation refit),-0.11742002715456336,-0.040268048199918395,0.042967134352120386
AMZN,Choquet 1-additive,value_growth_spread,0.5073820422404165,0.5073820422404165,0.2,True,1.0,True,False,True,1.0,unchanged (positive training correlation),1257,training only (frozen before validation refit),0.32262245296501363,0.4168721704540736,0.7231400331584652
AMZN,Choquet 1-additive,momentum_spread,-0.3868568512352876,0.3868568512352876,0.2,True,1.0,True,False,True,-1.0,multiplied by -1,1257,training only (frozen before validation refit),-0.24153883147060973,-0.3256039527935125,-0.5925621407738031
AMZN,Choquet 1-additive,quality_spread,0.15749540671882623,0.15749540671882623,0.2,False,0.6666666666666666,False,False,False,1.0,unchanged (below absolute correlation threshold),1257,training only (frozen before validation refit),-0.033525749977905334,0.3033263564054748,0.2868671711304696
AMZN,Choquet 1-additive,low_volatility_spread,0.45522880365017926,0.45522880365017926,0.2,True,1.0,True,False,True,1.0,unchanged (positive training correlation),1257,training only (frozen before validation refit),0.403675964510982,0.3109664927328157,0.6610009031190994
JPM,OLS oriented,market_excess_return,-0.7550871721771663,0.7550871721771663,0.2,True,1.0,True,False,True,-1.0,multiplied by -1,1257,training only (frozen before validation refit),-0.7839116790075875,-0.7798427296736123,-0.7071199843961414
