asset,fold,model,evaluation_structure,OOS start,OOS end,best parameters,fitted q
AAPL,3,Elastic net,rolling_5y,2023-01-01,2024-01-01,"{'regressor__alpha': 0.0001, 'regressor__l1_ratio': 0.75}",
AAPL,3,Lasso,rolling_5y,2023-01-01,2024-01-01,{'regressor__alpha': 0.0001},
AAPL,3,Monotone linear,rolling_5y,2023-01-01,2024-01-01,{},
AAPL,3,OLS,rolling_5y,2023-01-01,2024-01-01,{},
AAPL,3,OLS oriented,rolling_5y,2023-01-01,2024-01-01,{},
AAPL,3,Ridge,rolling_5y,2023-01-01,2024-01-01,{'regressor__alpha': 0.01},
AAPL,4,Choquet 1-additive,rolling_5y,2024-01-01,2025-01-01,{},
AAPL,4,Choquet 1-additive scaled-q,rolling_5y,2024-01-01,2025-01-01,{},0.33914705250640975
AAPL,4,Choquet 2-additive,rolling_5y,2024-01-01,2025-01-01,{},
AAPL,4,Choquet 2-additive L1,rolling_5y,2024-01-01,2025-01-01,"{'regressor__regressor__penalty': L1Penalty(weight=0.001, selection=[7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27])}",
AAPL,4,Choquet 2-additive scaled-q,rolling_5y,2024-01-01,2025-01-01,{},0.34029868328792273
AAPL,4,Choquet 2-additive scaled-q L1,rolling_5y,2024-01-01,2025-01-01,"{'regressor__penalty': L1Penalty(weight=1e-05, selection=[7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27])}",0.34029963547358655
AAPL,4,Elastic net,rolling_5y,2024-01-01,2025-01-01,"{'regressor__alpha': 0.001, 'regressor__l1_ratio': 0.75}",
AAPL,4,Lasso,rolling_5y,2024-01-01,2025-01-01,{'regressor__alpha': 0.001},
AAPL,4,Monotone linear,rolling_5y,2024-01-01,2025-01-01,{},
AAPL,4,OLS,rolling_5y,2024-01-01,2025-01-01,{},
AAPL,4,OLS oriented,rolling_5y,2024-01-01,2025-01-01,{},
AAPL,4,Ridge,rolling_5y,2024-01-01,2025-01-01,{'regressor__alpha': 10.0},
AAPL,5,Choquet 1-additive,rolling_5y,2025-01-01,2026-01-01,{},
AAPL,5,Choquet 1-additive scaled-q,rolling_5y,2025-01-01,2026-01-01,{},0.311543182955001
AAPL,5,Choquet 2-additive,rolling_5y,2025-01-01,2026-01-01,{},
AAPL,5,Choquet 2-additive L1,rolling_5y,2025-01-01,2026-01-01,"{'regressor__regressor__penalty': L1Penalty(weight=0.01, selection=[7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27])}",
AAPL,5,Choquet 2-additive scaled-q,rolling_5y,2025-01-01,2026-01-01,{},0.31154318295500094
AAPL,5,Choquet 2-additive scaled-q L1,rolling_5y,2025-01-01,2026-01-01,"{'regressor__penalty': L1Penalty(weight=1e-05, selection=[7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27])}",0.31154318295500094
AAPL,5,Elastic net,rolling_5y,2025-01-01,2026-01-01,"{'regressor__alpha': 1e-05, 'regressor__l1_ratio': 0.5}",
AAPL,5,Lasso,rolling_5y,2025-01-01,2026-01-01,{'regressor__alpha': 0.01},
AAPL,5,Monotone linear,rolling_5y,2025-01-01,2026-01-01,{},
AAPL,5,OLS,rolling_5y,2025-01-01,2026-01-01,{},
AAPL,5,OLS oriented,rolling_5y,2025-01-01,2026-01-01,{},
AAPL,5,Ridge,rolling_5y,2025-01-01,2026-01-01,{'regressor__alpha': 10.0},
AAPL,6,Choquet 1-additive,rolling_5y,2026-01-01,2027-01-01,{},
AAPL,6,Choquet 1-additive scaled-q,rolling_5y,2026-01-01,2027-01-01,{},0.2760456334433102
AAPL,6,Choquet 2-additive,rolling_5y,2026-01-01,2027-01-01,{},
AAPL,6,Choquet 2-additive L1,rolling_5y,2026-01-01,2027-01-01,"{'regressor__regressor__penalty': L1Penalty(weight=1e-05, selection=[7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27])}",
AAPL,6,Choquet 2-additive scaled-q,rolling_5y,2026-01-01,2027-01-01,{},0.2760456334433103
AAPL,6,Choquet 2-additive scaled-q L1,rolling_5y,2026-01-01,2027-01-01,"{'regressor__penalty': L1Penalty(weight=0.01, selection=[7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27])}",0.2760456334433061
AAPL,6,Elastic net,rolling_5y,2026-01-01,2027-01-01,"{'regressor__alpha': 0.001, 'regressor__l1_ratio': 0.75}",
AAPL,6,Lasso,rolling_5y,2026-01-01,2027-01-01,{'regressor__alpha': 0.001},
AAPL,6,Monotone linear,rolling_5y,2026-01-01,2027-01-01,{},
AAPL,6,OLS,rolling_5y,2026-01-01,2027-01-01,{},
AAPL,6,OLS oriented,rolling_5y,2026-01-01,2027-01-01,{},
AAPL,6,Ridge,rolling_5y,2026-01-01,2027-01-01,{'regressor__alpha': 10.0},
AMZN,0,Choquet 1-additive,rolling_5y,2020-01-01,2021-01-01,{},
AMZN,0,Choquet 1-additive scaled-q,rolling_5y,2020-01-01,2021-01-01,{},0.24378244704167049
AMZN,0,Choquet 2-additive,rolling_5y,2020-01-01,2021-01-01,{},
AMZN,0,Choquet 2-additive L1,rolling_5y,2020-01-01,2021-01-01,"{'regressor__regressor__penalty': L1Penalty(weight=0.0001, selection=[7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27])}",
AMZN,0,Choquet 2-additive scaled-q,rolling_5y,2020-01-01,2021-01-01,{},0.24378244704167054
AMZN,0,Choquet 2-additive scaled-q L1,rolling_5y,2020-01-01,2021-01-01,"{'regressor__penalty': L1Penalty(weight=0.01, selection=[7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27])}",0.24378244704166724
AMZN,0,Elastic net,rolling_5y,2020-01-01,2021-01-01,"{'regressor__alpha': 1e-05, 'regressor__l1_ratio': 0.25}",
AMZN,0,Lasso,rolling_5y,2020-01-01,2021-01-01,{'regressor__alpha': 1e-05},
AMZN,0,Monotone linear,rolling_5y,2020-01-01,2021-01-01,{},
AMZN,0,OLS,rolling_5y,2020-01-01,2021-01-01,{},
AMZN,0,OLS oriented,rolling_5y,2020-01-01,2021-01-01,{},
AMZN,0,Ridge,rolling_5y,2020-01-01,2021-01-01,{'regressor__alpha': 0.01},
AMZN,1,Choquet 1-additive,rolling_5y,2021-01-01,2022-01-01,{},
AMZN,1,Choquet 1-additive scaled-q,rolling_5y,2021-01-01,2022-01-01,{},0.35298132390373366
AMZN,1,Choquet 2-additive,rolling_5y,2021-01-01,2022-01-01,{},
AMZN,1,Choquet 2-additive L1,rolling_5y,2021-01-01,2022-01-01,"{'regressor__regressor__penalty': L1Penalty(weight=0.0001, selection=[7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27])}",
AMZN,1,Choquet 2-additive scaled-q,rolling_5y,2021-01-01,2022-01-01,{},0.35298132390373366
AMZN,1,Choquet 2-additive scaled-q L1,rolling_5y,2021-01-01,2022-01-01,"{'regressor__penalty': L1Penalty(weight=0.01, selection=[7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27])}",0.3529813239037308
AMZN,1,Elastic net,rolling_5y,2021-01-01,2022-01-01,"{'regressor__alpha': 0.001, 'regressor__l1_ratio': 0.75}",
AMZN,1,Lasso,rolling_5y,2021-01-01,2022-01-01,{'regressor__alpha': 0.001},
AMZN,1,Monotone linear,rolling_5y,2021-01-01,2022-01-01,{},
AMZN,1,OLS,rolling_5y,2021-01-01,2022-01-01,{},
AMZN,1,OLS oriented,rolling_5y,2021-01-01,2022-01-01,{},
AMZN,1,Ridge,rolling_5y,2021-01-01,2022-01-01,{'regressor__alpha': 10.0},
