date,Rolling prior probability,Rolling prior probability [sigmoid],Logistic [balanced],Logistic [balanced] [sigmoid],Logistic oriented [balanced],Logistic oriented [balanced] [sigmoid],Penalized logistic [balanced],Penalized logistic [balanced] [sigmoid],Gradient boosting [balanced],Gradient boosting [balanced] [sigmoid],Choquistic 1-additive [balanced],Choquistic 1-additive [balanced] [sigmoid],Choquistic 2-additive [balanced],Choquistic 2-additive [balanced] [sigmoid],Logistic [unweighted],Logistic [unweighted] [sigmoid],Logistic oriented [unweighted],Logistic oriented [unweighted] [sigmoid],Penalized logistic [unweighted],Penalized logistic [unweighted] [sigmoid],Gradient boosting [unweighted],Gradient boosting [unweighted] [sigmoid],Choquistic 1-additive [unweighted],Choquistic 1-additive [unweighted] [sigmoid],Choquistic 2-additive [unweighted],Choquistic 2-additive [unweighted] [sigmoid],Choquistic model aggregator [balanced],Choquistic model aggregator [balanced] [sigmoid],Choquistic model aggregator [unweighted],Choquistic model aggregator [unweighted] [sigmoid]
2020-01-02,0.01,0.01,0.48789986408592856,0.050932338255057934,0.48789986408592856,0.050932338255057934,0.4703480290064442,0.05101905697214073,0.1880659822230183,0.040073545366958396,0.44242298328491353,0.03650349948874117,0.025995598599782125,0.04649889880573143,0.023729619380974,0.050364179238943305,0.023729619380974,0.050364179238943305,0.020714904258306303,0.04954401408210595,0.008305771046657051,0.040225260456003366,0.027595058723804564,0.06171687578471878,0.0021435231829907914,0.04851809708160096,0.1333562231122337,0.03862823895473009,0.05399911122796247,0.04681597572417174
2020-01-03,0.01,0.01,0.48789986408592856,0.050932338255057934,0.48789986408592856,0.050932338255057934,0.4703480290064442,0.05101905697214073,0.1880659822230183,0.040073545366958396,0.44242298328491353,0.03650349948874117,0.025995598599782125,0.04649889880573143,0.023729619380974,0.050364179238943305,0.023729619380974,0.050364179238943305,0.020714904258306303,0.04954401408210595,0.008305771046657051,0.040225260456003366,0.027595058723804564,0.06171687578471878,0.0021435231829907914,0.04851809708160096,0.1333562231122337,0.03862823895473009,0.05399911122796247,0.04681597572417174
2020-01-06,0.01,0.01,0.48789986408592856,0.050932338255057934,0.48789986408592856,0.050932338255057934,0.4703480290064442,0.05101905697214073,0.1880659822230183,0.040073545366958396,0.44242298328491353,0.03650349948874117,0.025995598599782125,0.04649889880573143,0.023729619380974,0.050364179238943305,0.023729619380974,0.050364179238943305,0.020714904258306303,0.04954401408210595,0.008305771046657051,0.040225260456003366,0.027595058723804564,0.06171687578471878,0.0021435231829907914,0.04851809708160096,0.1333562231122337,0.03862823895473009,0.05399911122796247,0.04681597572417174
2020-01-07,0.01,0.01,0.48789986408592856,0.050932338255057934,0.48789986408592856,0.050932338255057934,0.4703480290064442,0.05101905697214073,0.1880659822230183,0.040073545366958396,0.44242298328491353,0.03650349948874117,0.025995598599782125,0.04649889880573143,0.023729619380974,0.050364179238943305,0.023729619380974,0.050364179238943305,0.020714904258306303,0.04954401408210595,0.008305771046657051,0.040225260456003366,0.027595058723804564,0.06171687578471878,0.0021435231829907914,0.04851809708160096,0.1333562231122337,0.03862823895473009,0.05399911122796247,0.04681597572417174
2020-01-08,0.01,0.01,0.48789986408592856,0.050932338255057934,0.48789986408592856,0.050932338255057934,0.4703480290064442,0.05101905697214073,0.1880659822230183,0.040073545366958396,0.44242298328491353,0.03650349948874117,0.025995598599782125,0.04649889880573143,0.023729619380974,0.050364179238943305,0.023729619380974,0.050364179238943305,0.020714904258306303,0.04954401408210595,0.008305771046657051,0.040225260456003366,0.027595058723804564,0.06171687578471878,0.0021435231829907914,0.04851809708160096,0.1333562231122337,0.03862823895473009,0.05399911122796247,0.04681597572417174
2020-01-09,0.01,0.01,0.48789986408592856,0.050932338255057934,0.48789986408592856,0.050932338255057934,0.4703480290064442,0.05101905697214073,0.1880659822230183,0.040073545366958396,0.44242298328491353,0.03650349948874117,0.025995598599782125,0.04649889880573143,0.023729619380974,0.050364179238943305,0.023729619380974,0.050364179238943305,0.020714904258306303,0.04954401408210595,0.008305771046657051,0.040225260456003366,0.027595058723804564,0.06171687578471878,0.0021435231829907914,0.04851809708160096,0.1333562231122337,0.03862823895473009,0.05399911122796247,0.04681597572417174
2020-01-10,0.01,0.01,0.48789986408592856,0.050932338255057934,0.48789986408592856,0.050932338255057934,0.4703480290064442,0.05101905697214073,0.1880659822230183,0.040073545366958396,0.44242298328491353,0.03650349948874117,0.025995598599782125,0.04649889880573143,0.023729619380974,0.050364179238943305,0.023729619380974,0.050364179238943305,0.020714904258306303,0.04954401408210595,0.008305771046657051,0.040225260456003366,0.027595058723804564,0.06171687578471878,0.0021435231829907914,0.04851809708160096,0.1333562231122337,0.03862823895473009,0.05399911122796247,0.04681597572417174
2020-01-13,0.01,0.01,0.48789986408592856,0.050932338255057934,0.48789986408592856,0.050932338255057934,0.4703480290064442,0.05101905697214073,0.1880659822230183,0.040073545366958396,0.44242298328491353,0.03650349948874117,0.025995598599782125,0.04649889880573143,0.023729619380974,0.050364179238943305,0.023729619380974,0.050364179238943305,0.020714904258306303,0.04954401408210595,0.008305771046657051,0.040225260456003366,0.027595058723804564,0.06171687578471878,0.0021435231829907914,0.04851809708160096,0.1333562231122337,0.03862823895473009,0.05399911122796247,0.04681597572417174
2020-01-14,0.01,0.01,0.48789986408592856,0.050932338255057934,0.48789986408592856,0.050932338255057934,0.4703480290064442,0.05101905697214073,0.1880659822230183,0.040073545366958396,0.44242298328491353,0.03650349948874117,0.025995598599782125,0.04649889880573143,0.023729619380974,0.050364179238943305,0.023729619380974,0.050364179238943305,0.020714904258306303,0.04954401408210595,0.008305771046657051,0.040225260456003366,0.027595058723804564,0.06171687578471878,0.0021435231829907914,0.04851809708160096,0.1333562231122337,0.03862823895473009,0.05399911122796247,0.04681597572417174
2020-01-15,0.01,0.01,0.48789986408592856,0.050932338255057934,0.48789986408592856,0.050932338255057934,0.4703480290064442,0.05101905697214073,0.1880659822230183,0.040073545366958396,0.44242298328491353,0.03650349948874117,0.025995598599782125,0.04649889880573143,0.023729619380974,0.050364179238943305,0.023729619380974,0.050364179238943305,0.020714904258306303,0.04954401408210595,0.008305771046657051,0.040225260456003366,0.027595058723804564,0.06171687578471878,0.0021435231829907914,0.04851809708160096,0.1333562231122337,0.03862823895473009,0.05399911122796247,0.04681597572417174
