,Rolling prior probability,Logistic [unweighted],Logistic oriented [unweighted],Penalized logistic [unweighted],Explicit interactions [unweighted],RBF SVM [unweighted],Random forest [unweighted],Gradient boosting [unweighted],MLP [unweighted]
Rolling prior probability,0.0,1.1788480724134666e-16,4.1918508951480914e-17,5.034754833306941e-17,-5.868996719790058e-17,2.116881129348744e-16,-4.977311796008509e-17,2.420651379910212e-17,3.004024117735062e-16
Logistic [unweighted],1.1788480724134666e-16,0.0,-8.248531523272752e-17,-7.21307596236769e-17,1.6254973697376671e-16,9.778931357620755e-17,7.809015489800334e-17,-6.346302887889474e-17,5.756059439121311e-17
Logistic oriented [unweighted],4.1918508951480914e-17,-8.248531523272752e-17,0.0,2.668793209067293e-17,-3.3387980898075935e-17,-6.287463304189691e-17,-1.7949965013439364e-16,-4.997071235188814e-17,-3.719068751833295e-17
Penalized logistic [unweighted],5.034754833306941e-17,-7.21307596236769e-17,2.668793209067293e-17,0.0,-2.388913780843865e-17,6.207306985376342e-17,-4.541873904922574e-17,9.132934193072733e-17,-1.6109458252622857e-16
Explicit interactions [unweighted],-5.868996719790058e-17,1.6254973697376671e-16,-3.3387980898075935e-17,-2.388913780843865e-17,0.0,3.707830301923353e-17,-1.6446461934267368e-16,-1.2625868695302164e-16,7.890668104310203e-17
RBF SVM [unweighted],2.116881129348744e-16,9.778931357620755e-17,-6.287463304189691e-17,6.207306985376342e-17,3.707830301923353e-17,0.0,-1.740566445757589e-17,-1.4244322832322136e-16,1.6396512954637887e-16
Random forest [unweighted],-4.977311796008509e-17,7.809015489800334e-17,-1.7949965013439364e-16,-4.541873904922574e-17,-1.6446461934267368e-16,-1.740566445757589e-17,0.0,8.408954418426792e-18,1.1882984749567138e-16
Gradient boosting [unweighted],2.420651379910212e-17,-6.346302887889474e-17,-4.997071235188814e-17,9.132934193072733e-17,-1.2625868695302164e-16,-1.4244322832322136e-16,8.408954418426792e-18,0.0,5.572489261965021e-17
MLP [unweighted],3.004024117735062e-16,5.756059439121311e-17,-3.719068751833295e-17,-1.6109458252622857e-16,7.890668104310203e-17,1.6396512954637887e-16,1.1882984749567138e-16,5.572489261965021e-17,0.0
