model,RMSE all,RMSE top-VIX decile,MAE top-VIX decile,top-VIX observations
Linear AR,0.01316803130597264,0.030064404214495473,0.02171572941696043,167
Choquet AR,0.013152452204630422,0.03006865253084006,0.02170528720771734,167
Historical mean,0.013173386057879198,0.030131678035845075,0.021773892865935666,167
