,market_loss_1d,vix,realized_volatility_20d,drawdown_severity,liquidity_stress_20d,baa_credit_spread_pct,term_spread_10y_2y_pct,average_equity_correlation_60d,negative_momentum_21d,lagged_portfolio_loss_1d
market_loss_1d,0.0,1.5828899967383163e-17,1.3646225133996033e-17,2.0994800640058597e-18,-1.7067504145682454e-17,-1.5532567507531349e-18,3.4255948462271903e-18,1.6690163068151335e-17,1.1663684018593964e-17,7.214300616471646e-20
vix,1.5828899967383163e-17,0.0,1.5337314312718565e-17,-2.0522398264904186e-18,-1.756794734488119e-18,1.2275389701153154e-17,1.694478923907643e-17,1.2682713056023588e-17,1.3354773197316501e-17,1.516087331631527e-17
realized_volatility_20d,1.3646225133996033e-17,1.5337314312718565e-17,0.0,1.3218231486219106e-17,-2.9418986984427386e-18,3.915252492564236e-18,1.071143344532978e-17,2.8238465065368364e-17,1.8057379115765625e-17,1.3206477895703398e-17
drawdown_severity,2.0994800640058597e-18,-2.0522398264904186e-18,1.3218231486219106e-17,0.0,-1.715259465546948e-17,-2.4418696042404316e-18,2.3089634123325224e-18,1.340796686640407e-17,8.616304172779977e-18,1.2173987756896142e-18
liquidity_stress_20d,-1.7067504145682454e-17,-1.756794734488119e-18,-2.9418986984427386e-18,-1.715259465546948e-17,0.0,1.6934205360725975e-18,-2.3723376107480425e-19,-6.99439472940351e-19,-6.192687456304506e-18,-1.699874120432638e-19
baa_credit_spread_pct,-1.5532567507531349e-18,1.2275389701153154e-17,3.915252492564236e-18,-2.4418696042404316e-18,1.6934205360725975e-18,0.0,-4.355879031725913e-18,1.1849458511377959e-17,1.779304030037868e-17,1.7171560126507528e-17
term_spread_10y_2y_pct,3.4255948462271903e-18,1.694478923907643e-17,1.071143344532978e-17,2.3089634123325224e-18,-2.3723376107480425e-19,-4.355879031725913e-18,0.0,-2.528170161094968e-18,1.1067940201351925e-17,-8.310065460935521e-19
average_equity_correlation_60d,1.6690163068151335e-17,1.2682713056023588e-17,2.8238465065368364e-17,1.340796686640407e-17,-6.99439472940351e-19,1.1849458511377959e-17,-2.528170161094968e-18,0.0,2.4994818274198362e-17,1.5162438310522577e-17
negative_momentum_21d,1.1663684018593964e-17,1.3354773197316501e-17,1.8057379115765625e-17,8.616304172779977e-18,-6.192687456304506e-18,1.779304030037868e-17,1.1067940201351925e-17,2.4994818274198362e-17,0.0,1.1223936780301332e-17
lagged_portfolio_loss_1d,7.214300616471646e-20,1.516087331631527e-17,1.3206477895703398e-17,1.2173987756896142e-18,-1.699874120432638e-19,1.7171560126507528e-17,-8.310065460935521e-19,1.5162438310522577e-17,1.1223936780301332e-17,0.0
