fold,model,message
0,Choquet linear classifier,RuntimeError: Every configuration failed for Choquet linear classifier: ['params={}: RuntimeError: Choquet classification optimization failed: pymoo did not return a candidate solution. Maximum constraint violation: 0.0.']
3,Choquistic model aggregator [balanced],"ValueError: Breach in monotonicity: adding element 5 to event {0, 1, 2, 6, 8} has marginal value -2.4354963636804707e-09."
