fold,model,evaluation_structure,MSE,RMSE,MAE,Tail-weighted MAE,OOS R2,Correlation,validation RMSE,selection runtime seconds,refit runtime seconds,parameter count,best parameters
0,Choquet 1-additive,rolling_5y,0.0006522183110061835,0.02553856517125,0.016497904048243424,0.022056986883345356,-0.29322155338393197,-0.12626394461823165,0.011632745398209188,0.270320100011304,0.10711540002375841,11.0,{}
0,Choquet 1-additive scaled-q,rolling_5y,0.0005043360971672212,0.022457428551978544,0.014209848277218608,0.02123885176113129,0.0,1.5876488541820857e-17,0.009449339163057228,0.044909699994605035,0.0413395999930799,12.0,{}
0,Choquet 2-additive,rolling_5y,0.0006340794981473627,0.025180935211928938,0.016270551310164832,0.022050236379202944,-0.2572558294139371,-0.1692295763803725,0.011154413288374118,0.7980321000213735,0.6517064000363462,56.0,{}
0,Choquet 2-additive L1,rolling_5y,0.000633645652330936,0.025172319168700684,0.016277914539146655,0.02201665123803228,-0.25639559787615207,-0.16536713444245002,0.011082222505258036,3.086668500036467,0.5997302000178024,56.0,"{'regressor__regressor__penalty': L1Penalty(weight=0.0001, selection=[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54])}"
0,Choquet 2-additive scaled-q,rolling_5y,0.0005043360971672212,0.022457428551978544,0.014209848277218608,0.02123885176113129,0.0,1.5876488541820857e-17,0.009449339163057228,0.05659610003931448,0.0529256000299938,57.0,{}
0,Choquet 2-additive scaled-q L1,rolling_5y,0.0005043360971672196,0.02245742855197851,0.014209848277216866,0.021238851761133305,3.219646771412954e-15,1.5876488541820857e-17,0.009449339163056387,0.22887570003513247,0.05567149998387322,57.0,"{'regressor__penalty': L1Penalty(weight=0.001, selection=[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54])}"
0,Choquet model aggregator,rolling_5y,0.0005063255196169326,0.022501678151127587,0.014173378900749238,0.020985804702181535,-0.003944636247307454,0.02899216940084846,0.009572311994992214,0.1490875000017695,0.0,66.0,"{'capacity': '2-additive', 'base models': ['Historical mean', 'OLS', 'OLS oriented', 'Monotone linear', 'Ridge', 'Lasso', 'Elastic net', 'Explicit interactions', 'Random forest', 'Gradient boosting', 'MLP']}"
0,Elastic net,rolling_5y,0.0005041476978824811,0.022453233572972985,0.014113917705582419,0.021491919994860838,0.00037355899329494235,0.0374697047881848,0.009448480916134039,0.03281919995788485,0.0021276999614201486,11.0,"{'regressor__alpha': 0.001, 'regressor__l1_ratio': 0.25}"
0,Explicit interactions,rolling_5y,0.0013073339249875247,0.03615707295934676,0.022093420656801928,0.025455547726659075,-1.5921878928171505,0.00029548009923492647,0.012846594293360694,0.020799899997655302,0.0033083000453189015,56.0,{'regressor__ridge__alpha': 10.0}
0,Fuzzy Choquet neural network,rolling_5y,0.000511477873312649,0.022615876576260515,0.014364748781552849,0.02103053780723365,-0.014160747536299922,-0.07445556900709077,0.009527950827274064,0.33001420000800863,0.07074480003211647,154.0,"{'regressor__alpha': 0.0001, 'regressor__hidden_layer_sizes': (32,), 'regressor__mlp_solver': 'adam'}"
0,Gradient boosting,rolling_5y,0.0005198520530438459,0.022800264319604847,0.014288358772416146,0.022482553290642606,-0.030765110734241485,0.029011054330839007,0.009737967740212187,2.100732099963352,0.061432400019839406,,"{'regressor__l2_regularization': 1.0, 'regressor__learning_rate': 0.03, 'regressor__max_leaf_nodes': 7}"
0,Historical mean,rolling_5y,0.0005043360971672212,0.022457428551978544,0.014209848277218608,0.02123885176113129,0.0,1.5876488541820857e-17,0.009449339163057228,0.0047082999954000115,0.002016299986280501,,{}
0,Lasso,rolling_5y,0.0005043360971672212,0.022457428551978544,0.014209848277218608,0.02123885176113129,0.0,1.5876488541820857e-17,0.009449339163057228,0.015402999997604638,0.0021637000027112663,11.0,{'regressor__alpha': 0.001}
0,MLP,rolling_5y,0.000494881373562189,0.022245929370610457,0.013972807703075596,0.02144605373537435,0.01874687070415537,0.18458698948182686,0.00949529131759716,13.000376100011636,0.008516100002452731,97.0,"{'regressor__regressor__alpha': 0.01, 'regressor__regressor__hidden_layer_sizes': (8,), 'regressor__regressor__learning_rate_init': 0.0003, 'regressor__regressor__solver': 'lbfgs'}"
0,Monotone linear,rolling_5y,0.0005044222634644957,0.02245934690645513,0.01421831814982984,0.02122725920306091,-0.00017085094197799577,-0.0437325235738427,0.009473699507703949,0.005364599986933172,0.0030384999699890614,11.0,{}
0,OLS,rolling_5y,0.0005053445254706373,0.02247986933838,0.013994137456479086,0.021611904943851765,-0.0019995164119330777,0.04795680554745901,0.009651188620634575,0.004421900026500225,0.0024682999937795103,11.0,{}
0,OLS oriented,rolling_5y,0.0005053445254706373,0.02247986933838,0.013994137456479086,0.021611904943851765,-0.0019995164119330777,0.04795680554745901,0.009651188620634575,0.00550699996529147,0.0031263999990187585,11.0,{}
0,Random forest,rolling_5y,0.000512047391116256,0.02262846417935287,0.013987369680262585,0.02199514064933271,-0.015289990132270947,0.013666384045636642,0.009509699364726778,1.8249074000050314,0.22883430001093075,,"{'regressor__max_depth': 3, 'regressor__min_samples_leaf': 20}"
0,Ridge,rolling_5y,0.0005050232530759045,0.02247272242243704,0.013994187209506317,0.02160071181533413,-0.001362495987384138,0.050352880322053116,0.00963768576380977,0.014217799995094538,0.0021572000114247203,11.0,{'regressor__alpha': 10.0}
1,Choquet 1-additive,rolling_5y,0.00013097280265672047,0.011444334959128052,0.008753924014551434,0.010138426312948088,-0.6405188823128647,-0.10923217341067169,0.02531249536982101,0.1398056999896653,0.1456122999661602,11.0,{}
1,Choquet 1-additive scaled-q,rolling_5y,7.983620552545554e-05,0.008935110828940822,0.006841596473133114,0.00927682136368624,0.0,,0.022490871205863277,0.044602999987546355,0.04180830001132563,12.0,{}
1,Choquet 2-additive,rolling_5y,0.00011689193445993859,0.010811657341034194,0.00833104977830609,0.01015921467729911,-0.46414692044285544,-0.13121845554332087,0.02525933308319163,0.5854218000313267,0.8574022999964654,56.0,{}
1,Choquet 2-additive L1,rolling_5y,0.00011786751482718001,0.01085668065419537,0.008295990886204859,0.010283262483566355,-0.47636669417609423,-0.13131018112611334,0.025257111771365873,2.319651999976486,0.7450238000019453,56.0,"{'regressor__regressor__penalty': L1Penalty(weight=1e-05, selection=[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54])}"
1,Choquet 2-additive scaled-q,rolling_5y,7.983620552545554e-05,0.008935110828940822,0.006841596473133114,0.00927682136368624,0.0,,0.022490871205863277,0.056611499981954694,0.05420489999232814,57.0,{}
1,Choquet 2-additive scaled-q L1,rolling_5y,7.983620552544468e-05,0.008935110828940215,0.006841596473131649,0.00927682136368848,1.3589129821411916e-13,,0.022490871205863266,0.2401961999712512,0.05771549994824454,57.0,"{'regressor__penalty': L1Penalty(weight=0.001, selection=[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54])}"
1,Choquet model aggregator,rolling_5y,8.134486679796556e-05,0.009019138916657485,0.006886100175788238,0.009232576649060716,-0.018896956118849895,0.02469233646177439,0.022100342535061476,0.15242359996773303,0.0,66.0,"{'capacity': '2-additive', 'base models': ['Historical mean', 'OLS', 'OLS oriented', 'Monotone linear', 'Ridge', 'Lasso', 'Elastic net', 'Explicit interactions', 'Random forest', 'Gradient boosting', 'MLP']}"
1,Elastic net,rolling_5y,8.482205889676504e-05,0.00920988919025441,0.0070619823988417535,0.009269485734112164,-0.06245103131460539,0.012002470815161356,0.02212660271669629,0.034120699972845614,0.0028448000084608793,11.0,"{'regressor__alpha': 0.0001, 'regressor__l1_ratio': 0.25}"
1,Explicit interactions,rolling_5y,0.00012715455853239778,0.011276283010478132,0.008946277512598143,0.012032118072522538,-0.5926929103845613,0.11455843077679088,0.033213893216275464,0.020033299981150776,0.0030772999743930995,56.0,{'regressor__ridge__alpha': 10.0}
1,Fuzzy Choquet neural network,rolling_5y,8.28962452654022e-05,0.009104737517655422,0.006990036283085286,0.0093175031583354,-0.038328972673569384,-0.1464476783925566,0.023288048820599566,0.33311319997301325,0.07281710003735498,154.0,"{'regressor__alpha': 0.0001, 'regressor__hidden_layer_sizes': (32,), 'regressor__mlp_solver': 'adam'}"
1,Gradient boosting,rolling_5y,8.674032004250657e-05,0.009313448343256463,0.007066894831805402,0.009230825839050714,-0.08647849019890708,-0.02054731740061377,0.022511903572757352,0.7346246000379324,0.10637520003365353,,"{'regressor__l2_regularization': 1.0, 'regressor__learning_rate': 0.03, 'regressor__max_leaf_nodes': 15}"
1,Historical mean,rolling_5y,7.983620552545554e-05,0.008935110828940822,0.006841596473133114,0.00927682136368624,0.0,,0.022490871205863277,0.003682199981994927,0.0023310999968089163,,{}
1,Lasso,rolling_5y,8.459536923146916e-05,0.00919757409491596,0.007087713018336227,0.009209248724560802,-0.0596115969526656,0.020809456056921714,0.022131933078458635,0.015185500029474497,0.0024646000238135457,11.0,{'regressor__alpha': 0.0001}
1,MLP,rolling_5y,9.387660075210595e-05,0.009688993794615927,0.007313982461474105,0.008839858091731509,-0.17586501179810798,-0.008152466288507378,0.022126760282744167,13.120983300032094,0.03407100000185892,97.0,"{'regressor__regressor__alpha': 0.0001, 'regressor__regressor__hidden_layer_sizes': (8,), 'regressor__regressor__learning_rate_init': 0.0003, 'regressor__regressor__solver': 'lbfgs'}"
1,Monotone linear,rolling_5y,8.371016726919183e-05,0.009149326055463968,0.0069949086231101175,0.00934481059867922,-0.0485238710712661,-0.08472175237629147,0.02249166780950562,0.006066499976441264,0.003530799993313849,11.0,{}
1,OLS,rolling_5y,8.516011069220122e-05,0.009228223593530947,0.007067965436703891,0.009283242417089024,-0.06668534822898331,0.007929697489860874,0.02214598850424862,0.004156799986958504,0.00255430000834167,11.0,{}
1,OLS oriented,rolling_5y,8.516011069220122e-05,0.009228223593530947,0.007067965436703891,0.009283242417089024,-0.06668534822898331,0.007929697489860874,0.02214598850424862,0.0059587000287137926,0.0044435999589040875,11.0,{}
1,Random forest,rolling_5y,7.961550921986654e-05,0.008922752334334207,0.0068295977647672285,0.009264433049561184,0.002764363663533942,0.074164444249593,0.02227039985109784,1.7389506000326946,0.23092810000525787,,"{'regressor__max_depth': 3, 'regressor__min_samples_leaf': 5}"
1,Ridge,rolling_5y,8.506784078619306e-05,0.009223222906673842,0.007068292377998079,0.009273404556597387,-0.0655296081058041,0.008539420513940804,0.02214015053526554,0.015915700001642108,0.0023147999891079962,11.0,{'regressor__alpha': 10.0}
2,Choquet 1-additive,rolling_5y,0.00037504659621108953,0.019366119802662833,0.015776744974441453,0.01878316035839684,-0.406455057722664,-0.029444882084459265,0.010957115531232573,0.20527259999653324,0.1743078000145033,11.0,{}
2,Choquet 1-additive scaled-q,rolling_5y,0.0002666609175684334,0.016329755588141343,0.01269500887318709,0.016946787075160476,0.0,,0.008916783798592209,0.045062299992423505,0.04276240000035614,12.0,{}
2,Choquet 2-additive,rolling_5y,0.0003679694777355827,0.019182530535244373,0.01566273135536333,0.019083913005015083,-0.3799152912655468,-0.019564552507767112,0.01070899659014246,0.6202791999676265,0.595805199991446,56.0,{}
2,Choquet 2-additive L1,rolling_5y,0.00036867263518200954,0.01920084985572278,0.015666106268598514,0.01911609221779644,-0.3825521885388279,-0.020642405390509943,0.010692836111564533,2.763557500031311,0.5322426999919116,56.0,"{'regressor__regressor__penalty': L1Penalty(weight=0.0001, selection=[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54])}"
2,Choquet 2-additive scaled-q,rolling_5y,0.0002666609175684334,0.016329755588141343,0.01269500887318709,0.016946787075160476,0.0,,0.008916783798592209,0.05886749998899177,0.05491970002185553,57.0,{}
