model,feature,training_correlation,absolute_training_correlation,minimum_absolute_correlation,meets_correlation_threshold,subperiod_sign_agreement,sign_stable,stability_required,orientation_supported,orientation_sign,transformation,orientation_training_observations,orientation_source,training_subperiod_1_correlation,training_subperiod_2_correlation,training_subperiod_3_correlation
Logistic oriented [balanced],market_loss_1d,0.006109788359764367,0.006109788359764367,0.2,False,0.3333333333333333,False,False,False,1.0,unchanged (below absolute correlation threshold),366,training only (frozen before validation refit),0.0,0.0009517270151864689,-0.0561702481229007
Logistic oriented [balanced],vix,0.09253561339420646,0.09253561339420646,0.2,False,0.0,False,False,False,1.0,unchanged (below absolute correlation threshold),366,training only (frozen before validation refit),0.0,-0.06016038791422708,-0.2852782603133644
Logistic oriented [balanced],realized_volatility_20d,0.26789976453277353,0.26789976453277353,0.2,True,0.0,False,False,True,1.0,unchanged (positive training correlation),366,training only (frozen before validation refit),0.0,-0.11607533912556205,-0.0836319797426902
Logistic oriented [balanced],drawdown_severity,0.20159193714971002,0.20159193714971002,0.2,True,0.0,False,False,True,1.0,unchanged (positive training correlation),366,training only (frozen before validation refit),0.0,-0.09004553436354595,-0.1263172001990516
Logistic oriented [balanced],liquidity_stress_20d,0.028626042533119046,0.028626042533119046,0.2,False,0.6666666666666666,False,False,False,1.0,unchanged (below absolute correlation threshold),366,training only (frozen before validation refit),0.0,0.0004775074425676069,0.0043696460754809015
Logistic oriented [balanced],baa_credit_spread_pct,-0.05730030873079036,0.05730030873079036,0.2,False,0.6666666666666666,False,False,False,1.0,unchanged (below absolute correlation threshold),366,training only (frozen before validation refit),0.0,-0.030812240244884735,-0.24166043017777553
Logistic oriented [balanced],term_spread_10y_2y_pct,-0.3619185084821338,0.3619185084821338,0.2,True,0.0,False,False,True,-1.0,multiplied by -1,366,training only (frozen before validation refit),0.0,0.03341880588004415,0.07838519616980293
Logistic oriented [balanced],average_equity_correlation_60d,0.21486513259911552,0.21486513259911552,0.2,True,0.3333333333333333,False,False,True,1.0,unchanged (positive training correlation),366,training only (frozen before validation refit),0.0,-0.11199910079656641,0.032547002238362585
Logistic oriented [balanced],negative_momentum_21d,0.08845786428479391,0.08845786428479391,0.2,False,0.0,False,False,False,1.0,unchanged (below absolute correlation threshold),366,training only (frozen before validation refit),0.0,-0.06315540070341435,-0.19151346315745535
Logistic oriented [balanced],lagged_portfolio_loss_1d,-0.009020358404748874,0.009020358404748874,0.2,False,0.6666666666666666,False,False,False,1.0,unchanged (below absolute correlation threshold),366,training only (frozen before validation refit),0.0,-0.045873480931254006,-0.07329437531643757
Choquistic 1-additive [balanced],market_loss_1d,0.006109788359764367,0.006109788359764367,0.2,False,0.3333333333333333,False,False,False,1.0,unchanged (below absolute correlation threshold),366,training only (frozen before validation refit),0.0,0.0009517270151864689,-0.0561702481229007
Choquistic 1-additive [balanced],vix,0.09253561339420646,0.09253561339420646,0.2,False,0.0,False,False,False,1.0,unchanged (below absolute correlation threshold),366,training only (frozen before validation refit),0.0,-0.06016038791422708,-0.2852782603133644
