model,base model,class weight,probability calibration,evaluation_structure,Brier,Log loss,Mean predicted probability,Observed event prevalence,Calibration gap,Absolute calibration gap
Choquistic 1-additive [balanced],Choquistic 1-additive,balanced,uncalibrated,rolling_5y,0.221660667525349,0.6411205961185628,0.45668629618943213,0.03825136612021858,0.41843493006921356,0.41843493006921356
Choquistic 2-additive [balanced],Choquistic 2-additive,balanced,uncalibrated,rolling_5y,0.21377040005143755,0.6238725106594534,0.4303194003355707,0.03825136612021858,0.39206803421535213,0.39206803421535213
Choquistic 2-additive [unweighted] [sigmoid],Choquistic 2-additive,unweighted,sigmoid,rolling_5y,0.03651713467926817,0.1590185927709482,0.03602884763861395,0.03825136612021858,-0.002222518481604631,0.002222518481604631
Choquistic 2-additive [unweighted],Choquistic 2-additive,unweighted,uncalibrated,rolling_5y,0.036826436062848925,0.16886978627422847,0.03445854358632794,0.03825136612021858,-0.0037928225338906413,0.0037928225338906413
Choquistic 1-additive [unweighted],Choquistic 1-additive,unweighted,uncalibrated,rolling_5y,0.03701264958932782,0.1654530073420869,0.03648216420006995,0.03825136612021858,-0.001769201920148629,0.001769201920148629
Choquistic 1-additive [balanced] [sigmoid],Choquistic 1-additive,balanced,sigmoid,rolling_5y,0.03678481626783664,0.1622939152775565,0.03792532214219453,0.03825136612021858,-0.0003260439780240487,0.0003260439780240487
Choquistic 2-additive [balanced] [sigmoid],Choquistic 2-additive,balanced,sigmoid,rolling_5y,0.03668868192828006,0.16074207965307508,0.03700190880570847,0.03825136612021858,-0.0012494573145101079,0.0012494573145101079
Gradient boosting [unweighted],Gradient boosting,unweighted,uncalibrated,rolling_5y,0.05065843405212334,0.24695058320018334,0.04999144147068376,0.03825136612021858,0.01174007535046518,0.01174007535046518
Penalized logistic [balanced] [sigmoid],Penalized logistic,balanced,sigmoid,rolling_5y,0.08394100530350926,0.29844955764225123,0.11779282917370028,0.03825136612021858,0.0795414630534817,0.0795414630534817
Penalized logistic [unweighted] [sigmoid],Penalized logistic,unweighted,sigmoid,rolling_5y,0.06151654010637359,0.23290532739806344,0.09195020566063075,0.03825136612021858,0.05369883954041217,0.05369883954041217
Logistic [unweighted] [sigmoid],Logistic,unweighted,sigmoid,rolling_5y,0.06754014687939706,0.24811869378723236,0.10072915340926539,0.03825136612021858,0.06247778728904681,0.06247778728904681
Logistic oriented [unweighted] [sigmoid],Logistic oriented,unweighted,sigmoid,rolling_5y,0.06754014687939706,0.24811869378723236,0.10072915340926539,0.03825136612021858,0.06247778728904681,0.06247778728904681
Logistic [balanced] [sigmoid],Logistic,balanced,sigmoid,rolling_5y,0.08385437692850677,0.2980126184699415,0.11977326566302078,0.03825136612021858,0.0815218995428022,0.0815218995428022
Logistic oriented [balanced] [sigmoid],Logistic oriented,balanced,sigmoid,rolling_5y,0.08385437692850677,0.2980126184699415,0.11977326566302078,0.03825136612021858,0.0815218995428022,0.0815218995428022
Penalized logistic [balanced],Penalized logistic,balanced,uncalibrated,rolling_5y,0.513543293684342,2.379557508077191,0.6573592905060184,0.03825136612021858,0.6191079243857998,0.6191079243857998
Gradient boosting [balanced],Gradient boosting,balanced,uncalibrated,rolling_5y,0.06154470412178876,0.27420345476303554,0.07373269371648325,0.03825136612021858,0.03548132759626467,0.03548132759626467
Penalized logistic [unweighted],Penalized logistic,unweighted,uncalibrated,rolling_5y,0.10482835542977897,0.35579775901965327,0.16852259640923958,0.03825136612021858,0.130271230289021,0.130271230289021
Gradient boosting [balanced] [sigmoid],Gradient boosting,balanced,sigmoid,rolling_5y,0.037416693036635564,0.16658770765294936,0.04165643108450435,0.03825136612021858,0.0034050649642857686,0.0034050649642857686
Choquistic model aggregator [unweighted] [sigmoid],Choquistic model aggregator,unweighted,sigmoid,rolling_5y,0.041430133634604044,0.17857372545052302,0.0423861623681261,0.03825136612021858,0.004134796247907517,0.004134796247907517
Rolling prior probability [sigmoid],Rolling prior probability,not applicable,sigmoid,rolling_5y,0.03699676270435635,0.165435692510448,0.03680224709471407,0.03825136612021858,-0.001449119025504507,0.001449119025504507
