asset,model,first,second,interaction,interpretation
AAPL,Choquet 2-additive,value_growth_spread,low_volatility_spread,0.011203666407231614,complementary
AAPL,Choquet 2-additive,value_growth_spread,momentum_spread,-0.014836229894098326,redundant
AAPL,Choquet 2-additive,value_growth_spread,quality_spread,0.006299753399783634,complementary
AAPL,Choquet 2-additive L1,market_excess_return,low_volatility_spread,-0.015285821844191251,redundant
AAPL,Choquet 2-additive L1,market_excess_return,momentum_spread,0.012580486841777384,complementary
AAPL,Choquet 2-additive L1,market_excess_return,quality_spread,-0.029238699116332027,redundant
AAPL,Choquet 2-additive L1,market_excess_return,sector_excess_return,0.15276493239531586,complementary
AAPL,Choquet 2-additive L1,market_excess_return,size_spread,-0.038089709314517294,redundant
AAPL,Choquet 2-additive L1,market_excess_return,value_growth_spread,-0.021950344148635205,redundant
AAPL,Choquet 2-additive L1,momentum_spread,low_volatility_spread,-0.009957832154211454,redundant
AAPL,Choquet 2-additive L1,momentum_spread,quality_spread,0.0164394683119276,complementary
AAPL,Choquet 2-additive L1,quality_spread,low_volatility_spread,-0.02638791045186153,redundant
AAPL,Choquet 2-additive L1,sector_excess_return,low_volatility_spread,-0.026566970221557476,redundant
AAPL,Choquet 2-additive L1,sector_excess_return,momentum_spread,0.011532995310066246,complementary
AAPL,Choquet 2-additive L1,sector_excess_return,quality_spread,-0.014386749597674699,redundant
AAPL,Choquet 2-additive L1,sector_excess_return,size_spread,-0.034100366053781396,redundant
AAPL,Choquet 2-additive L1,sector_excess_return,value_growth_spread,-0.030476606674702554,redundant
AAPL,Choquet 2-additive L1,size_spread,low_volatility_spread,0.02849169829097468,complementary
AAPL,Choquet 2-additive L1,size_spread,momentum_spread,0.0016477209505832125,complementary
AAPL,Choquet 2-additive L1,size_spread,quality_spread,0.005485476858552013,complementary
AAPL,Choquet 2-additive L1,size_spread,value_growth_spread,-0.014554593944896364,redundant
AAPL,Choquet 2-additive L1,value_growth_spread,low_volatility_spread,0.010947750171898727,complementary
AAPL,Choquet 2-additive L1,value_growth_spread,momentum_spread,-0.014542855565391387,redundant
AAPL,Choquet 2-additive L1,value_growth_spread,quality_spread,0.006780791672107564,complementary
AAPL,Choquet 2-additive scaled-q,market_excess_return,low_volatility_spread,9.25185853854297e-18,complementary
AAPL,Choquet 2-additive scaled-q,market_excess_return,momentum_spread,9.25185853854297e-18,complementary
AAPL,Choquet 2-additive scaled-q,market_excess_return,quality_spread,9.25185853854297e-18,complementary
AAPL,Choquet 2-additive scaled-q,market_excess_return,sector_excess_return,9.25185853854297e-18,complementary
AAPL,Choquet 2-additive scaled-q,market_excess_return,size_spread,9.25185853854297e-18,complementary
AAPL,Choquet 2-additive scaled-q,market_excess_return,value_growth_spread,9.25185853854297e-18,complementary
AAPL,Choquet 2-additive scaled-q,momentum_spread,low_volatility_spread,9.25185853854297e-18,complementary
AAPL,Choquet 2-additive scaled-q,momentum_spread,quality_spread,9.25185853854297e-18,complementary
AAPL,Choquet 2-additive scaled-q,quality_spread,low_volatility_spread,9.25185853854297e-18,complementary
AAPL,Choquet 2-additive scaled-q,sector_excess_return,low_volatility_spread,9.25185853854297e-18,complementary
AAPL,Choquet 2-additive scaled-q,sector_excess_return,momentum_spread,9.25185853854297e-18,complementary
AAPL,Choquet 2-additive scaled-q,sector_excess_return,quality_spread,9.25185853854297e-18,complementary
AAPL,Choquet 2-additive scaled-q,sector_excess_return,size_spread,9.25185853854297e-18,complementary
AAPL,Choquet 2-additive scaled-q,sector_excess_return,value_growth_spread,9.25185853854297e-18,complementary
AAPL,Choquet 2-additive scaled-q,size_spread,low_volatility_spread,9.25185853854297e-18,complementary
AAPL,Choquet 2-additive scaled-q,size_spread,momentum_spread,9.25185853854297e-18,complementary
AAPL,Choquet 2-additive scaled-q,size_spread,quality_spread,9.25185853854297e-18,complementary
AAPL,Choquet 2-additive scaled-q,size_spread,value_growth_spread,9.25185853854297e-18,complementary
