,Rolling prior probability,Logistic [balanced],Logistic oriented [balanced],Penalized logistic [balanced],Explicit interactions [balanced],RBF SVM [balanced],Random forest [balanced],Gradient boosting [balanced],MLP
Rolling prior probability,0.0,-0.008540620691454729,-0.00854057081787933,5.105505065786013e-05,-1.5500714261354557e-15,1.3024582942329217e-15,8.617967830903615e-06,-1.3888412699253807e-15,-1.5239646095295982e-16
Logistic [balanced],-0.008540620691454729,0.0,0.046591083032871086,2.145036869183064e-15,1.6503281752821366e-15,-0.023772007421677486,3.642593169952589e-15,-3.019877845566661e-15,-0.06310936053822128
Logistic oriented [balanced],-0.00854057081787933,0.046591083032871086,0.0,-4.029785688848211e-15,1.0238451828150856e-15,-0.023772038982934954,-2.908780030597382e-15,-9.41117401363748e-16,-0.06310950631992951
Penalized logistic [balanced],5.105505065786013e-05,2.145036869183064e-15,-4.029785688848211e-15,0.0,1.5166015826944593e-15,-1.9540348939283978e-15,6.660974609276952e-16,0.35725559447972854,7.187181329199172e-15
Explicit interactions [balanced],-1.5500714261354557e-15,1.6503281752821366e-15,1.0238451828150856e-15,1.5166015826944593e-15,0.0,2.1868368434618605e-15,-8.627315147986031e-16,-0.10616872519099667,5.671172733543342e-16
RBF SVM [balanced],1.3024582942329217e-15,-0.023772007421677486,-0.023772038982934954,-1.9540348939283978e-15,2.1868368434618605e-15,0.0,9.488154294000334e-16,-3.440173203445504e-16,-1.1273358362158676e-15
Random forest [balanced],8.617967830903615e-06,3.642593169952589e-15,-2.908780030597382e-15,6.660974609276952e-16,-8.627315147986031e-16,9.488154294000334e-16,0.0,2.266643829133981e-14,2.593290544906758e-16
Gradient boosting [balanced],-1.3888412699253807e-15,-3.019877845566661e-15,-9.41117401363748e-16,0.35725559447972854,-0.10616872519099667,-3.440173203445504e-16,2.266643829133981e-14,0.0,1.0450253303979645e-15
MLP,-1.5239646095295982e-16,-0.06310936053822128,-0.06310950631992951,7.187181329199172e-15,5.671172733543342e-16,-1.1273358362158676e-15,2.593290544906758e-16,1.0450253303979645e-15,0.0
