model,sample,n_observations,n_exceedances,exceedance_frequency,average_capital,capital_standard_deviation,mean_absolute_capital_change,mean_exceedance,maximum_exceedance,total_exceedance
VaR 99%,all,3748,48,0.012806830309498399,0.04716688436406651,0.0182607918365833,0.00019085348809578042,0.018270065103828958,0.07813628729778099,0.87696312498379
VaR 99%,stress,495,37,0.07474747474747474,0.05608619897595618,0.02083735117735207,0.0012458471372942751,0.019137011298503363,0.06845147025051153,0.7080694180446244
ES 97.5%,all,3748,38,0.010138740661686232,0.04739617180103837,0.015485001926626156,0.00015712891634935125,0.021223661510174196,0.08056888047420016,0.8064991373866195
ES 97.5%,stress,495,32,0.06464646464646465,0.05531175119016418,0.016958060385988294,0.0009712352602851964,0.0205873226680129,0.060592550105501665,0.6587943253764128
PH gamma=0.70,all,3748,925,0.2467982924226254,0.005668681450749547,0.0017989358837218303,5.9459693149266026e-05,0.009978566191088719,0.10782480459060963,9.230173726757066
PH gamma=0.70,stress,495,223,0.4505050505050505,0.006645260917462517,0.0019570780975184977,0.0001883908888055458,0.022547441524675582,0.09917463112032113,5.028079460002655
PH gamma=0.50,all,3748,432,0.1152614727854856,0.012211082337503905,0.0035396071746926585,7.079920984952877e-05,0.012154488978452635,0.10369443208282954,5.250739238691538
PH gamma=0.50,stress,495,174,0.3515151515151515,0.014022014937518585,0.003704541868515103,0.00028721790922717276,0.020801915718230934,0.09176396547236686,3.6195333349721825
