,Historical mean,OLS,OLS oriented,Monotone linear,Ridge,Lasso,Elastic net,Explicit interactions,Random forest,Gradient boosting,MLP
Historical mean,0.0,0.0032067934200656887,0.00320679342006569,0.001474605178346761,0.0029890491992944895,0.0014554717031750402,0.001526729523443266,0.008619482201769883,0.0012439594437794789,-0.00012908033854438472,0.0008178731087984378
OLS,0.0032067934200656887,0.0,0.0009016871305703809,0.0020078453526782107,0.0009356155249268956,0.0024099995123291066,0.0018570319459058236,0.0059931099684315215,0.0010673794237479539,0.000383795761983729,0.0035307246262902573
OLS oriented,0.00320679342006569,0.0009016871305703809,0.0,0.0020078453526781916,0.0009356155249268976,0.0024099995123291135,0.001857031945905827,0.005993109968431519,0.0010673794237479595,0.0003837957619837264,0.0035307246262902487
Monotone linear,0.001474605178346761,0.0020078453526782107,0.0020078453526781916,0.0,0.0018086373057779582,0.0006661611149644974,0.000505080724908142,0.007640549303797599,-0.00031375421233549485,-0.0016140706386934902,0.0005538435143815632
Ridge,0.0029890491992944895,0.0009356155249268956,0.0009356155249268976,0.0018086373057779582,0.0,0.0022008120671741906,0.0016493961552043737,0.006068010372098866,0.0009183800260034614,0.00013086431204184322,0.0029755553336266736
Lasso,0.0014554717031750402,0.0024099995123291066,0.0024099995123291135,0.0006661611149644974,0.0022008120671741906,0.0,0.000746771550886069,0.007820060203120795,0.0005929227218217218,-0.0007720202083326755,0.0007043229766152801
Elastic net,0.001526729523443266,0.0018570319459058236,0.001857031945905827,0.000505080724908142,0.0016493961552043737,0.000746771550886069,0.0,0.00721588227962448,0.00021680744100055155,-0.0011451403541857638,0.0005936140751050628
Explicit interactions,0.008619482201769883,0.0059931099684315215,0.005993109968431519,0.007640549303797599,0.006068010372098866,0.007820060203120795,0.00721588227962448,0.0,0.005206344033153809,0.0012985263570944017,-0.0003232063887262396
Random forest,0.0012439594437794789,0.0010673794237479539,0.0010673794237479595,-0.00031375421233549485,0.0009183800260034614,0.0005929227218217218,0.00021680744100055155,0.005206344033153809,0.0,-0.006839083171463181,-0.0012374864052090136
Gradient boosting,-0.00012908033854438472,0.000383795761983729,0.0003837957619837264,-0.0016140706386934902,0.00013086431204184322,-0.0007720202083326755,-0.0011451403541857638,0.0012985263570944017,-0.006839083171463181,0.0,-0.0041679893942982455
MLP,0.0008178731087984378,0.0035307246262902573,0.0035307246262902487,0.0005538435143815632,0.0029755553336266736,0.0007043229766152801,0.0005936140751050628,-0.0003232063887262396,-0.0012374864052090136,-0.0041679893942982455,0.0
