model,base model,class weight,probability calibration,evaluation_structure,ROC AUC,PR AUC,validation PR AUC
Choquistic 1-additive [balanced],Choquistic 1-additive,balanced,uncalibrated,rolling_5y,0.6508036716370049,0.08709102973995485,0.03783476116051758
Choquistic 2-additive [balanced],Choquistic 2-additive,balanced,uncalibrated,rolling_5y,0.6117925284591951,0.08369198864395298,0.04859525360378775
Choquistic 2-additive [unweighted] [sigmoid],Choquistic 2-additive,unweighted,sigmoid,rolling_5y,0.6212822671156004,0.0770953207876981,0.03432784388335468
Choquistic 2-additive [unweighted],Choquistic 2-additive,unweighted,uncalibrated,rolling_5y,0.5650953984287317,0.07435695974663564,0.03432784388335468
Choquistic 1-additive [unweighted],Choquistic 1-additive,unweighted,uncalibrated,rolling_5y,0.5797859547859547,0.06824345262128018,0.03703832631976743
Choquistic 1-additive [balanced] [sigmoid],Choquistic 1-additive,balanced,sigmoid,rolling_5y,0.5608866442199776,0.05099543071431388,0.03783476116051758
Choquistic 2-additive [balanced] [sigmoid],Choquistic 2-additive,balanced,sigmoid,rolling_5y,0.5859788359788359,0.04996376113681057,0.04859525360378775
Gradient boosting [unweighted],Gradient boosting,unweighted,uncalibrated,rolling_5y,0.5498937790604457,0.04518657340970003,0.04177171024544174
Penalized logistic [balanced] [sigmoid],Penalized logistic,balanced,sigmoid,rolling_5y,0.5366462241462241,0.044367567308623526,0.052320672894452636
Penalized logistic [unweighted] [sigmoid],Penalized logistic,unweighted,sigmoid,rolling_5y,0.5280683822350489,0.043870189724244474,0.04488701156760755
Logistic [unweighted] [sigmoid],Logistic,unweighted,sigmoid,rolling_5y,0.49914822831489497,0.0420924891578819,0.03185943804372831
Logistic oriented [unweighted] [sigmoid],Logistic oriented,unweighted,sigmoid,rolling_5y,0.49914822831489497,0.0420924891578819,0.03185943804372831
Logistic [balanced] [sigmoid],Logistic,balanced,sigmoid,rolling_5y,0.49192320025653363,0.041919858792844295,0.031475016202798425
Logistic oriented [balanced] [sigmoid],Logistic oriented,balanced,sigmoid,rolling_5y,0.49192320025653363,0.041919858792844295,0.031475016202798425
Penalized logistic [balanced],Penalized logistic,balanced,uncalibrated,rolling_5y,0.5232784191117525,0.04160737796054805,0.052320672894452636
Gradient boosting [balanced],Gradient boosting,balanced,uncalibrated,rolling_5y,0.5030713884880551,0.041016379824123934,0.04342256815406613
Penalized logistic [unweighted],Penalized logistic,unweighted,uncalibrated,rolling_5y,0.49723424723424725,0.03960115606025141,0.04488701156760755
Gradient boosting [balanced] [sigmoid],Gradient boosting,balanced,sigmoid,rolling_5y,0.5177819865319865,0.03764618579965075,0.04342256815406613
Choquistic model aggregator [unweighted] [sigmoid],Choquistic model aggregator,unweighted,sigmoid,rolling_5y,0.503797899631233,0.037471932862250076,0.04832759194191423
Rolling prior probability [sigmoid],Rolling prior probability,not applicable,sigmoid,rolling_5y,0.45775212441879104,0.037409229905851576,0.0317490426236146
Choquistic 1-additive [unweighted] [sigmoid],Choquistic 1-additive,unweighted,sigmoid,rolling_5y,0.4898889690556357,0.036303854449493994,0.03703832631976743
Choquistic model aggregator [balanced] [sigmoid],Choquistic model aggregator,balanced,sigmoid,rolling_5y,0.4622214205547539,0.03502014146249866,0.05260360235283799
Choquistic model aggregator [balanced],Choquistic model aggregator,balanced,uncalibrated,rolling_5y,0.4011293490460157,0.03418936970913771,0.05260360235283799
Rolling prior probability,Rolling prior probability,not applicable,uncalibrated,rolling_5y,0.4072671156004489,0.033836099014071086,0.0317490426236146
Choquistic model aggregator [unweighted],Choquistic model aggregator,unweighted,uncalibrated,rolling_5y,0.42397186147186144,0.03358576463825917,0.04832759194191423
Logistic oriented [balanced],Logistic oriented,balanced,uncalibrated,rolling_5y,0.43871252204585537,0.03203567864363761,0.031475016202798425
Logistic [balanced],Logistic,balanced,uncalibrated,rolling_5y,0.43871252204585537,0.03203567864363761,0.031475016202798425
Gradient boosting [unweighted] [sigmoid],Gradient boosting,unweighted,sigmoid,rolling_5y,0.3975669392336059,0.030206462248792833,0.04177171024544174
Logistic [unweighted],Logistic,unweighted,uncalibrated,rolling_5y,0.4010541927208594,0.02948053904658666,0.03185943804372831
Logistic oriented [unweighted],Logistic oriented,unweighted,uncalibrated,rolling_5y,0.4010541927208594,0.02948053904658666,0.03185943804372831
