,MSE,RMSE,MAE,Tail-weighted MAE,OOS R2,Correlation
Explicit interactions,0.0006355263720196569,0.025209648391432533,0.020191461956166022,0.027017360585876796,-1.8942139565529814,0.2752968808700515
Choquet model aggregator,0.0007672326777419858,0.027698965282876287,0.02319407545649646,0.03130945429645494,-2.4940100389346074,-0.05703240314719122
MLP,0.0007926839955531802,0.028154644298111462,0.023262241678969443,0.03168782101598677,-2.6099164158607664,-0.24072024057974095
Fuzzy Choquet neural network,0.0007955473814306638,0.028205449498823164,0.024388791045386552,0.03183622044316489,-2.622956396158159,0.337159525017547
Choquet 1-additive,0.0007955754155083227,0.028205946456524425,0.02360757887942562,0.02994541138748999,-2.623084064532583,0.18706142751321755
Lasso,0.0008066859246782123,0.028402216897246108,0.024168142588173718,0.032066763422102594,-2.6736817928404015,-0.06224331793769331
Monotone linear,0.0008105473747603607,0.028470113711756766,0.024195963808178247,0.03210255824618033,-2.69126699970565,0.016216918771311546
Choquet 1-additive scaled-q,0.0008105909240339853,0.028470878525854892,0.024303492543860966,0.03217030301954077,-2.6914653249381995,-0.09819079148964915
Historical mean,0.0008105909240339853,0.028470878525854892,0.024303492543860966,0.03217030301954077,-2.6914653249381995,-0.09819079148964915
Choquet 2-additive scaled-q,0.0008105909240339853,0.028470878525854892,0.024303492543860966,0.03217030301954077,-2.6914653249381995,-0.09819079148964915
Choquet 2-additive scaled-q L1,0.0008105909240346138,0.028470878525865932,0.02430349254387321,0.032170303019553474,-2.6914653249410616,-0.0981907914957069
Ridge,0.0008162718905153441,0.028570472353731644,0.02359101799056447,0.03207204922613462,-2.717336686381167,-0.2414592794725465
OLS oriented,0.0008162719888871095,0.028570474075295102,0.023564577639274463,0.032059511996303025,-2.717337134370344,-0.24018224923649814
OLS,0.0008162719888871095,0.028570474075295102,0.023564577639274463,0.032059511996303025,-2.717337134370344,-0.24018224923649814
Elastic net,0.0008319084314206017,0.028842822875381004,0.024409847929946646,0.03252106561456329,-2.7885461544892953,-0.1620881540862691
Choquet 2-additive L1,0.0008386448623491058,0.028959365710407158,0.024672727647914398,0.031132570415162878,-2.819224145630202,0.19963180739695616
Gradient boosting,0.0008479686776327492,0.029119901744902046,0.023718396011702243,0.032473922604703595,-2.8616851944714736,-0.33642362548540816
Choquet 2-additive,0.000851019243891836,0.02917223412582307,0.02479947459250777,0.03134208858605762,-2.8755776021372337,0.18104058090576378
Random forest,0.0008665294546954102,0.02943687236605496,0.024728755687002606,0.03316567511930904,-2.946211757623381,-0.4044365276063334
