fold,model,MSE,RMSE,MAE,Tail-weighted MAE,OOS R2,Correlation,validation RMSE,selection runtime seconds,refit runtime seconds,parameter count,best parameters
0,Choquet 1-additive,0.002402450778503523,0.049014801626687456,0.033606352352616956,0.044064047831264934,-0.4556715856111526,-0.0763346854205029,0.02697138209282457,0.18275929999992968,0.12504260000002887,11.0,{}
0,Choquet 2-additive,0.0023247531485705553,0.04821569400693674,0.032526986447055456,0.04492752607287063,-0.4085937294591102,-0.1944567202657112,0.02534800948003425,0.6705933000000641,0.6152181000001065,56.0,{}
0,Choquet 2-additive L1,0.0023548758354278777,0.04852706291779751,0.032769190849388966,0.044681351372948465,-0.42684539968387103,-0.16908475791451538,0.025301065579905316,2.5714530000000195,0.6151611999999886,56.0,"{'regressor__regressor__penalty': L1Penalty(weight=0.001, selection=[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54])}"
0,Elastic net,0.0016452635592158038,0.04056184856753701,0.027148583165210675,0.04136251209456324,0.003116552721329491,0.09181205068694721,0.020183214497977848,0.04265039999995679,0.0031836000000566855,11.0,"{'regressor__alpha': 0.001, 'regressor__l1_ratio': 0.75}"
0,Explicit interactions,0.001707929229652257,0.04132710042638192,0.02869963877080271,0.041894533390314556,-0.03485327236888058,0.20389064146577557,0.02940289918439952,0.022720899999967514,0.004223499999966407,56.0,{'regressor__ridge__alpha': 10.0}
0,Gradient boosting,0.0017583024314785241,0.04193211694487323,0.027408634048256955,0.04385293581817189,-0.06537495432418283,0.08547563466876076,0.026537485412220514,0.7579709000000321,0.06972069999994801,,"{'regressor__l2_regularization': 0.0, 'regressor__learning_rate': 0.03, 'regressor__max_leaf_nodes': 7}"
0,Historical mean,0.0016504071400795203,0.04062520326200868,0.027468947779662176,0.04105815285142645,0.0,,0.019525040189205284,0.00450439999997343,0.0033971000000292406,,{}
0,Lasso,0.0016504071400795203,0.04062520326200868,0.027468947779662176,0.04105815285142645,0.0,,0.019525040189205284,0.018213999999943553,0.00315330000000813,11.0,{'regressor__alpha': 0.01}
0,MLP,0.003922867720517684,0.06263280067598513,0.04601338840677607,0.05930085114715163,-1.3769090821605818,0.1936776757871465,0.09785314304117482,2.560237099999995,1.110622899999953,,"{'regressor__alpha': 0.001, 'regressor__hidden_layer_sizes': (32, 16)}"
0,Monotone linear,0.0016537986743521281,0.04066692359094954,0.02753327996701007,0.041021343864682897,-0.0020549682501036504,-0.1397413220866548,0.01983368897159696,0.0061776000000008935,0.004368799999951989,11.0,{}
0,OLS,0.0016467152398386697,0.04057973927760835,0.027042463109633038,0.04183677432263714,0.0022369633232879327,0.11801724155091745,0.022697570566381248,0.005128099999978986,0.0035177000000885528,11.0,{}
0,OLS oriented,0.0016467152398386697,0.04057973927760835,0.027042463109633038,0.04183677432263714,0.0022369633232879327,0.11801724155091745,0.022697570566381248,0.006252499999959582,0.0042077999999037274,11.0,{}
0,Random forest,0.0017266382215675726,0.041552836504474305,0.027438399350347333,0.04335376018387046,-0.04618925817563979,0.07592735986981956,0.02317847799606009,1.6851999000000433,0.301664199999891,,"{'regressor__max_depth': None, 'regressor__min_samples_leaf': 20}"
0,Ridge,0.001644678470393553,0.0405546356215113,0.027030349964078458,0.0417884604537473,0.00347106453119872,0.1200167939633041,0.02249921104655025,0.018398700000034296,0.0031498000000738102,11.0,{'regressor__alpha': 10.0}
1,Choquet 1-additive,0.000687816007945663,0.026226246547031144,0.020321928967374326,0.021774962541185418,-1.3004131594811912,-0.17499051979619518,0.047780622519762964,0.17894139999998515,0.09259269999995468,11.0,{}
