,Shapley importance
realized_volatility_20d,0.42824740502556485
term_spread_10y_2y_pct,0.1883012896866234
vix,0.1741881257048927
market_loss_1d,0.12299003240301602
lagged_portfolio_loss_1d,0.04869619396542882
negative_momentum_21d,0.03757695321447796
baa_credit_spread_pct,1.543892816098964e-17
liquidity_stress_20d,-8.07952990304018e-17
average_equity_correlation_60d,-1.7529042430084087e-16
drawdown_severity,-1.8764388537032862e-15
