asset,model,stress observations,MSE,RMSE,MAE,Tail-weighted MAE,OOS R2,Correlation
AAPL,Monotone linear,512,0.0004596072705586131,0.021438453082221514,0.015926423268281233,0.017018926843888747,0.44827562827161627,0.7250347120505539
AAPL,Lasso,512,0.0004815249934004998,0.021943677754663184,0.01595520520600297,0.016829752572444696,0.42196503085665515,0.7083557852949546
AAPL,Elastic net,512,0.0004831691357474686,0.02198110861051982,0.015985224950394616,0.01685607549755178,0.4199913601566446,0.7078021122840895
AAPL,Ridge,512,0.00048372306448430985,0.021993705110424432,0.015995324808950676,0.016864903797182335,0.4193264098743208,0.7076157504477849
AAPL,OLS,512,0.0004837291997588007,0.0219938445879478,0.01599535559356991,0.016864894542956015,0.4193190449332489,0.7076131247246259
AAPL,OLS oriented,512,0.0004837291997588007,0.0219938445879478,0.01599535559356991,0.016864894542956015,0.4193190449332489,0.7076131247246259
AAPL,Choquet 1-additive,512,0.00071330609291603,0.026707790865513944,0.020921274233964837,0.022122513104087516,0.14372904613584425,0.6904141047232414
AMZN,Monotone linear,520,0.0004398010218549653,0.020971433471629098,0.016077651753383212,0.01672276063078636,0.575199810334913,0.8095721843225238
AMZN,Lasso,520,0.00044272678375588273,0.021041073731059515,0.016283677190213112,0.01674940678233824,0.5723738409790835,0.8124319135663433
AMZN,Elastic net,520,0.0004437920265989812,0.02106637193726013,0.01630894211646568,0.01676678560892708,0.5713449316785116,0.8123339346363924
AMZN,Ridge,520,0.0004441516283743623,0.02107490518067311,0.01631741226081761,0.016772610327397557,0.5709975952813803,0.8123011843384953
AMZN,OLS,520,0.00044415411991875634,0.021074964292229686,0.016317500423767103,0.01677266857514255,0.5709951887191429,0.8123023424975024
AMZN,OLS oriented,520,0.00044415411991875634,0.021074964292229686,0.016317500423767103,0.01677266857514255,0.5709951887191429,0.8123023424975024
AMZN,Choquet 1-additive,520,0.0012805726717314506,0.03578509007577668,0.029566980227997905,0.028582879869514896,-0.2368946109698673,0.7500113935882972
JPM,Lasso,527,0.00026282388781438616,0.016211844059649295,0.008882924901052589,0.012029993840989555,0.6862989481736446,0.851700227093081
JPM,Elastic net,527,0.00026286056043190326,0.016212975064185575,0.008881834392215201,0.012030117846075338,0.6862551765104825,0.8515596777886539
JPM,OLS,527,0.0002628726922960936,0.016213349200461132,0.008881468110385635,0.012030106087448665,0.6862406961731404,0.8515095380444687
JPM,OLS oriented,527,0.0002628726922960936,0.016213349200461132,0.008881468110385635,0.012030106087448665,0.6862406961731404,0.8515095380444687
JPM,Ridge,527,0.0002628737645007771,0.016213382265917776,0.008881490057194318,0.012030158491206991,0.6862394164122336,0.8515105368595046
JPM,Monotone linear,527,0.0002704923753947955,0.016446652406942742,0.009462503614251693,0.012529992456713625,0.6771460030593457,0.8410693192519142
JPM,Choquet 1-additive,527,0.00039026736967467924,0.01975518589319471,0.013512989034303018,0.016163410893599944,0.5341850948993128,0.7368766138092525
KO,Lasso,521,0.00015113081295144184,0.012293527278671564,0.007998416964048061,0.010982679117122201,0.578308004087694,0.7926218048237987
KO,Elastic net,521,0.00015113565377762608,0.012293724162255557,0.008008403154924104,0.010985364482271167,0.5782944969966142,0.7919026613424912
KO,Ridge,521,0.00015114563975014787,0.012294130296615042,0.008011891779432146,0.010986468756488831,0.5782666336866669,0.7916476591751895
KO,OLS,521,0.00015114564472013136,0.012294130498743347,0.008011886657057075,0.010986450647406663,0.5782666198191954,0.791646452193641
KO,OLS oriented,521,0.00015114564472013136,0.012294130498743347,0.008011886657057075,0.010986450647406663,0.5782666198191954,0.791646452193641
KO,Monotone linear,521,0.00015512261048973865,0.012454822780342507,0.008072056152218078,0.0110677793790158,0.5671699109462043,0.7931484646646254
KO,Choquet 1-additive,521,0.0004315109846476471,0.020772842478766526,0.01593032832135902,0.017898464667205502,-0.2040213694385129,0.43115360354279775
MSFT,Ridge,511,0.00036189235554582466,0.019023468546661638,0.012484694655008904,0.01402300081239525,0.5523159983742559,0.758016746339496
MSFT,OLS,511,0.0003640686803498099,0.019080583857676105,0.01253230795196095,0.014045850215683406,0.5496237453267552,0.7568890530341733
MSFT,OLS oriented,511,0.0003640686803498099,0.019080583857676105,0.01253230795196095,0.014045850215683406,0.5496237453267552,0.7568890530341733
MSFT,Lasso,511,0.00037168090068980295,0.019279027482987904,0.012581184342488953,0.014130182186731984,0.5402069416533948,0.7497158233234189
MSFT,Elastic net,511,0.00037351481597492806,0.01932653140051075,0.012549718077488429,0.01415222572710704,0.5379382710918154,0.7461619630827697
MSFT,Monotone linear,511,0.00038002397464017825,0.019494203616464516,0.012800700537146143,0.014289019756261975,0.5298860252960151,0.7465207132020951
MSFT,Choquet 1-additive,511,0.0009051910098491568,0.030086392436600915,0.024006446483250555,0.02440561692650302,-0.11977920316585777,0.6747069939075896
NVDA,Monotone linear,509,0.0007144579182538426,0.026729345638339945,0.018408524996820143,0.020928451453122113,0.6828562487649528,0.8291447887649556
NVDA,Lasso,509,0.0008391872964784643,0.028968729631767845,0.02068625576132356,0.023069529636159818,0.6274895968058697,0.7926142453680275
NVDA,Elastic net,509,0.0008429185188588813,0.029033059068222233,0.02074529645405625,0.023120529216125695,0.625833328700801,0.7915176940990558
NVDA,Ridge,509,0.000844187491943841,0.029054904782907842,0.02076532940261344,0.023137803092826596,0.6252700388637116,0.7911452553397533
NVDA,OLS,509,0.0008442165848366668,0.02905540543232303,0.020765791757767965,0.02313816324244767,0.6252571246962997,0.7911366590649866
