fold,model,probability calibration,threshold source,calibration runtime seconds,ROC AUC,PR AUC,Precision,Recall,F1,Brier,Log loss,Mean predicted probability,Observed event prevalence,Calibration gap,Absolute calibration gap,Threshold,Predicted event rate,Observed event rate,base model,class weight,validation PR AUC,selection runtime seconds,refit runtime seconds,parameter count,calibration observations,calibration event prevalence
0,Choquistic 1-additive [balanced],uncalibrated,selection validation,0.0,0.3900039354584809,0.07871633065541529,0.08695652173913043,1.0,0.16,0.18011552848117496,0.5492320303126564,0.3828713308751778,0.08695652173913043,0.29591480913604734,0.29591480913604734,0.021714473204471764,1.0,0.08695652173913043,Choquistic 1-additive,balanced,0.014546926792577429,0.573271900000691,0.4709628000018711,12.0,493,0.09330628803245436
0,Choquistic 1-additive [balanced] [sigmoid],sigmoid,calibration,0.019550400000298396,0.6099960645415191,0.17276969688871519,0.0,0.0,0.0,0.07894828141066393,0.3006221552749268,0.05253239320675741,0.08695652173913043,-0.03442412853237302,0.03442412853237302,0.12368347868474648,0.023715415019762844,0.08695652173913043,Choquistic 1-additive,balanced,0.014546926792577429,0.573271900000691,0.4709628000018711,12.0,493,0.09330628803245436
0,Choquistic 1-additive [unweighted],uncalibrated,selection validation,0.0,0.47914207005116094,0.10742424774989467,0.08764940239043825,1.0,0.16117216117216118,0.0837439486855308,0.37207833217574554,0.023203103420866827,0.08695652173913043,-0.0637534183182636,0.0637534183182636,0.005650458836495899,0.9920948616600791,0.08695652173913043,Choquistic 1-additive,unweighted,0.014607155606793877,0.26885549999860814,0.39291169999705744,12.0,493,0.09330628803245436
0,Choquistic 1-additive [unweighted] [sigmoid],sigmoid,calibration,0.029191500001616077,0.5208579299488391,0.14319551709493133,0.15384615384615385,0.09090909090909091,0.11428571428571428,0.07960678973505039,0.2993770273440477,0.07384397449578707,0.08695652173913043,-0.013112547243343362,0.013112547243343362,0.10501132869003667,0.05138339920948617,0.08695652173913043,Choquistic 1-additive,unweighted,0.014607155606793877,0.26885549999860814,0.39291169999705744,12.0,493,0.09330628803245436
0,Choquistic 2-additive [balanced],uncalibrated,selection validation,0.0,0.4289649744195199,0.12740945394037045,0.08695652173913043,1.0,0.16,0.09362882756308412,0.34706920979603606,0.1918795072598018,0.08695652173913043,0.10492298552067136,0.10492298552067136,0.003273723469606829,1.0,0.08695652173913043,Choquistic 2-additive,balanced,0.01613719857279355,1.2155801000008069,1.4808052000007592,57.0,493,0.09330628803245436
0,Choquistic 2-additive [balanced] [sigmoid],sigmoid,calibration,0.014058100001420826,0.42896497441951986,0.12740945394037045,0.09090909090909091,0.3181818181818182,0.1414141414141414,0.07957175726994992,0.2966521138315294,0.0962048098443264,0.08695652173913043,0.00924828810519597,0.00924828810519597,0.09746087186739914,0.30434782608695654,0.08695652173913043,Choquistic 2-additive,balanced,0.01613719857279355,1.2155801000008069,1.4808052000007592,57.0,493,0.09330628803245436
0,Choquistic 2-additive [unweighted],uncalibrated,selection validation,0.0,0.354978354978355,0.0971946577214361,0.08695652173913043,1.0,0.16,0.0846791273748907,0.3919105835878416,0.015794949732602395,0.08695652173913043,-0.07116157200652803,0.07116157200652803,0.0019275908990882128,1.0,0.08695652173913043,Choquistic 2-additive,unweighted,0.016821641679859917,2.0391430999989097,1.2675075000006473,57.0,493,0.09330628803245436
0,Choquistic 2-additive [unweighted] [sigmoid],sigmoid,calibration,0.015148700000281679,0.6450216450216449,0.27085582519658025,1.0,0.045454545454545456,0.08695652173913043,0.07801434864802713,0.29280408324142293,0.06439365594395699,0.08695652173913043,-0.022562865795173442,0.022562865795173442,0.1352383396559651,0.003952569169960474,0.08695652173913043,Choquistic 2-additive,unweighted,0.016821641679859917,2.0391430999989097,1.2675075000006473,57.0,493,0.09330628803245436
0,Explicit interactions [balanced],uncalibrated,selection validation,0.0,0.23534041715859896,0.05609316973663319,0.0735930735930736,0.7727272727272727,0.13438735177865613,0.11471051701415233,1.7855413788824308,0.03474478547165195,0.08695652173913043,-0.052211736267478485,0.052211736267478485,1.3792657316352372e-10,0.9130434782608695,0.08695652173913043,Explicit interactions,balanced,0.013214588810412455,0.04669360000116285,0.014122100001259241,56.0,493,0.09330628803245436
0,Explicit interactions [balanced] [sigmoid],sigmoid,calibration,0.014694100002088817,0.23455332546241636,0.05567140168496058,0.0,0.0,0.0,0.08174203506407424,0.3092667903294701,0.09743264615312264,0.08695652173913043,0.010476124413992205,0.010476124413992205,0.11444092564531404,0.08695652173913043,0.08695652173913043,Explicit interactions,balanced,0.013214588810412455,0.04669360000116285,0.014122100001259241,56.0,493,0.09330628803245436
0,Explicit interactions [unweighted],uncalibrated,selection validation,0.0,0.39925226288862653,0.071434419110919,0.08085106382978724,0.8636363636363636,0.14785992217898833,0.1033231104246709,1.122086094876007,0.021152302599251747,0.08695652173913043,-0.06580421913987869,0.06580421913987869,1.9976448024052553e-08,0.9288537549407114,0.08695652173913043,Explicit interactions,unweighted,0.013290422515410185,0.026122499999473803,0.01050020000184304,56.0,493,0.09330628803245436
