asset,model,evaluation_structure,MSE,RMSE,MAE,Tail-weighted MAE,Correlation,R2
AAPL,Choquet 1-additive,rolling_5y,0.00010991602305041208,0.01048408427333604,0.007518722458771851,0.008865877428487925,0.8004232810776484,0.6406754121057883
AAPL,Choquet 1-additive scaled-q,rolling_5y,0.0001585576146934679,0.01259196627590258,0.00937764651741082,0.011430017417098353,0.6940187448360058,0.481662018183745
AAPL,Choquet 2-additive,rolling_5y,0.00010881209977179703,0.010431303838533178,0.007494766329437374,0.008893492958703524,0.8029406948662614,0.6442842287837103
AAPL,Choquet 2-additive L1,rolling_5y,0.00010882427081282796,0.010431887212428438,0.007492908664355993,0.008896892794395792,0.8029071149187226,0.6442444406419879
AAPL,Choquet 2-additive scaled-q,rolling_5y,0.0001585576146934679,0.01259196627590258,0.00937764651741082,0.01143001741709836,0.6940187448360056,0.481662018183745
AAPL,Choquet 2-additive scaled-q L1,rolling_5y,0.0001585576112232444,0.01259196613810744,0.009377646405447412,0.011430017041229689,0.6940187530090212,0.48166202952819326
AAPL,Elastic net,rolling_5y,0.00011145611670361494,0.010557277902168481,0.007522976067128041,0.008984949977532138,0.798932393111233,0.6356407183286872
AAPL,Lasso,rolling_5y,0.00011342247728209732,0.010649998933431746,0.007583574911764004,0.009086845437095259,0.7958867373219843,0.6292125226488767
AAPL,Monotone linear,rolling_5y,0.00010851400208180411,0.010417005427751496,0.00747202118646937,0.008824108907443144,0.8032799853320847,0.6452587348351145
AAPL,OLS,rolling_5y,0.00010753337158608393,0.01036982987257187,0.007436662331364074,0.008770511120418767,0.8052729333516078,0.6484644971887028
AAPL,OLS oriented,rolling_5y,0.00010753337158608393,0.01036982987257187,0.007436662331364074,0.008770511120418767,0.8052729333516078,0.6484644971887028
AAPL,Ridge,rolling_5y,0.00010756558974143947,0.010371383212543998,0.0074360731191404,0.008783768797192887,0.8052178241179263,0.6483591733689852
AMZN,Choquet 1-additive,rolling_5y,0.0001568157243992111,0.012522608530143035,0.008601324079731194,0.00957286941172942,0.824870106037046,0.6787705688392143
AMZN,Choquet 1-additive scaled-q,rolling_5y,0.00021964864288188571,0.01482054799533019,0.010731691637090252,0.012342351452911878,0.7416605507846231,0.5500603725901503
AMZN,Choquet 2-additive,rolling_5y,0.00015041430128300787,0.012264350830068743,0.00858384342714966,0.009566081080186889,0.8330659727273214,0.6918835746561731
AMZN,Choquet 2-additive L1,rolling_5y,0.0001494456024595284,0.012224794577395908,0.008561104244530866,0.009450295936165233,0.8335187579114912,0.693867907370412
AMZN,Choquet 2-additive scaled-q,rolling_5y,0.00017544866436637724,0.013245703619150522,0.009212426872728243,0.010193807328989259,0.8025277026032969,0.6406018920088954
AMZN,Choquet 2-additive scaled-q L1,rolling_5y,0.00021964862086974848,0.014820547252707927,0.010731690802787937,0.012342349836122441,0.7416605811831785,0.5500604176809494
AMZN,Elastic net,rolling_5y,0.00015014592579043438,0.012253404661172109,0.00859775690131225,0.009454754661862566,0.8327040951309455,0.6924333288797828
AMZN,Lasso,rolling_5y,0.00015370052395712573,0.01239760154050475,0.008694308244211343,0.00968187051171133,0.8297282594834745,0.6851519063600321
AMZN,Monotone linear,rolling_5y,0.0001488407345420703,0.012200030104146067,0.008585731066322681,0.009342918356764244,0.833730741942976,0.6951069500607856
AMZN,OLS,rolling_5y,0.00014882527900440175,0.012199396665589727,0.008593234365463541,0.009348243390402047,0.8337497286252028,0.6951386099825987
AMZN,OLS oriented,rolling_5y,0.00014882527900440175,0.012199396665589727,0.008593234365463541,0.009348243390402047,0.8337497286252028,0.6951386099825987
AMZN,Ridge,rolling_5y,0.00014882527907599658,0.012199396668524086,0.008593214063784086,0.009348240907612788,0.8337497285519154,0.6951386098359402
JPM,Choquet 1-additive,rolling_5y,5.8683893844896605e-05,0.007660541354558214,0.00524498736831438,0.006211789584705355,0.8648543374801908,0.7479585370628352
JPM,Choquet 1-additive scaled-q,rolling_5y,0.00014767735849501913,0.01215225734154026,0.0087660607249474,0.010991532112781472,0.6047648259639389,0.36574049472319337
JPM,Choquet 2-additive,rolling_5y,5.921379145601809e-05,0.007695049802049243,0.005268704105967939,0.006241458971877348,0.8636379961190734,0.7456826797472493
JPM,Choquet 2-additive L1,rolling_5y,5.872619822445865e-05,0.007663302044449158,0.005243932459868215,0.006210476216853138,0.8647597877023389,0.7477768439778185
JPM,Choquet 2-additive scaled-q,rolling_5y,0.00014767735849501907,0.012152257341540258,0.0087660607249474,0.01099153211278148,0.604764825963939,0.3657404947231935
