,Rolling prior probability,Logistic [balanced],Logistic oriented [balanced],Penalized logistic [balanced],Explicit interactions [balanced],RBF SVM [balanced],Random forest [balanced],Gradient boosting [balanced],MLP [balanced]
Rolling prior probability,0.0,-1.9993042474318738e-17,5.03012800619346e-17,6.030641416245017e-17,-8.745348999600869e-18,1.21441517578468e-16,1.1410611545148033e-16,7.08041132559069e-17,4.057097626004284e-18
Logistic [balanced],-1.9993042474318738e-17,0.0,1.3946148008916666e-17,-1.859027218862672e-18,-5.212527647871531e-17,1.2050795256001694e-18,-5.865983786000533e-18,1.0287639639380265e-16,-4.2537625831587676e-17
Logistic oriented [balanced],5.03012800619346e-17,1.3946148008916666e-17,0.0,-8.06824122240022e-18,-5.3871998558748696e-17,1.4756966386086037e-17,1.792903217072934e-17,1.2906594678377455e-17,-5.3358676758894463e-17
Penalized logistic [balanced],6.030641416245017e-17,-1.859027218862672e-18,-8.06824122240022e-18,0.0,3.7633571451679814e-17,-1.044305059682023e-17,-4.693681362154249e-18,5.4172783263962905e-18,-6.96113332166793e-17
Explicit interactions [balanced],-8.745348999600869e-18,-5.212527647871531e-17,-5.3871998558748696e-17,3.7633571451679814e-17,0.0,0.08275063205242003,0.10288161134491078,0.03689084532711035,-2.0114657805979687e-17
RBF SVM [balanced],1.21441517578468e-16,1.2050795256001694e-18,1.4756966386086037e-17,-1.044305059682023e-17,0.08275063205242003,0.0,0.06848781731702791,0.027934233235173144,7.06857252794348e-17
Random forest [balanced],1.1410611545148033e-16,-5.865983786000533e-18,1.792903217072934e-17,-4.693681362154249e-18,0.10288161134491078,0.06848781731702791,0.0,0.02777412490499109,-5.535854673459957e-19
Gradient boosting [balanced],7.08041132559069e-17,1.0287639639380265e-16,1.2906594678377455e-17,5.4172783263962905e-18,0.03689084532711035,0.027934233235173144,0.02777412490499109,0.0,-2.0180742509826425e-17
MLP [balanced],4.057097626004284e-18,-4.2537625831587676e-17,-5.3358676758894463e-17,-6.96113332166793e-17,-2.0114657805979687e-17,7.06857252794348e-17,-5.535854673459957e-19,-2.0180742509826425e-17,0.0
