feature,sample,raw minimum,lower clipping bound,raw maximum,upper clipping bound,below-bound observations,above-bound observations,clipped observations,clipped rate
market_loss_1d,estimation,-0.09986271079661346,-0.029431062390321276,0.06032663239789038,0.037406594274780124,7,7,14,0.011336032388663968
vix,estimation,11.86,12.0734,52.33,37.08079999999995,7,7,14,0.011336032388663968
realized_volatility_20d,estimation,0.046347836165331516,0.06663936739794188,0.4706196309417668,0.4655374145012094,7,7,14,0.011336032388663968
drawdown_severity,estimation,-0.0,0.0,0.22001819064543537,0.20896691483315868,0,7,7,0.005668016194331984
liquidity_stress_20d,estimation,0.33519902555172515,0.34648948234008736,0.7362535212915245,0.7202655092643785,7,7,14,0.011336032388663968
baa_credit_spread_pct,estimation,1.36,1.4,2.42,2.37,5,6,11,0.008906882591093117
term_spread_10y_2y_pct,estimation,-1.0800000000000005,-0.9900000000000002,1.5899999999999999,1.5382999999999993,6,7,13,0.010526315789473684
average_equity_correlation_60d,estimation,0.024740587533707625,0.03600799111773673,0.5833349013510621,0.5612592350368324,7,7,14,0.011336032388663968
negative_momentum_21d,estimation,-0.1267991303504379,-0.10643130817987619,0.16453622993833317,0.12451408612643061,7,7,14,0.011336032388663968
lagged_portfolio_loss_1d,estimation,-0.08981365194695544,-0.03041327441931097,0.056087395643640486,0.038539830019532866,7,7,14,0.011336032388663968
market_loss_1d,test,-0.02865339408996803,-0.029431062390321276,0.02614828294302729,0.037406594274780124,0,0,0,0.0
vix,test,14.49,12.0734,31.05,37.08079999999995,0,0,0,0.0
realized_volatility_20d,test,0.05767186033940045,0.06663936739794188,0.1555492685570565,0.4655374145012094,3,0,3,0.022388059701492536
drawdown_severity,test,-0.0,0.0,0.07115135248215254,0.20896691483315868,0,0,0,0.0
liquidity_stress_20d,test,0.3716178974729604,0.34648948234008736,0.46121048012010873,0.7202655092643785,0,0,0,0.0
baa_credit_spread_pct,test,1.5,1.4,1.85,2.37,0,0,0,0.0
term_spread_10y_2y_pct,test,0.2699999999999996,-0.9900000000000002,0.7399999999999998,1.5382999999999993,0,0,0,0.0
average_equity_correlation_60d,test,-0.009412440732904249,0.03600799111773673,0.0865575533342837,0.5612592350368324,68,0,68,0.5074626865671642
negative_momentum_21d,test,-0.12998401055479086,-0.10643130817987619,0.04987928613941218,0.12451408612643061,4,0,4,0.029850746268656716
lagged_portfolio_loss_1d,test,-0.023482238970575626,-0.03041327441931097,0.018325386062564064,0.038539830019532866,0,0,0,0.0
