fold,window start,train start,train end,train observations,validation start,validation end,validation observations,OOS start,OOS end,OOS observations
0,2015-01-01,2015-01-02,2018-12-21,1001,2019-01-02,2019-12-23,247,2020-01-02,2020-12-31,253
1,2016-01-01,2016-01-04,2019-12-23,1001,2020-01-02,2020-12-23,248,2021-01-04,2021-12-31,252
2,2017-01-01,2017-01-03,2020-12-23,1002,2021-01-04,2021-12-23,247,2022-01-03,2022-12-30,251
3,2018-01-01,2018-01-02,2021-12-23,1003,2022-01-03,2022-12-22,246,2023-01-03,2023-12-29,250
4,2019-01-01,2019-01-02,2022-12-22,1003,2023-01-03,2023-12-21,245,2024-01-02,2024-12-31,252
5,2020-01-01,2020-01-02,2023-12-21,1001,2024-01-02,2024-12-23,247,2025-01-02,2025-12-31,250
6,2021-01-01,2021-01-04,2024-12-23,1000,2025-01-02,2025-12-23,245,2026-01-02,2026-07-23,139
