,Rolling prior probability,Logistic [unweighted],Logistic oriented [unweighted],Penalized logistic [unweighted],Explicit interactions [unweighted],RBF SVM [unweighted],Random forest [unweighted],Gradient boosting [unweighted],MLP [unweighted]
Rolling prior probability,0.0,8.328955772374983e-17,-1.5029207840172515e-17,-4.0416745920859495e-16,-1.7459866902375734e-15,9.142863510490773e-16,-3.326462628496424e-17,0.08038745365064826,1.7482848521958367e-16
Logistic [unweighted],8.328955772374983e-17,0.0,-2.86055661288325e-17,4.0164861090637995e-17,4.8993104365732904e-17,-5.730677430670548e-16,6.554901989751231e-18,3.943375560887092e-17,-5.171786116531661e-16
Logistic oriented [unweighted],-1.5029207840172515e-17,-2.86055661288325e-17,0.0,3.6807851682759367e-17,4.960149892371051e-17,3.579809367962674e-16,-3.45066559042803e-17,2.0301358038684237e-16,5.676617229434779e-16
Penalized logistic [unweighted],-4.0416745920859495e-16,4.0164861090637995e-17,3.6807851682759367e-17,0.0,4.573851569298065e-16,-1.1248514692304167e-18,-1.5152329516919704e-17,-9.039284787283936e-18,-4.222493136546497e-17
Explicit interactions [unweighted],-1.7459866902375734e-15,4.8993104365732904e-17,4.960149892371051e-17,4.573851569298065e-16,0.0,-1.2852717546454405e-15,-1.8408256551316925e-17,-3.731414851909661e-16,-3.380707749451898e-16
RBF SVM [unweighted],9.142863510490773e-16,-5.730677430670548e-16,3.579809367962674e-16,-1.1248514692304167e-18,-1.2852717546454405e-15,0.0,-3.199197131466858e-17,9.052044603859125e-16,3.4063759421208404e-16
Random forest [unweighted],-3.326462628496424e-17,6.554901989751231e-18,-3.45066559042803e-17,-1.5152329516919704e-17,-1.8408256551316925e-17,-3.199197131466858e-17,0.0,4.2929229652558163e-17,-1.7895177115938188e-17
Gradient boosting [unweighted],0.08038745365064826,3.943375560887092e-17,2.0301358038684237e-16,-9.039284787283936e-18,-3.731414851909661e-16,9.052044603859125e-16,4.2929229652558163e-17,0.0,-4.056580505230135e-16
MLP [unweighted],1.7482848521958367e-16,-5.171786116531661e-16,5.676617229434779e-16,-4.222493136546497e-17,-3.380707749451898e-16,3.4063759421208404e-16,-1.7895177115938188e-17,-4.056580505230135e-16,0.0
