model,base model,class weight,probability calibration,threshold source,ROC AUC,PR AUC,Precision,Recall,F1,Brier,Log loss,Mean predicted probability,Observed event prevalence,Calibration gap,Absolute calibration gap,Threshold,Predicted event rate,Observed event rate,validation PR AUC,selection runtime seconds,refit runtime seconds,calibration runtime seconds,parameter count,calibration observations,calibration event prevalence,OOS folds,evaluation_structure
Choquistic 1-additive [balanced],Choquistic 1-additive,balanced,uncalibrated,selection validation,0.5791865344637048,0.10769661758902938,0.05206738131699847,0.8192771084337349,0.09791216702663787,0.22626476776131882,0.650869864774239,0.4580789571175879,0.05054811205846529,0.4075308450591226,0.4075308450591226,0.19499897980384748,0.7953714981729598,0.05054811205846529,0.04395227583535529,2.3075140000437386,1.9463626001379453,0.0,12.0,3451,0.04810943167721482,7,rolling_5y
Choquistic 2-additive [balanced],Choquistic 2-additive,balanced,uncalibrated,selection validation,0.5359706948383657,0.10514253302615659,0.06640237859266601,0.8072289156626506,0.1227106227106227,0.1940323848969699,0.5890088932718822,0.3826999588736775,0.05054811205846529,0.33215184681521226,0.33215184681521226,0.2589598107976068,0.6144945188794153,0.05054811205846529,0.0428642386912055,7.874445299967192,8.069773300027009,0.0,57.0,3451,0.04810943167721482,7,rolling_5y
Choquistic model aggregator [balanced] [sigmoid],Choquistic model aggregator,balanced,sigmoid,calibration,0.6182600833095049,0.08459999730671883,0.07184466019417475,0.4457831325301205,0.12374581939799331,0.05083964425133153,0.20691335655233675,0.07077591063985571,0.05054811205846529,0.02022779858139042,0.02022779858139042,0.05988956036171643,0.31364190012180265,0.05054811205846529,0.1466897518029874,0.059275400009937584,0.0,0.056881200114730746,15.0,3451,0.04810943167721482,7,rolling_5y
Choquistic 1-additive [unweighted],Choquistic 1-additive,unweighted,uncalibrated,selection validation,0.5459477422196805,0.08130754301786683,0.05207485760781123,0.7710843373493976,0.0975609756097561,0.04853858315401079,0.21290169492614164,0.04811366872739783,0.05054811205846529,-0.0024344433310674596,0.0024344433310674596,0.05117168002381404,0.7484774665042631,0.05054811205846529,0.04684517007186253,2.426790600118693,2.0484566999366507,0.0,12.0,3451,0.04810943167721482,7,rolling_5y
Penalized logistic [balanced] [sigmoid],Penalized logistic,balanced,sigmoid,calibration,0.5765048648732196,0.07720142114828213,0.07066666666666667,0.6385542168674698,0.12725090036014405,0.05117861651362152,0.21526618777957884,0.06916012643778559,0.05054811205846529,0.0186120143793203,0.0186120143793203,0.059869781629586734,0.45676004872107184,0.05054811205846529,0.07284817429346302,0.2008831998682581,0.03818420006427914,0.07275550009217113,11.0,3451,0.04810943167721482,7,rolling_5y
Penalized logistic [unweighted] [sigmoid],Penalized logistic,unweighted,sigmoid,calibration,0.5808326313593051,0.07590721798645586,0.06308724832214765,0.5662650602409639,0.11352657004830918,0.08248933790503213,0.2980516546321949,0.11290596489554783,0.05054811205846529,0.06235785283708254,0.06235785283708254,0.09863162254583518,0.45371498172959807,0.05054811205846529,0.07773532377658023,0.178558100014925,0.03756520006572828,0.07565780001459643,11.0,3451,0.04810943167721482,7,rolling_5y
Choquistic 2-additive [unweighted],Choquistic 2-additive,unweighted,uncalibrated,selection validation,0.49487236952943264,0.0746386896832755,0.06653426017874876,0.8072289156626506,0.12293577981651377,0.05464868670749135,0.23670854044026335,0.060618129916993176,0.05054811205846529,0.010070017858527888,0.010070017858527888,0.08827080616591064,0.6132764920828259,0.05054811205846529,0.045190979366931214,8.418638100090902,9.2578552000341,0.0,57.0,3451,0.04810943167721482,7,rolling_5y
Gradient boosting [unweighted],Gradient boosting,unweighted,uncalibrated,selection validation,0.5623816626351461,0.07196772956816883,0.045491470349309504,0.6746987951807228,0.0852359208523592,0.05355296127817649,0.2957213385707487,0.027543961478423664,0.05054811205846529,-0.023004150580041623,0.023004150580041623,0.05776477976432953,0.7496954933008526,0.05054811205846529,0.11877181853673627,4.063172500114888,0.5537503999657929,0.0,,3451,0.04810943167721482,7,rolling_5y
Gradient boosting [balanced],Gradient boosting,balanced,uncalibrated,selection validation,0.4166170776756803,0.06819511027106347,0.04372937293729373,0.6385542168674698,0.08185328185328185,0.05226928346552787,0.3145630886809498,0.04085684819731355,0.05054811205846529,-0.009691263861151739,0.009691263861151739,0.08977783001388069,0.7381242387332522,0.05054811205846529,0.12178352750179301,4.19952469994314,0.6992020001052879,0.0,,3451,0.04810943167721482,7,rolling_5y
Choquistic 1-additive [balanced] [sigmoid],Choquistic 1-additive,balanced,sigmoid,calibration,0.5818295632819925,0.06572165162652835,0.07649253731343283,0.4939759036144578,0.13247172859450726,0.0496488602280257,0.20684055884714425,0.06068732333820999,0.05054811205846529,0.010139211279744702,0.010139211279744702,0.06733299940316821,0.3264311814859927,0.05054811205846529,0.04395227583535529,2.3075140000437386,1.9463626001379453,0.08917140000266954,12.0,3451,0.04810943167721482,7,rolling_5y
