fold,model,probability calibration,threshold source,calibration runtime seconds,ROC AUC,PR AUC,Precision,Recall,F1,Brier,Log loss,Mean predicted probability,Observed event prevalence,Calibration gap,Absolute calibration gap,Threshold,Predicted event rate,Observed event rate,base model,class weight,validation PR AUC,selection runtime seconds,refit runtime seconds,parameter count,calibration observations,calibration event prevalence,evaluation_structure
0,Choquistic 1-additive [balanced],uncalibrated,selection validation,0.0,0.8091346153846154,0.18801701860897085,0.12345679012345678,0.7692307692307693,0.2127659574468085,0.19764460163491704,0.6128681409739763,0.4037510801146875,0.05138339920948617,0.3523676809052014,0.3523676809052014,0.4418505401117478,0.3201581027667984,0.05138339920948617,Choquistic 1-additive,balanced,0.0197046011981662,0.29912789998343214,0.3114715000265278,12.0,502,0.0398406374501992,rolling_5y
0,Choquistic 1-additive [balanced] [sigmoid],sigmoid,calibration,0.012274399981833994,0.8091346153846154,0.19297039856235082,0.14492753623188406,0.7692307692307693,0.24390243902439024,0.046686528348049,0.1811769342227737,0.0375215490167441,0.05138339920948617,-0.013861850192742067,0.013861850192742067,0.036707768631613624,0.2727272727272727,0.05138339920948617,Choquistic 1-additive,balanced,0.0197046011981662,0.29912789998343214,0.3114715000265278,12.0,502,0.0398406374501992,rolling_5y
0,Choquistic 1-additive [unweighted],uncalibrated,selection validation,0.0,0.803846153846154,0.18742839346890863,0.125,0.6153846153846154,0.2077922077922078,0.04704068699406264,0.17857645056031846,0.04083278564931141,0.05138339920948617,-0.010550613560174761,0.010550613560174761,0.029624666145674057,0.25296442687747034,0.05138339920948617,Choquistic 1-additive,unweighted,0.019371391429487666,0.31686220003757626,0.2451796000241302,12.0,502,0.0398406374501992,rolling_5y
0,Choquistic 1-additive [unweighted] [sigmoid],sigmoid,calibration,0.01321599999209866,0.803846153846154,0.18742839346890863,0.1276595744680851,0.9230769230769231,0.22429906542056074,0.04655645426505694,0.18114274189336896,0.04107639690838657,0.05138339920948617,-0.0103070023010996,0.0103070023010996,0.0357353742442283,0.3715415019762846,0.05138339920948617,Choquistic 1-additive,unweighted,0.019371391429487666,0.31686220003757626,0.2451796000241302,12.0,502,0.0398406374501992,rolling_5y
0,Choquistic 2-additive [balanced],uncalibrated,selection validation,0.0,0.8628205128205129,0.30058786532646026,0.05138339920948617,1.0,0.09774436090225563,0.2249105788472282,0.6986471924840534,0.43123703614989783,0.05138339920948617,0.3798536369404117,0.3798536369404117,0.016033343513101626,1.0,0.05138339920948617,Choquistic 2-additive,balanced,0.01714415520630421,1.1513578000012785,0.9860843999776989,57.0,502,0.0398406374501992,rolling_5y
0,Choquistic 2-additive [balanced] [sigmoid],sigmoid,calibration,0.013951400003861636,0.8628205128205129,0.2950933598319548,0.13725490196078433,0.5384615384615384,0.21875,0.04454056842307888,0.16834779371700181,0.03997411521275389,0.05138339920948617,-0.01140928399673228,0.01140928399673228,0.05124946202601634,0.2015810276679842,0.05138339920948617,Choquistic 2-additive,balanced,0.01714415520630421,1.1513578000012785,0.9860843999776989,57.0,502,0.0398406374501992,rolling_5y
0,Choquistic 2-additive [unweighted],uncalibrated,selection validation,0.0,0.8246794871794872,0.22339107030425653,0.05138339920948617,1.0,0.09774436090225563,0.04537939501958159,0.17281182563280836,0.03845193769278585,0.05138339920948617,-0.01293146151670032,0.01293146151670032,0.001508913078111513,1.0,0.05138339920948617,Choquistic 2-additive,unweighted,0.013824909985340727,1.3253358000074513,1.5306288999854587,57.0,502,0.0398406374501992,rolling_5y
0,Choquistic 2-additive [unweighted] [sigmoid],sigmoid,calibration,0.01487830001860857,0.8246794871794872,0.22339107030425653,0.125,0.7692307692307693,0.21505376344086022,0.04586005828510481,0.1770341499783791,0.04352016377515778,0.05138339920948617,-0.007863235434328389,0.007863235434328389,0.04160775092130085,0.31620553359683795,0.05138339920948617,Choquistic 2-additive,unweighted,0.013824909985340727,1.3253358000074513,1.5306288999854587,57.0,502,0.0398406374501992,rolling_5y
0,Choquistic model aggregator [balanced],uncalibrated,selection validation,0.0,0.610576923076923,0.06601192989933946,0.0,0.0,0.0,0.06144977683831207,0.23625155883855806,0.09021557634700227,0.05138339920948617,0.0388321771375161,0.0388321771375161,0.1333562231122337,0.05533596837944664,0.05138339920948617,Choquistic model aggregator,balanced,0.02749710199184498,0.010651999968104064,0.0,15.0,502,0.0398406374501992,rolling_5y
0,Choquistic model aggregator [balanced] [sigmoid],sigmoid,calibration,0.008066700014751405,0.3891025641025641,0.042400747739989725,0.05829596412556054,1.0,0.11016949152542373,0.04885186862025495,0.2037514074210887,0.039949833819530746,0.05138339920948617,-0.011433565389955422,0.011433565389955422,0.03862823895473009,0.8814229249011858,0.05138339920948617,Choquistic model aggregator,balanced,0.02749710199184498,0.010651999968104064,0.0,15.0,502,0.0398406374501992,rolling_5y
0,Choquistic model aggregator [unweighted],uncalibrated,selection validation,0.0,0.7506410256410256,0.19811371638910352,0.07874015748031496,0.7692307692307693,0.14285714285714285,0.05779596438047364,0.22069993200051055,0.08456918996517754,0.05138339920948617,0.03318579075569137,0.03318579075569137,0.05414728263050898,0.5019762845849802,0.05138339920948617,Choquistic model aggregator,unweighted,0.02944766617083336,0.013751799997407943,0.0,15.0,502,0.0398406374501992,rolling_5y
0,Choquistic model aggregator [unweighted] [sigmoid],sigmoid,calibration,0.009036800009198487,0.7506410256410256,0.19811371638910352,0.1590909090909091,0.5384615384615384,0.24561403508771928,0.04881829156929056,0.2034295429004737,0.04014096705662938,0.05138339920948617,-0.011242432152856786,0.011242432152856786,0.0401396200593805,0.17391304347826086,0.05138339920948617,Choquistic model aggregator,unweighted,0.02944766617083336,0.013751799997407943,0.0,15.0,502,0.0398406374501992,rolling_5y
