model,reference,mean loss difference,standard error,lower 95%,upper 95%,favors model
Linear AR,Choquet AR,4.100494799878484e-07,5.724511147773023e-07,-7.119340878854689e-07,1.5320330478611657e-06,False
Historical mean,Choquet AR,5.511012348383814e-07,3.292345848740523e-07,-9.418669397975676e-08,1.1963891636565194e-06,False
