model,base model,class weight,probability calibration,evaluation_structure,Brier,Log loss,Mean predicted probability,Observed event prevalence,Calibration gap,Absolute calibration gap
Choquistic 2-additive [balanced],Choquistic 2-additive,balanced,uncalibrated,rolling_5y,0.21535981349813607,0.6421726082579786,0.4314321888966871,0.05511811023622047,0.3763140786604666,0.3763140786604666
Choquistic 1-additive [balanced],Choquistic 1-additive,balanced,uncalibrated,rolling_5y,0.2302160982469469,0.6798919615616315,0.4521035078351089,0.05511811023622047,0.3969853975988884,0.3969853975988884
Choquistic 2-additive [unweighted],Choquistic 2-additive,unweighted,uncalibrated,rolling_5y,0.0526607712634412,0.21256217921664866,0.058525876744605354,0.05511811023622047,0.0034077665083848824,0.0034077665083848824
Choquistic 1-additive [unweighted],Choquistic 1-additive,unweighted,uncalibrated,rolling_5y,0.05265939090911109,0.21069531613817885,0.06406021385083861,0.05511811023622047,0.008942103614618141,0.008942103614618141
Choquistic 2-additive [unweighted] [sigmoid],Choquistic 2-additive,unweighted,sigmoid,rolling_5y,0.05158574253971388,0.21004045362439125,0.04816899187712204,0.05511811023622047,-0.006949118359098429,0.006949118359098429
Fuzzy Choquet neural network [unweighted] [sigmoid],Fuzzy Choquet neural network,unweighted,sigmoid,rolling_5y,0.05149124861875101,0.21020871064887103,0.04881386689257197,0.05511811023622047,-0.0063042433436485,0.0063042433436485
Choquistic 1-additive [unweighted] [sigmoid],Choquistic 1-additive,unweighted,sigmoid,rolling_5y,0.051708269504217044,0.2139890119247204,0.05174973608855786,0.05511811023622047,-0.0033683741476626117,0.0033683741476626117
Choquistic 2-additive [balanced] [sigmoid],Choquistic 2-additive,balanced,sigmoid,rolling_5y,0.051729836479181654,0.21127249861680764,0.04970689436598389,0.05511811023622047,-0.005411215870236581,0.005411215870236581
Fuzzy Choquet neural network [balanced] [sigmoid],Fuzzy Choquet neural network,balanced,sigmoid,rolling_5y,0.05155252575272891,0.21070102961581894,0.04913432967781404,0.05511811023622047,-0.005983780558406433,0.005983780558406433
Penalized logistic [balanced] [sigmoid],Penalized logistic,balanced,sigmoid,rolling_5y,0.053052609383535426,0.2166126869294316,0.05763763166611493,0.05511811023622047,0.002519521429894457,0.002519521429894457
Explicit interactions [balanced] [sigmoid],Explicit interactions,balanced,sigmoid,rolling_5y,0.053486724504254596,0.2198386469393565,0.06576644992819873,0.05511811023622047,0.01064833969197826,0.01064833969197826
Explicit interactions [unweighted] [sigmoid],Explicit interactions,unweighted,sigmoid,rolling_5y,0.05335438738150111,0.21618432123261552,0.06828580587969754,0.05511811023622047,0.01316769564347707,0.01316769564347707
Choquistic model aggregator [unweighted] [sigmoid],Choquistic model aggregator,unweighted,sigmoid,rolling_5y,0.05313337111530771,0.21688231222303517,0.06224098736661331,0.05511811023622047,0.007122877130392835,0.007122877130392835
Choquistic 1-additive [balanced] [sigmoid],Choquistic 1-additive,balanced,sigmoid,rolling_5y,0.05230465703610675,0.2158101127020614,0.054612269991679736,0.05511811023622047,-0.0005058402445407353,0.0005058402445407353
Logistic [balanced] [sigmoid],Logistic,balanced,sigmoid,rolling_5y,0.05358486758689082,0.2194956302491817,0.06235091532057853,0.05511811023622047,0.007232805084358057,0.007232805084358057
Logistic oriented [balanced] [sigmoid],Logistic oriented,balanced,sigmoid,rolling_5y,0.05358486758689082,0.2194956302491817,0.06235091532057853,0.05511811023622047,0.007232805084358057,0.007232805084358057
RBF SVM [balanced] [sigmoid],RBF SVM,balanced,sigmoid,rolling_5y,0.05195236594730414,0.21265405378573468,0.06009944743059254,0.05511811023622047,0.004981337194372069,0.004981337194372069
Random forest [balanced] [sigmoid],Random forest,balanced,sigmoid,rolling_5y,0.05169760519459525,0.20887323404791508,0.051495894986062184,0.05511811023622047,-0.003622215250158288,0.003622215250158288
Penalized logistic [unweighted] [sigmoid],Penalized logistic,unweighted,sigmoid,rolling_5y,0.053062905378425396,0.2183565250056022,0.060626756950938644,0.05511811023622047,0.0055086467147181725,0.0055086467147181725
Logistic oriented [unweighted] [sigmoid],Logistic oriented,unweighted,sigmoid,rolling_5y,0.05320349382536879,0.21923281450324666,0.0659959523694877,0.05511811023622047,0.01087784213326723,0.01087784213326723
Logistic [unweighted] [sigmoid],Logistic,unweighted,sigmoid,rolling_5y,0.05320349382536879,0.21923281450324666,0.0659959523694877,0.05511811023622047,0.01087784213326723,0.01087784213326723
Random forest [unweighted] [sigmoid],Random forest,unweighted,sigmoid,rolling_5y,0.051829461302185596,0.20985673600223262,0.05266950371794972,0.05511811023622047,-0.0024486065182707517,0.0024486065182707517
Random forest [balanced],Random forest,balanced,uncalibrated,rolling_5y,0.1606924602144809,0.49622788379243044,0.35075397064442604,0.05511811023622047,0.29563586040820555,0.29563586040820555
Gradient boosting [balanced],Gradient boosting,balanced,uncalibrated,rolling_5y,0.20189289600809504,0.5907966896995808,0.3305192881675404,0.05511811023622047,0.2754011779313199,0.2754011779313199
RBF SVM [unweighted] [sigmoid],RBF SVM,unweighted,sigmoid,rolling_5y,0.05263415171054927,0.2164763251115738,0.05583162459115313,0.05511811023622047,0.0007135143549326581,0.0007135143549326581
Penalized logistic [balanced],Penalized logistic,balanced,uncalibrated,rolling_5y,0.46850487158620113,1.5380041062549703,0.671383268160165,0.05511811023622047,0.6162651579239445,0.6162651579239445
Random forest [unweighted],Random forest,unweighted,uncalibrated,rolling_5y,0.05652197563121011,0.2318859649577784,0.11570038113351672,0.05511811023622047,0.060582270897296245,0.060582270897296245
Logistic [balanced],Logistic,balanced,uncalibrated,rolling_5y,0.5557578779397874,2.105500240843877,0.7300453002377362,0.05511811023622047,0.6749271900015157,0.6749271900015157
Logistic oriented [balanced],Logistic oriented,balanced,uncalibrated,rolling_5y,0.5557578779397874,2.105500240843877,0.7300453002377362,0.05511811023622047,0.6749271900015157,0.6749271900015157
MLP [balanced] [sigmoid],MLP,balanced,sigmoid,rolling_5y,0.05326765310543495,0.2213374767348399,0.062308515321299524,0.05511811023622047,0.007190405085079052,0.007190405085079052
RBF SVM [balanced],RBF SVM,balanced,uncalibrated,rolling_5y,0.0699180191870449,0.2698440361058174,0.14365268958058117,0.05511811023622047,0.0885345793443607,0.0885345793443607
Choquistic model aggregator [balanced] [sigmoid],Choquistic model aggregator,balanced,sigmoid,rolling_5y,0.053617720752793044,0.22180951444186817,0.0640371454491357,0.05511811023622047,0.008919035212915233,0.008919035212915233
Rolling prior probability [sigmoid],Rolling prior probability,not applicable,sigmoid,rolling_5y,0.05225300974812276,0.2152870698722943,0.05518271878309702,0.05511811023622047,6.460854687655171e-05,6.460854687655171e-05
Fuzzy Choquet neural network [balanced],Fuzzy Choquet neural network,balanced,uncalibrated,rolling_5y,0.05235526841667439,0.21537434295096,0.06106818749099515,0.05511811023622047,0.005950077254774679,0.005950077254774679
Gradient boosting [unweighted],Gradient boosting,unweighted,uncalibrated,rolling_5y,0.07505190318904031,0.3001172646203047,0.11180958564868301,0.05511811023622047,0.05669147541246254,0.05669147541246254
Gradient boosting [balanced] [sigmoid],Gradient boosting,balanced,sigmoid,rolling_5y,0.05257830921852463,0.21727514067270354,0.05441813277242197,0.05511811023622047,-0.000699977463798504,0.000699977463798504
