model,stress observations,MSE,RMSE,MAE,Tail-weighted MAE,OOS R2,Correlation
Historical mean,75,0.00045498048010847973,0.021330271449479486,0.018123537822651116,0.02178722118574329,-0.05253604245514598,-2.224954294428295e-17
Lasso,75,0.00045498048010847973,0.021330271449479486,0.018123537822651116,0.02178722118574329,-0.05253604245514598,-2.224954294428295e-17
Choquet 2-additive scaled-q L1,75,0.00045498048010847973,0.021330271449479486,0.018123537822651116,0.02178722118574329,-0.05253604245514598,-2.224954294428295e-17
Choquet 1-additive scaled-q,75,0.00045498048010847973,0.021330271449479486,0.018123537822651116,0.02178722118574329,-0.05253604245514598,-2.224954294428295e-17
Choquet 2-additive scaled-q,75,0.00045498048010847973,0.021330271449479486,0.018123537822651116,0.02178722118574329,-0.05253604245514598,-2.224954294428295e-17
Monotone linear,75,0.0004763127738941649,0.02182459103612631,0.018649172972595173,0.02257088979227496,-0.10188543008672557,-0.2867360827411629
Gradient boosting,75,0.0004785546332127684,0.021875891598121627,0.018197641134051937,0.022240931547593053,-0.10707166958073988,-0.009679502905595104
Random forest,75,0.0004886388405397033,0.022105176781462375,0.01836945066255736,0.023526060791280664,-0.13040012461392836,0.11023556473893548
Choquet 2-additive L1,75,0.0005144679025122885,0.022681884897695088,0.01894266127697284,0.022869784607827508,-0.19015217960862119,-0.011267260854007045
Fuzzy Choquet neural network,75,0.0005145125873254528,0.022682869909371097,0.019697572379179955,0.024056318120979057,-0.19025555190361398,-0.10749646671882448
Choquet 1-additive,75,0.000522522568358003,0.02285875255472186,0.01913679643728751,0.023198536730685993,-0.2087855638595797,-0.029286411091214805
Elastic net,75,0.0005275743436805952,0.022968986561896786,0.019693418489320935,0.024414234795994347,-0.22047216545652293,-0.13487092868813866
Choquet model aggregator,75,0.0005352308888567088,0.023135057571934174,0.019589052042936057,0.024294729270323,-0.23818455117606896,-0.2162835052041308
Choquet 2-additive,75,0.0005782765667787088,0.024047381703185666,0.020309692079916234,0.02481822104761408,-0.33776492762214927,-0.13066879103625112
Ridge,75,0.0006295160439267765,0.02509015830812505,0.021224206422367324,0.026961421811876347,-0.45630055464957553,-0.10521974402715374
OLS,75,0.0006411457609409088,0.025320856244228963,0.02140409692629227,0.027236331827740334,-0.48320433812180186,-0.09756242718479753
OLS oriented,75,0.0006411457609409088,0.025320856244228963,0.02140409692629227,0.027236331827740334,-0.48320433812180186,-0.09756242718479753
MLP,75,0.0006617344477260318,0.025724199651807087,0.02086631566637899,0.02270476752934328,-0.5308334911417183,-0.3132290348012073
Explicit interactions,75,0.002026834714968751,0.04502038110643612,0.03692069603101737,0.04460792305694984,-3.6888090431819673,-0.4526687617459664
