model,MSE,RMSE,MAE,Tail-weighted MAE,OOS R2,Correlation,validation RMSE,selection runtime seconds,refit runtime seconds,parameter count,OOS folds
Monotone linear,0.00017444227245225297,0.013207659612976591,0.00860567650213413,0.012227585048571129,-0.004414016468418103,-0.021465209302577535,0.012134964433640871,0.045947599999976774,0.02896320000002106,11.0,7
OLS,0.0001807621765413726,0.013444782502568519,0.00898272773187933,0.012394720088540926,-0.04080313339869246,0.016197894637817133,0.012548929102631926,0.0342964999998685,0.025528600000029655,11.0,7
OLS oriented,0.0001807621765413726,0.013444782502568519,0.00898272773187933,0.012394720088540926,-0.04080313339869246,0.016197894637817133,0.012548929102631926,0.04569179999992912,0.03049900000019079,11.0,7
Choquet 2-additive,0.00042318795714902724,0.020571532688378552,0.015274436916500817,0.018170937315495062,-1.4366566072880205,-0.03061272653481209,0.018620925372072144,4.9065965000000915,5.193618100000037,56.0,7
Choquet 1-additive,0.0004256642419543947,0.02063163207200038,0.015503462233060754,0.017909387502141282,-1.4509147061554244,-0.03239551654429687,0.019675661926221853,1.1141843000000904,0.8408107000001337,11.0,7
