model,base model,class weight,probability calibration,threshold source,ROC AUC,PR AUC,Precision,Recall,F1,Brier,Log loss,Mean predicted probability,Observed event prevalence,Calibration gap,Absolute calibration gap,Threshold,Predicted event rate,Observed event rate,validation PR AUC,selection runtime seconds,refit runtime seconds,calibration runtime seconds,parameter count,calibration observations,calibration event prevalence,OOS folds,evaluation_structure
Explicit interactions [unweighted],Explicit interactions,unweighted,uncalibrated,selection validation,0.6234126984126983,0.12024585509382923,0.08541666666666667,0.7321428571428571,0.15298507462686567,0.07870106932048118,0.3808967536233009,0.082452134260937,0.0682095006090134,0.014242633651923603,0.014242633651923603,0.07627061752083154,0.584652862362972,0.0682095006090134,0.08102166789483202,0.19486390007659793,0.0605084000271745,0.0,56.0,3451,0.06725324633312303,7,rolling_5y
Choquistic 2-additive [unweighted],Choquistic 2-additive,unweighted,uncalibrated,selection validation,0.5300828664799253,0.11975834663220661,0.07497820401046207,0.7678571428571429,0.13661636219221604,0.06871864534610049,0.283528413318696,0.0896233616598165,0.0682095006090134,0.021413861050803104,0.021413861050803104,0.06655006572227787,0.6985383678440926,0.0682095006090134,0.07509764221627657,8.84977750008693,9.794170499953907,0.0,57.0,3451,0.06725324633312303,7,rolling_5y
Choquistic model aggregator [balanced] [sigmoid],Choquistic model aggregator,balanced,sigmoid,calibration,0.5413807189542483,0.1111054246515142,0.09863945578231292,0.25892857142857145,0.14285714285714285,0.06368000061158938,0.25434264576664556,0.06343609986682945,0.0682095006090134,-0.00477340074218395,0.00477340074218395,0.09991201079741668,0.17904993909866018,0.0682095006090134,0.13465753967333957,0.6577795999473892,0.0,0.06790879997424781,45.0,3451,0.06725324633312303,7,rolling_5y
Choquistic 2-additive [balanced],Choquistic 2-additive,balanced,uncalibrated,selection validation,0.5199579831932772,0.10946996885585891,0.07692307692307693,0.7767857142857143,0.13998390989541432,0.23601540842315716,0.6800906178807509,0.42738953089755993,0.0682095006090134,0.3591800302885465,0.3591800302885465,0.23938241149978617,0.6887941534713764,0.0682095006090134,0.07815080380728627,7.8015546999522485,8.80145079997601,0.0,57.0,3451,0.06725324633312303,7,rolling_5y
Random forest [unweighted],Random forest,unweighted,uncalibrated,selection validation,0.5676032913165265,0.10598769421042734,0.07383177570093458,0.7053571428571429,0.13367174280879865,0.06737222153501433,0.27266713470573267,0.10680094917336673,0.0682095006090134,0.03859144856435333,0.03859144856435333,0.09428632264797919,0.6516443361753959,0.0682095006090134,0.07688197535971684,15.794605999952182,2.5505922000156716,0.0,,3451,0.06725324633312303,7,rolling_5y
Logistic oriented [unweighted] [sigmoid],Logistic oriented,unweighted,sigmoid,calibration,0.6069152661064425,0.09732820385246954,0.09136212624584718,0.49107142857142855,0.15406162464985995,0.12678948950423605,0.46275519576752383,0.17239040360112248,0.0682095006090134,0.10418090299210908,0.10418090299210908,0.0930870827474634,0.36662606577344703,0.0682095006090134,0.0872961545360879,0.07052699994528666,0.04701570002362132,0.0870405999594368,11.0,3451,0.06725324633312303,7,rolling_5y
Logistic [unweighted] [sigmoid],Logistic,unweighted,sigmoid,calibration,0.6069152661064425,0.09732820385246954,0.09136212624584718,0.49107142857142855,0.15406162464985995,0.12678948950423605,0.46275519576752383,0.17239040360112248,0.0682095006090134,0.10418090299210908,0.10418090299210908,0.0930870827474634,0.36662606577344703,0.0682095006090134,0.0872961545360879,0.06459670013282448,0.040809699916280806,0.07217319996561855,11.0,3451,0.06725324633312303,7,rolling_5y
MLP [balanced] [sigmoid],MLP,balanced,sigmoid,calibration,0.5368843370681606,0.09624886327506621,0.06369426751592357,0.26785714285714285,0.10291595197255575,0.06454809921247208,0.25521555574265437,0.07918867124041415,0.0682095006090134,0.010979170631400748,0.010979170631400748,0.10479354051253081,0.2868453105968331,0.0682095006090134,0.11974336834023673,15.205406100023538,0.7134012999595143,0.07515860005514696,,3451,0.06725324633312303,7,rolling_5y
Explicit interactions [balanced],Explicit interactions,balanced,uncalibrated,selection validation,0.5853174603174603,0.0934931649503153,0.07803468208092486,0.9642857142857143,0.1443850267379679,0.33279402080553333,1.9376231604329126,0.44931972163593553,0.0682095006090134,0.38111022102692216,0.38111022102692216,0.22965991934521815,0.8428745432399513,0.0682095006090134,0.0754110924855971,0.22374150005634874,0.08452669985126704,0.0,56.0,3451,0.06725324633312303,7,rolling_5y
Logistic [balanced] [sigmoid],Logistic,balanced,sigmoid,calibration,0.5875408496732026,0.09213057646693933,0.09634146341463415,0.7053571428571429,0.16952789699570817,0.09481440747302826,0.3300834168833946,0.14172900468012162,0.0682095006090134,0.07351950407110822,0.07351950407110822,0.08146412912145751,0.4993909866017052,0.0682095006090134,0.07493512058455074,0.06854850001400337,0.0453123000334017,0.07210490008583292,11.0,3451,0.06725324633312303,7,rolling_5y
Logistic oriented [balanced] [sigmoid],Logistic oriented,balanced,sigmoid,calibration,0.5875408496732026,0.09213057646693933,0.09634146341463415,0.7053571428571429,0.16952789699570817,0.09481440747302826,0.3300834168833946,0.14172900468012162,0.0682095006090134,0.07351950407110822,0.07351950407110822,0.08146412912145751,0.4993909866017052,0.0682095006090134,0.07493512058455074,0.0820745000964962,0.052255199872888625,0.08796259987866506,11.0,3451,0.06725324633312303,7,rolling_5y
Choquistic 1-additive [balanced],Choquistic 1-additive,balanced,uncalibrated,selection validation,0.5422152194211017,0.08912215155854994,0.0677710843373494,0.8035714285714286,0.125,0.23840006254468346,0.6811557085295562,0.461944489656136,0.0682095006090134,0.39373498904712256,0.39373498904712256,0.19724762853452013,0.8087697929354446,0.0682095006090134,0.1133948615018063,2.1301680000615306,1.997000899980776,0.0,12.0,3451,0.06725324633312303,7,rolling_5y
RBF SVM [balanced],RBF SVM,balanced,uncalibrated,selection validation,0.516812558356676,0.08848302754021536,0.07633587786259542,0.8035714285714286,0.139426800929512,0.14707293561653692,0.5007714300730001,0.21646937463476942,0.0682095006090134,0.14825987402575602,0.14825987402575602,0.0720073538573761,0.718026796589525,0.0682095006090134,0.11765170254614983,0.6592923000571318,0.2718716000090353,0.0,,3451,0.06725324633312303,7,rolling_5y
RBF SVM [balanced] [sigmoid],RBF SVM,balanced,sigmoid,calibration,0.5434873949579831,0.0849875855368066,0.14603174603174604,0.4107142857142857,0.2154566744730679,0.06393004718697501,0.2556434330115811,0.05273094781335108,0.0682095006090134,-0.01547855279566232,0.01547855279566232,0.08494463051280406,0.19183922046285018,0.0682095006090134,0.11765170254614983,0.6592923000571318,0.2718716000090353,0.13268970005447045,,3451,0.06725324633312303,7,rolling_5y
