,market_loss_1d,vix,realized_volatility_20d,drawdown_severity,liquidity_stress_20d,baa_credit_spread_pct,term_spread_10y_2y_pct,average_equity_correlation_60d,negative_momentum_21d,lagged_portfolio_loss_1d
market_loss_1d,0.0,-0.00023563782956682855,-0.0007036701073354385,7.123950435431165e-18,-0.0012206663327202002,-0.030466114511446124,-1.0388173404735739e-18,-8.684841981804833e-05,-0.002191318052389176,-0.11677794146070447
vix,-0.00023563782956682855,0.0,-0.0022362111576959215,-1.4897776815917634e-18,-9.266174609850466e-05,6.785406155877726e-20,-6.868467420106552e-05,-0.00031853945773349776,4.941029922198317e-06,-0.00010749172218570035
realized_volatility_20d,-0.0007036701073354385,-0.0022362111576959215,0.0,4.2162234661748046e-18,-0.014664610723814286,-0.1709676289966673,-9.954895525254962e-05,-0.00033523885200916354,-0.0003748769958331021,-2.4173316028521156e-05
drawdown_severity,7.123950435431165e-18,-1.4897776815917634e-18,4.2162234661748046e-18,0.0,-1.6206133485174935e-18,-9.205634748653118e-05,1.6016075425771977e-18,1.8157912515127518e-18,-3.4875062321877724e-18,1.2210289168921331e-18
liquidity_stress_20d,-0.0012206663327202002,-9.266174609850466e-05,-0.014664610723814286,-1.6206133485174935e-18,0.0,-0.05293540199209537,1.9349943326295235e-18,-0.0008194810150145079,-0.002421047141478472,0.000397796994199179
baa_credit_spread_pct,-0.030466114511446124,6.785406155877726e-20,-0.1709676289966673,-9.205634748653118e-05,-0.05293540199209537,0.0,-3.1188559815948344e-19,-0.13162247551792217,-0.03828170260491457,-0.00521970465870121
term_spread_10y_2y_pct,-1.0388173404735739e-18,-6.868467420106552e-05,-9.954895525254962e-05,1.6016075425771977e-18,1.9349943326295235e-18,-3.1188559815948344e-19,0.0,2.6831798794359888e-18,-1.6949317504102383e-18,-3.605881103311674e-18
average_equity_correlation_60d,-8.684841981804833e-05,-0.00031853945773349776,-0.00033523885200916354,1.8157912515127518e-18,-0.0008194810150145079,-0.13162247551792217,2.6831798794359888e-18,0.0,-0.0006625039650623578,-0.00045335342736930437
negative_momentum_21d,-0.002191318052389176,4.941029922198317e-06,-0.0003748769958331021,-3.4875062321877724e-18,-0.002421047141478472,-0.03828170260491457,-1.6949317504102383e-18,-0.0006625039650623578,0.0,-0.0030301642422160386
lagged_portfolio_loss_1d,-0.11677794146070447,-0.00010749172218570035,-2.4173316028521156e-05,1.2210289168921331e-18,0.000397796994199179,-0.00521970465870121,-3.605881103311674e-18,-0.00045335342736930437,-0.0030301642422160386,0.0
