,market_loss_1d,vix,realized_volatility_20d,drawdown_severity,liquidity_stress_20d,baa_credit_spread_pct,term_spread_10y_2y_pct,average_equity_correlation_60d,negative_momentum_21d,lagged_portfolio_loss_1d
market_loss_1d,0.0,5.109642046798394e-17,2.67516430612301e-16,-1.6825144717028844e-16,-9.100940136522352e-17,8.144460444277671e-18,1.08550928878116e-16,-8.37507481806456e-17,-0.0007019961055119487,-4.2112870497100523e-17
vix,5.109642046798394e-17,0.0,1.5590060658056207e-16,-4.631337576365879e-16,8.81494363928836e-17,8.583328319702928e-17,0.3328336000757244,1.6504770514406226e-16,-5.614330171471929e-17,0.3757002859915017
realized_volatility_20d,2.67516430612301e-16,1.5590060658056207e-16,0.0,7.094646479731902e-17,-3.8068021204403014e-17,9.969632710940481e-17,8.779234761213622e-17,1.7937072449304417e-16,2.321835939948738e-16,0.16549658501380465
drawdown_severity,-1.6825144717028844e-16,-4.631337576365879e-16,7.094646479731902e-17,0.0,9.725772215681502e-17,1.1227899003493387e-16,5.321189796269904e-19,-1.3715530820096834e-16,1.2398859843582123e-16,-1.1366203806255033e-16
liquidity_stress_20d,-9.100940136522352e-17,8.81494363928836e-17,-3.8068021204403014e-17,9.725772215681502e-17,0.0,3.313100876097632e-17,-1.0509318812472591e-16,1.6471847925907652e-16,1.5854479296328596e-16,-1.6497957984530879e-16
baa_credit_spread_pct,8.144460444277671e-18,8.583328319702928e-17,9.969632710940481e-17,1.1227899003493387e-16,3.313100876097632e-17,0.0,-9.102386045963904e-17,-1.1665601177236695e-18,9.107481397190718e-17,1.7259189592313042e-16
term_spread_10y_2y_pct,1.08550928878116e-16,0.3328336000757244,8.779234761213622e-17,5.321189796269904e-19,-1.0509318812472591e-16,-9.102386045963904e-17,0.0,-9.876415472748319e-17,3.6038518936890194e-17,-1.0440153114683982e-16
average_equity_correlation_60d,-8.37507481806456e-17,1.6504770514406226e-16,1.7937072449304417e-16,-1.3715530820096834e-16,1.6471847925907652e-16,-1.1665601177236695e-18,-9.876415472748319e-17,0.0,8.528660475361238e-17,2.2483564126989553e-16
negative_momentum_21d,-0.0007019961055119487,-5.614330171471929e-17,2.321835939948738e-16,1.2398859843582123e-16,1.5854479296328596e-16,9.107481397190718e-17,3.6038518936890194e-17,8.528660475361238e-17,0.0,0.12526753281345682
lagged_portfolio_loss_1d,-4.2112870497100523e-17,0.3757002859915017,0.16549658501380465,-1.1366203806255033e-16,-1.6497957984530879e-16,1.7259189592313042e-16,-1.0440153114683982e-16,2.2483564126989553e-16,0.12526753281345682,0.0
