fold,model,OOS start,OOS end,best parameters
4,Choquet 2-additive L1,2024-01-01,2025-01-01,"{'regressor__regressor__penalty': L1Penalty(weight=0.0001, selection=[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54])}"
4,Elastic net,2024-01-01,2025-01-01,"{'regressor__alpha': 0.001, 'regressor__l1_ratio': 0.75}"
4,Explicit interactions,2024-01-01,2025-01-01,{'regressor__ridge__alpha': 10.0}
4,Gradient boosting,2024-01-01,2025-01-01,"{'regressor__l2_regularization': 1.0, 'regressor__learning_rate': 0.03, 'regressor__max_leaf_nodes': 7}"
4,Historical mean,2024-01-01,2025-01-01,{}
4,Lasso,2024-01-01,2025-01-01,{'regressor__alpha': 0.01}
4,MLP,2024-01-01,2025-01-01,"{'regressor__alpha': 0.0001, 'regressor__hidden_layer_sizes': (32,)}"
4,Monotone linear,2024-01-01,2025-01-01,{}
4,OLS,2024-01-01,2025-01-01,{}
4,OLS oriented,2024-01-01,2025-01-01,{}
4,Random forest,2024-01-01,2025-01-01,"{'regressor__max_depth': 3, 'regressor__min_samples_leaf': 5}"
4,Ridge,2024-01-01,2025-01-01,{'regressor__alpha': 10.0}
5,Choquet 1-additive,2025-01-01,2026-01-01,{}
5,Choquet 2-additive,2025-01-01,2026-01-01,{}
5,Choquet 2-additive L1,2025-01-01,2026-01-01,"{'regressor__regressor__penalty': L1Penalty(weight=1e-05, selection=[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54])}"
5,Elastic net,2025-01-01,2026-01-01,"{'regressor__alpha': 0.001, 'regressor__l1_ratio': 0.75}"
5,Explicit interactions,2025-01-01,2026-01-01,{'regressor__ridge__alpha': 10.0}
5,Gradient boosting,2025-01-01,2026-01-01,"{'regressor__l2_regularization': 0.0, 'regressor__learning_rate': 0.03, 'regressor__max_leaf_nodes': 7}"
