asset,model,feature,Shapley importance
AMZN,Choquet 2-additive scaled-q L1,sector_excess_return,0.1428571515246629
AMZN,Choquet 2-additive scaled-q L1,size_spread,0.14285712724493727
AMZN,Choquet 2-additive scaled-q L1,value_growth_spread,0.1428571466717203
JPM,Choquet 1-additive,low_volatility_spread,0.008334315521485228
JPM,Choquet 1-additive,market_excess_return,9.969135718654447e-17
JPM,Choquet 1-additive,momentum_spread,-1.6597489596741264e-18
JPM,Choquet 1-additive,quality_spread,0.12455021453707459
JPM,Choquet 1-additive,sector_excess_return,0.86711546994144
JPM,Choquet 1-additive,size_spread,1.0804849078941251e-17
JPM,Choquet 1-additive,value_growth_spread,-1.0681158067700774e-17
JPM,Choquet 1-additive scaled-q,low_volatility_spread,0.14285714285714277
JPM,Choquet 1-additive scaled-q,market_excess_return,0.14285714285714277
JPM,Choquet 1-additive scaled-q,momentum_spread,0.14285714285714277
JPM,Choquet 1-additive scaled-q,quality_spread,0.14285714285714277
JPM,Choquet 1-additive scaled-q,sector_excess_return,0.14285714285714277
JPM,Choquet 1-additive scaled-q,size_spread,0.14285714285714277
JPM,Choquet 1-additive scaled-q,value_growth_spread,0.14285714285714277
JPM,Choquet 2-additive,low_volatility_spread,0.06881830107863773
JPM,Choquet 2-additive,market_excess_return,0.12587273072384206
JPM,Choquet 2-additive,momentum_spread,0.0002548649337333526
JPM,Choquet 2-additive,quality_spread,0.12219836709131351
JPM,Choquet 2-additive,sector_excess_return,0.6523271130832505
JPM,Choquet 2-additive,size_spread,0.03001578982319093
JPM,Choquet 2-additive,value_growth_spread,0.000512833266032106
JPM,Choquet 2-additive L1,low_volatility_spread,0.004164535350079475
JPM,Choquet 2-additive L1,market_excess_return,0.07835405447039671
JPM,Choquet 2-additive L1,momentum_spread,0.0007516646080405358
JPM,Choquet 2-additive L1,quality_spread,0.13365489418443635
JPM,Choquet 2-additive L1,sector_excess_return,0.7803395192598976
JPM,Choquet 2-additive L1,size_spread,0.001347590265821488
JPM,Choquet 2-additive L1,value_growth_spread,0.0013877418613276985
JPM,Choquet 2-additive scaled-q,low_volatility_spread,0.14285714285714277
JPM,Choquet 2-additive scaled-q,market_excess_return,0.14285714285714277
JPM,Choquet 2-additive scaled-q,momentum_spread,0.14285714285714277
JPM,Choquet 2-additive scaled-q,quality_spread,0.14285714285714277
JPM,Choquet 2-additive scaled-q,sector_excess_return,0.14285714285714277
JPM,Choquet 2-additive scaled-q,size_spread,0.14285714285714277
JPM,Choquet 2-additive scaled-q,value_growth_spread,0.14285714285714277
JPM,Choquet 2-additive scaled-q L1,low_volatility_spread,0.14285714281257625
JPM,Choquet 2-additive scaled-q L1,market_excess_return,0.14285714294505103
JPM,Choquet 2-additive scaled-q L1,momentum_spread,0.14285714269521949
JPM,Choquet 2-additive scaled-q L1,quality_spread,0.14285714287858417
JPM,Choquet 2-additive scaled-q L1,sector_excess_return,0.14285714348214396
JPM,Choquet 2-additive scaled-q L1,size_spread,0.14285714286592363
JPM,Choquet 2-additive scaled-q L1,value_growth_spread,0.14285714232050145
KO,Choquet 1-additive,low_volatility_spread,-1.456573990059395e-18
KO,Choquet 1-additive,market_excess_return,-7.963723100280431e-20
KO,Choquet 1-additive,momentum_spread,0.04291988970082063
KO,Choquet 1-additive,quality_spread,-1.3770400164063506e-17
KO,Choquet 1-additive,sector_excess_return,0.8673698086032442
KO,Choquet 1-additive,size_spread,0.08971030169593534
KO,Choquet 1-additive,value_growth_spread,5.582350471428342e-19
KO,Choquet 1-additive scaled-q,low_volatility_spread,0.14285714285714277
KO,Choquet 1-additive scaled-q,market_excess_return,0.14285714285714277
KO,Choquet 1-additive scaled-q,momentum_spread,0.14285714285714277
KO,Choquet 1-additive scaled-q,quality_spread,0.14285714285714277
KO,Choquet 1-additive scaled-q,sector_excess_return,0.14285714285714277
KO,Choquet 1-additive scaled-q,size_spread,0.14285714285714277
KO,Choquet 1-additive scaled-q,value_growth_spread,0.14285714285714277
KO,Choquet 2-additive,low_volatility_spread,0.03668801553947733
KO,Choquet 2-additive,market_excess_return,0.13846252352866478
KO,Choquet 2-additive,momentum_spread,0.032107057744191786
KO,Choquet 2-additive,quality_spread,0.056583355173787174
