asset,Choquet 1-additive,Choquet 1-additive scaled-q,Choquet 2-additive,Choquet 2-additive L1,Choquet 2-additive scaled-q,Choquet 2-additive scaled-q L1,Elastic net,Lasso,Monotone linear,OLS,OLS oriented,Ridge
AAPL,0.019406922803977492,0.015628499740940275,0.019135685347426087,0.019255547435239155,0.01562849974094028,0.015628499730227466,0.015595523930460545,0.015567140654247521,0.01524470657699907,0.015605205293923015,0.015605205293923015,0.015605087904354465
AMZN,0.026104116985841155,0.017699921451585596,0.025934839110875543,0.026174587838483532,0.017699921451585603,0.017699921438408546,0.01612069122175242,0.016096172401758077,0.015810782100522388,0.01612909345417905,0.01612909345417905,0.01612898350818408
JPM,0.013837641871219011,0.018853597091825172,0.014102006512881772,0.01384921300831569,0.018853597091825172,0.01885359706359071,0.010592476696912401,0.010594116519833496,0.01085768141744872,0.010591927299758472,0.010591927299758472,0.01059195495125493
KO,0.015277157989571674,0.012978566147290193,0.015192206932568402,0.015269328231114087,0.012978566147290193,0.012978566147290193,0.008503118264948872,0.008498461130580554,0.008546350425355866,0.008504865527984224,0.008504865527984224,0.008504863121916267
MSFT,0.020516602748830305,0.01611557537309662,0.02020130653426819,0.02188270980861497,0.01611557537309662,0.016115575365702534,0.012761964397491894,0.012738631072228534,0.012873721193312555,0.01263947209367238,0.01263947209367238,0.01260711147355292
NVDA,0.04978685459406148,0.023014944869137598,0.04830855649588847,0.04872606459847142,0.023014944869137598,0.023014944801593554,0.02146893409708892,0.021422176506226298,0.019797624265597315,0.021485219023610596,0.021485219023610596,0.02148483803363899
UNH,0.020739946204049165,0.02289095176661482,0.02101602815061671,0.02111630119255536,0.02289095176661482,0.022890951749039774,0.018543759155482672,0.018490587594078723,0.01859773780264599,0.0185101398533325,0.0185101398533325,0.018510150312164825
WMT,0.022574292351106952,0.014529205158740711,0.02223278294394028,0.02223134990542724,0.014529205158740711,0.014529205158740711,0.011978484864678587,0.012018699021645363,0.011982427253551121,0.012071374993704689,0.012071374993704689,0.01208200269381354
XOM,0.012158519165581663,0.020104058312078284,0.01244182289128697,0.012347297654746353,0.020104058312078284,0.020104058298941588,0.010590714568553573,0.010600033394646933,0.010953389136264712,0.01057389465380877,0.01057389465380877,0.010573959377283166
