model,reference,mean loss difference,standard error,lower 95%,upper 95%,favors model
Historical mean,Choquet 2-additive,-0.00022984334466623376,4.308382893845364e-05,-0.00031428609770168744,-0.00014540059163078008,True
Choquet 1-additive scaled-q,Choquet 2-additive,-0.00022984334466623376,4.308382893845364e-05,-0.00031428609770168744,-0.00014540059163078008,True
Choquet 2-additive scaled-q,Choquet 2-additive,-0.00022984334466623376,4.308382893845364e-05,-0.00031428609770168744,-0.00014540059163078008,True
Choquet 2-additive scaled-q L1,Choquet 2-additive,-0.00022984334466620885,4.3083828938451965e-05,-0.00031428609770165926,-0.00014540059163075845,True
Monotone linear,Choquet 2-additive,-0.00022870513059876222,4.2933382990221836e-05,-0.0003128530149940616,-0.00014455724620346285,True
Lasso,Choquet 2-additive,-0.0002111188205460796,4.4356961747546436e-05,-0.00029805686803489146,-0.00012418077305726772,True
Elastic net,Choquet 2-additive,-0.0001916279338039945,4.923921250919077e-05,-0.0002881350169491225,-9.51208506588665e-05,True
Gradient boosting,Choquet 2-additive,-0.0001637997058585971,5.4717150924920075e-05,-0.00027104335100808295,-5.655606070911126e-05,True
Choquet model aggregator,Choquet 2-additive,-0.00015598291871152638,4.315462634395672e-05,-0.000240564432111965,-7.140140531108778e-05,True
Random forest,Choquet 2-additive,-0.00014414074224220852,5.144466052529711e-05,-0.0002449704240686803,-4.3311060415736764e-05,True
Ridge,Choquet 2-additive,-0.00012665985543113264,5.213854660350901e-05,-0.00022884952898027347,-2.447018188199181e-05,True
OLS,Choquet 2-additive,-0.00011831104793581298,5.262212952474719e-05,-0.0002214485265941193,-1.5173569277506657e-05,True
OLS oriented,Choquet 2-additive,-0.00011831104793581298,5.262212952474719e-05,-0.0002214485265941193,-1.5173569277506657e-05,True
Choquet 1-additive,Choquet 2-additive,2.008510899502664e-06,2.3587868972325055e-05,-4.422286275830426e-05,4.8239884557309585e-05,False
Choquet 2-additive L1,Choquet 2-additive,3.2968558126403416e-06,1.1381541208713556e-05,-1.90105550449967e-05,2.5604266670277387e-05,False
Fuzzy Choquet neural network,Choquet 2-additive,0.00027943575956375984,0.00012954699695886957,2.5528311219055603e-05,0.000533343207908464,False
MLP,Choquet 2-additive,0.00037979703426387117,9.476924350058978e-05,0.0001940527301606086,0.0005655413383671337,False
Explicit interactions,Choquet 2-additive,0.0018946038492097684,0.0012247030495682824,-0.0005057700197004375,0.004294977718119974,False
