,market_loss_1d,vix,realized_volatility_20d,drawdown_severity,liquidity_stress_20d,baa_credit_spread_pct,term_spread_10y_2y_pct,average_equity_correlation_60d,negative_momentum_21d,lagged_portfolio_loss_1d
market_loss_1d,0.0,-1.243249590447261e-06,1.8818429446399186e-05,-2.1672440836353382e-05,-3.936326733798929e-05,-3.054762373643322e-05,1.8205356520028187e-05,-0.0001514594442579125,-2.034423795394283e-05,-2.7580683505517152e-05
vix,-1.243249590447261e-06,0.0,-9.996234986125244e-05,1.5215455733756093e-05,-6.836835039292596e-06,-5.14436250247167e-07,-1.5967420318189902e-05,1.5798628361572305e-05,-2.879312784460155e-05,-4.940505116818251e-05
realized_volatility_20d,1.8818429446399186e-05,-9.996234986125244e-05,0.0,-1.6821530334388675e-05,2.3183728609309698e-05,7.2130223938808165e-06,2.0228673056319093e-05,-1.1901136378030405e-06,4.815130893590079e-05,1.596281880198453e-05
drawdown_severity,-2.1672440836353382e-05,1.5215455733756093e-05,-1.6821530334388675e-05,0.0,-1.2459268553319035e-05,-1.2902267496256483e-05,-2.742135197856489e-06,8.066563301200512e-05,2.4436450745050033e-05,5.716658040070109e-06
liquidity_stress_20d,-3.936326733798929e-05,-6.836835039292596e-06,2.3183728609309698e-05,-1.2459268553319035e-05,0.0,-1.3291075071629284e-05,-9.964631798468776e-07,5.186115451251712e-06,1.0626326598176581e-05,-6.846603642425495e-05
baa_credit_spread_pct,-3.054762373643322e-05,-5.14436250247167e-07,7.2130223938808165e-06,-1.2902267496256483e-05,-1.3291075071629284e-05,0.0,2.6376150408355224e-05,8.039117516620535e-05,-1.626819177131066e-07,-5.314575370578586e-05
term_spread_10y_2y_pct,1.8205356520028187e-05,-1.5967420318189902e-05,2.0228673056319093e-05,-2.742135197856489e-06,-9.964631798468776e-07,2.6376150408355224e-05,0.0,5.533349848013323e-05,-5.358068962643207e-07,1.2985307517191196e-05
average_equity_correlation_60d,-0.0001514594442579125,1.5798628361572305e-05,-1.1901136378030405e-06,8.066563301200512e-05,5.186115451251712e-06,8.039117516620535e-05,5.533349848013323e-05,0.0,-2.2025995860373976e-05,7.359599595191205e-05
negative_momentum_21d,-2.034423795394283e-05,-2.879312784460155e-05,4.815130893590079e-05,2.4436450745050033e-05,1.0626326598176581e-05,-1.626819177131066e-07,-5.358068962643207e-07,-2.2025995860373976e-05,0.0,3.537727380884913e-05
lagged_portfolio_loss_1d,-2.7580683505517152e-05,-4.940505116818251e-05,1.596281880198453e-05,5.716658040070109e-06,-6.846603642425495e-05,-5.314575370578586e-05,1.2985307517191196e-05,7.359599595191205e-05,3.537727380884913e-05,0.0
