fold,sample,observations,start,end,events,event prevalence,evaluation_structure
0,OOS,253,2020-01-02,2020-12-31,13,0.05138339920948617,rolling_5y
0,calibration,498,2018-01-02,2019-12-23,24,0.04819277108433735,rolling_5y
0,selection_validation,373,2016-07-01,2017-12-21,4,0.010723860589812333,rolling_5y
0,train,370,2015-01-06,2016-06-23,13,0.03513513513513514,rolling_5y
1,OOS,252,2021-01-04,2021-12-31,2,0.007936507936507936,rolling_5y
1,calibration,500,2019-01-02,2020-12-23,14,0.028,rolling_5y
1,selection_validation,372,2017-07-03,2018-12-21,27,0.07258064516129033,rolling_5y
1,train,372,2016-01-04,2017-06-23,4,0.010752688172043012,rolling_5y
2,OOS,251,2022-01-03,2022-12-30,19,0.07569721115537849,rolling_5y
2,calibration,500,2020-01-02,2021-12-23,15,0.03,rolling_5y
2,selection_validation,373,2018-07-02,2019-12-23,14,0.03753351206434316,rolling_5y
2,train,371,2017-01-03,2018-06-22,14,0.03773584905660377,rolling_5y
3,OOS,250,2023-01-03,2023-12-29,0,0.0,rolling_5y
3,calibration,498,2021-01-04,2022-12-22,21,0.04216867469879518,rolling_5y
3,selection_validation,376,2019-07-01,2020-12-23,14,0.03723404255319149,rolling_5y
3,train,370,2018-01-02,2019-06-21,23,0.062162162162162166,rolling_5y
4,OOS,252,2024-01-02,2024-12-31,12,0.047619047619047616,rolling_5y
4,calibration,496,2022-01-03,2023-12-21,19,0.038306451612903226,rolling_5y
4,selection_validation,375,2020-07-01,2021-12-23,2,0.005333333333333333,rolling_5y
4,train,372,2019-01-02,2020-06-23,14,0.03763440860215054,rolling_5y
5,OOS,250,2025-01-02,2025-12-31,14,0.056,rolling_5y
5,calibration,497,2023-01-03,2024-12-23,12,0.02414486921529175,rolling_5y
5,selection_validation,374,2021-07-01,2022-12-22,21,0.05614973262032086,rolling_5y
5,train,372,2020-01-02,2021-06-23,13,0.03494623655913978,rolling_5y
6,OOS,139,2026-01-02,2026-07-23,3,0.02158273381294964,rolling_5y
6,calibration,497,2024-01-02,2025-12-23,26,0.052313883299798795,rolling_5y
6,selection_validation,372,2022-07-01,2023-12-21,1,0.002688172043010753,rolling_5y
6,train,371,2021-01-04,2022-06-23,20,0.05390835579514825,rolling_5y
