,MSE,RMSE,MAE,Tail-weighted MAE,OOS R2,Correlation
Explicit interactions,0.002413764374978968,0.04913007607340913,0.039935524082363595,0.05274936781342086,-2.267325837173013,0.14443603918712233
Choquet model aggregator,0.0030335387765935656,0.05507757054004439,0.04675184898304276,0.06343782376962513,-3.106266429968639,-0.15732665090922257
MLP,0.0031087785356479066,0.05575642147455221,0.0471269614254458,0.06277617425708247,-3.2081126628856618,-0.057178194174697314
OLS,0.0031590288160316415,0.0562052383326647,0.04649758394538912,0.06441159482278466,-3.2761325744913234,-0.27937152188243225
OLS oriented,0.0031590288160316415,0.0562052383326647,0.04649758394538912,0.06441159482278466,-3.2761325744913234,-0.27937152188243225
Ridge,0.0031656447182982846,0.0562640624048627,0.04672203986047317,0.064551045679067,-3.2850880088477536,-0.2828185570195321
Lasso,0.0033091930016401843,0.057525585626225346,0.050474360032686766,0.06648841655743475,-3.47939819914912,-0.1259211258139205
Elastic net,0.003312414854476764,0.057553582464315495,0.04951827413393596,0.06653004525699462,-3.483759371733175,-0.3554315722358566
Monotone linear,0.0033343670900795796,0.05774397882099552,0.050993988344083814,0.06681973713690242,-3.51347441240255,0.17849499197461016
Choquet 2-additive scaled-q,0.0033446172722596122,0.057832666134803194,0.051048928786503446,0.06692732324437804,-3.5273492899256897,0.013866020058933332
Choquet 1-additive scaled-q,0.0033446172722596122,0.057832666134803194,0.051048928786503446,0.06692732324437804,-3.5273492899256897,0.013866020058933332
Historical mean,0.0033446172722596122,0.057832666134803194,0.051048928786503446,0.06692732324437804,-3.5273492899256897,0.013866020058933332
Choquet 2-additive scaled-q L1,0.0033446172722610013,0.057832666134815205,0.051048928786516706,0.06692732324439153,-3.52734928992757,0.013866020057598743
Gradient boosting,0.0033579901384538494,0.057948167688494256,0.04800366167885442,0.06575915518211863,-3.5454511028807634,-0.216308570426404
Choquet 1-additive,0.003499521931457653,0.05915675727638942,0.0509251908133775,0.06610162830374179,-3.7370317264313853,0.11060758189127617
Random forest,0.003501560602326812,0.05917398585803404,0.0509519632569397,0.06790507491086128,-3.7397913172486756,-0.22398102976337056
Choquet 2-additive L1,0.0036941316431629784,0.0607793685650236,0.052542405431690115,0.06830404926905967,-4.0004598165179095,0.06378480931681317
Choquet 2-additive,0.0039040410037992695,0.062482325531299406,0.05421670619543595,0.07046670755451584,-4.284597856080034,0.013791834079301886
Fuzzy Choquet neural network,0.005085125388301287,0.07131006512618879,0.05860130715705685,0.07889259169442363,-5.883340287349306,-0.3459506575563249
