model,base model,class weight,probability calibration,evaluation_structure,ROC AUC,PR AUC,validation PR AUC
Choquistic 2-additive [balanced],Choquistic 2-additive,balanced,uncalibrated,rolling_5y,0.6610594533671456,0.11561680352433942,0.09916950070077517
Choquistic 1-additive [balanced],Choquistic 1-additive,balanced,uncalibrated,rolling_5y,0.6735418427726121,0.10708264037634768,0.10960345729495057
Choquistic 2-additive [unweighted],Choquistic 2-additive,unweighted,uncalibrated,rolling_5y,0.6231825866441251,0.10199633243533962,0.09979740065765766
Choquistic 1-additive [unweighted],Choquistic 1-additive,unweighted,uncalibrated,rolling_5y,0.6384333615102846,0.10115727172022454,0.10642530807897413
Choquistic 2-additive [unweighted] [sigmoid],Choquistic 2-additive,unweighted,sigmoid,rolling_5y,0.571752606367991,0.09935575199423465,0.09979740065765766
Fuzzy Choquet neural network [unweighted] [sigmoid],Fuzzy Choquet neural network,unweighted,sigmoid,rolling_5y,0.5659129332206255,0.09816903658914722,0.0681469410648226
Choquistic 1-additive [unweighted] [sigmoid],Choquistic 1-additive,unweighted,sigmoid,rolling_5y,0.5297337278106509,0.09723391222880913,0.10642530807897413
Choquistic 2-additive [balanced] [sigmoid],Choquistic 2-additive,balanced,sigmoid,rolling_5y,0.5623696816004509,0.09545795969963534,0.09916950070077517
Fuzzy Choquet neural network [balanced] [sigmoid],Fuzzy Choquet neural network,balanced,sigmoid,rolling_5y,0.5633558748943364,0.09544263753445237,0.061986853137621624
Penalized logistic [balanced] [sigmoid],Penalized logistic,balanced,sigmoid,rolling_5y,0.5737038602423218,0.09221213030684372,0.11998712279205108
Explicit interactions [balanced] [sigmoid],Explicit interactions,balanced,sigmoid,rolling_5y,0.5525570583262891,0.09166160030246394,0.09354020437869273
Explicit interactions [unweighted] [sigmoid],Explicit interactions,unweighted,sigmoid,rolling_5y,0.5814102564102565,0.0914756082718569,0.10389810458845909
Choquistic model aggregator [unweighted] [sigmoid],Choquistic model aggregator,unweighted,sigmoid,rolling_5y,0.5587278106508875,0.0912434363010434,0.14872746353975025
Choquistic 1-additive [balanced] [sigmoid],Choquistic 1-additive,balanced,sigmoid,rolling_5y,0.5256269371653987,0.08670683528765927,0.10960345729495057
Logistic [balanced] [sigmoid],Logistic,balanced,sigmoid,rolling_5y,0.5579177233023387,0.08657265486158838,0.0948825432554125
Logistic oriented [balanced] [sigmoid],Logistic oriented,balanced,sigmoid,rolling_5y,0.5579177233023387,0.08657265486158838,0.0948825432554125
RBF SVM [balanced] [sigmoid],RBF SVM,balanced,sigmoid,rolling_5y,0.5761482107635953,0.08624288667549901,0.12023168143422065
Random forest [balanced] [sigmoid],Random forest,balanced,sigmoid,rolling_5y,0.6126866723020568,0.0844509914227228,0.12561510770807122
Penalized logistic [unweighted] [sigmoid],Penalized logistic,unweighted,sigmoid,rolling_5y,0.5579599887292195,0.08151170215779643,0.13708359168258666
Logistic oriented [unweighted] [sigmoid],Logistic oriented,unweighted,sigmoid,rolling_5y,0.5484220907297831,0.0812640107275012,0.11207568979343786
Logistic [unweighted] [sigmoid],Logistic,unweighted,sigmoid,rolling_5y,0.5484220907297831,0.0812640107275012,0.11207568979343786
Random forest [unweighted] [sigmoid],Random forest,unweighted,sigmoid,rolling_5y,0.5980135249366019,0.07843249077337297,0.10836564794300095
Random forest [balanced],Random forest,balanced,uncalibrated,rolling_5y,0.5658706677937447,0.07778827738520383,0.12561510770807122
Gradient boosting [balanced],Gradient boosting,balanced,uncalibrated,rolling_5y,0.5288109326570866,0.07777149582241821,0.11608084334764023
RBF SVM [unweighted] [sigmoid],RBF SVM,unweighted,sigmoid,rolling_5y,0.5773598196675119,0.07769357927908421,0.08304550694608213
Penalized logistic [balanced],Penalized logistic,balanced,uncalibrated,rolling_5y,0.5965905888982812,0.0770212556607467,0.11998712279205108
Random forest [unweighted],Random forest,unweighted,uncalibrated,rolling_5y,0.6087771203155818,0.06964495151955666,0.10836564794300095
Logistic [balanced],Logistic,balanced,uncalibrated,rolling_5y,0.5640039447731755,0.06667873143870463,0.0948825432554125
Logistic oriented [balanced],Logistic oriented,balanced,uncalibrated,rolling_5y,0.5640039447731755,0.06667873143870463,0.0948825432554125
MLP [balanced] [sigmoid],MLP,balanced,sigmoid,rolling_5y,0.5414694280078896,0.06646329034017474,0.1392926209046346
RBF SVM [balanced],RBF SVM,balanced,uncalibrated,rolling_5y,0.5285009861932939,0.06638531219284766,0.12023168143422065
Choquistic model aggregator [balanced] [sigmoid],Choquistic model aggregator,balanced,sigmoid,rolling_5y,0.5306565229642153,0.06477760888271739,0.16841072074825036
Rolling prior probability [sigmoid],Rolling prior probability,not applicable,sigmoid,rolling_5y,0.49314595660749505,0.0609024272704936,0.05258891868419806
Fuzzy Choquet neural network [balanced],Fuzzy Choquet neural network,balanced,uncalibrated,rolling_5y,0.47733164271625805,0.06025893686408458,0.061986853137621624
Gradient boosting [unweighted],Gradient boosting,unweighted,uncalibrated,rolling_5y,0.5119223724992955,0.05988949723795561,0.10242240766067291
Gradient boosting [balanced] [sigmoid],Gradient boosting,balanced,sigmoid,rolling_5y,0.5372921949845026,0.058946744460347866,0.11608084334764023
MLP [unweighted] [sigmoid],MLP,unweighted,sigmoid,rolling_5y,0.47291842772612,0.0588105932965056,0.1230551177604002
Penalized logistic [unweighted],Penalized logistic,unweighted,uncalibrated,rolling_5y,0.530832628909552,0.05667705513649327,0.13708359168258666
Choquistic model aggregator [unweighted],Choquistic model aggregator,unweighted,uncalibrated,rolling_5y,0.5476190476190477,0.056622483162535195,0.14872746353975025
Logistic [unweighted],Logistic,unweighted,uncalibrated,rolling_5y,0.526683572837419,0.05611485363202714,0.11207568979343786
Logistic oriented [unweighted],Logistic oriented,unweighted,uncalibrated,rolling_5y,0.526683572837419,0.05611485363202714,0.11207568979343786
Gradient boosting [unweighted] [sigmoid],Gradient boosting,unweighted,sigmoid,rolling_5y,0.5079353338968724,0.05469871668798319,0.10242240766067291
Fuzzy Choquet neural network [unweighted],Fuzzy Choquet neural network,unweighted,uncalibrated,rolling_5y,0.4925965060580445,0.05399357814453834,0.0681469410648226
Choquistic model aggregator [balanced],Choquistic model aggregator,balanced,uncalibrated,rolling_5y,0.4790081713158636,0.05134615532893099,0.16841072074825036
Explicit interactions [unweighted],Explicit interactions,unweighted,uncalibrated,rolling_5y,0.4706114398422091,0.04998298567011371,0.10389810458845909
Explicit interactions [balanced],Explicit interactions,balanced,uncalibrated,rolling_5y,0.4516624401239786,0.049082538557684185,0.09354020437869273
RBF SVM [unweighted],RBF SVM,unweighted,uncalibrated,rolling_5y,0.4293181177796562,0.04895708772948121,0.08304550694608213
MLP [balanced],MLP,balanced,uncalibrated,rolling_5y,0.42925471963933504,0.048368029369857984,0.1392926209046346
MLP [unweighted],MLP,unweighted,uncalibrated,rolling_5y,0.4551035502958579,0.04804339275068735,0.1230551177604002
Rolling prior probability,Rolling prior probability,not applicable,uncalibrated,rolling_5y,0.42261200338123417,0.04763194788167754,0.05258891868419806
