model,horizon,evaluation_structure,MSE,RMSE,MAE,Tail-weighted MAE,OOS R2,Correlation,validation RMSE,selection runtime seconds,refit runtime seconds,parameter count,OOS folds
Ridge,5,rolling_5y,0.0007890751646107583,0.028090481744013546,0.020710732581075458,0.02672174896917157,-0.15043700476257893,0.02135023620488896,0.027740604596412345,0.10641030000988394,0.0166177999926731,11.0,7
OLS,5,rolling_5y,0.0007974239721060778,0.028238696359890233,0.020859161792280704,0.026784007247830973,-0.1626092001617243,0.021548625256737848,0.028102566856357918,0.029272900021169335,0.018410999968182296,11.0,7
OLS oriented,5,rolling_5y,0.0007974239721060778,0.028238696359890233,0.020859161792280704,0.026784007247830973,-0.1626092001617243,0.021548625256737848,0.028102566856357918,0.03933380002854392,0.02312640001764521,11.0,7
Choquet 2-additive,5,rolling_5y,0.0009157350200418909,0.030261113992083817,0.021046627441183817,0.028711981775149643,-0.33510152246759706,-0.11934606221256924,0.028645954382314386,4.968275899998844,4.1982970999670215,56.0,7
Choquet 1-additive,5,rolling_5y,0.0009177435309413937,0.03029428214929995,0.020912363474624763,0.02784810088484073,-0.3380298433258473,-0.09179182288597357,0.028551466166223387,1.2811633998644538,1.0420420999871567,11.0,7
Choquet 2-additive L1,5,rolling_5y,0.0009190318758545311,0.030315538521598642,0.021070727676422436,0.028343594384572533,-0.33990819374092096,-0.09759685044145759,0.02828484412933585,20.758787500031758,5.14890060009202,56.0,7
Fuzzy Choquet neural network,5,rolling_5y,0.0011951707796056508,0.03457124208942529,0.024533267707793748,0.03240613396707724,-0.7425066122155013,0.0675653126879546,0.02585839975466945,2.3528922000550665,0.5709027000702918,154.0,7
MLP,5,rolling_5y,0.0012955320543057618,0.035993500167471375,0.027188974188508016,0.031796492247464225,-0.8888289518839978,-0.019503905064965354,0.02873970396280908,117.18312320002588,4.600798299943563,97.0,7
Explicit interactions,5,rolling_5y,0.0028103388692516593,0.053012629337278294,0.027597187192268134,0.03044848353241624,-3.0973508939475902,-0.030814039172760644,0.04141405767829655,0.13994419993832707,0.02332649996969849,56.0,7
Historical mean,10,rolling_5y,0.0013120140231724052,0.03622173412707356,0.025613928307329364,0.03665647699937591,0.0,-0.0777551160035311,0.03344501857334276,0.028122000047005713,0.014509000058751553,,7
Choquet 1-additive scaled-q,10,rolling_5y,0.0013120140231724052,0.03622173412707356,0.025613928307329364,0.03665647699937591,0.0,-0.0777551160035311,0.033446077904311575,0.3179885999998078,0.3006347998743877,12.0,7
Choquet 2-additive scaled-q,10,rolling_5y,0.0013120140231724052,0.03622173412707356,0.025613928307329364,0.03665647699937591,0.0,-0.0777551160035311,0.033446077904311575,0.4099545000353828,0.3911249999073334,57.0,7
Choquet 2-additive scaled-q L1,10,rolling_5y,0.0013120140231724685,0.03622173412707443,0.02561392830732929,0.03665647699937799,-4.8183679268731794e-14,-0.07775511600390275,0.03344607790431027,1.7056908000377007,0.40268339996691793,57.0,7
Monotone linear,10,rolling_5y,0.0013531895101927104,0.03678572427168875,0.026672284850261428,0.03652769756721285,-0.0313834199124976,0.006333115075673711,0.035010277563934836,0.04164629994193092,0.024737400060985237,11.0,7
Lasso,10,rolling_5y,0.001402641394926222,0.03745185435897964,0.027296542582248787,0.036836646253240526,-0.06907500236520536,0.034460106071070716,0.03301075580437343,0.1127762999967672,0.016953399928752333,11.0,7
Random forest,10,rolling_5y,0.0014030671636777662,0.03745753814224537,0.0266063571574357,0.037177701556272875,-0.06939951776216358,0.044536152251815,0.03519813539160271,11.884641799959354,1.7040298000210896,,7
Choquet model aggregator,10,rolling_5y,0.0014266553680420306,0.037771091697779015,0.027437303640028176,0.03560281335286257,-0.08737813990160448,0.1306273323763064,0.03190158266794604,3.323919999995269,0.0,66.0,7
Elastic net,10,rolling_5y,0.0014834299014681988,0.03851532034746951,0.028616698645071752,0.03772151151122593,-0.13065094981326175,0.024085630685101767,0.03774368826044661,0.2532393999863416,0.01682960009202361,11.0,7
Choquet 2-additive L1,10,rolling_5y,0.0014985593046872754,0.03871122969743115,0.02779178559739092,0.035758660025392464,-0.1421823838923688,0.02742810958629229,0.03789019427797097,19.744985099881887,5.284699600015301,56.0,7
Gradient boosting,10,rolling_5y,0.0015038722076327012,0.03877979122729648,0.027882635132732068,0.03647242352078114,-0.14623180931891988,0.1470751131484647,0.038915366873423805,5.165725599916186,0.5814402000396512,,7
Choquet 1-additive,10,rolling_5y,0.001517900769706347,0.03896024601701518,0.028031138562011424,0.036094262867591535,-0.15692419661499857,0.009983153660271407,0.039336585881941014,1.3551290999748744,1.0110094000119716,11.0,7
Choquet 2-additive,10,rolling_5y,0.001520091132270461,0.038988346108426566,0.02816550756340506,0.03597037630467338,-0.15859366243276307,0.02346598451970398,0.03887481374239977,5.127599499945063,5.155617800075561,56.0,7
Fuzzy Choquet neural network,10,rolling_5y,0.0015891484637148908,0.03986412502131322,0.0269434070489432,0.04035025383266961,-0.2112282610153693,0.1111673224162777,0.03402618483806795,2.2917656000354327,0.5449743999051861,154.0,7
Ridge,10,rolling_5y,0.0016499187373591661,0.04061919173690149,0.030603026901229968,0.03829585661348908,-0.257546572078337,0.025685193842096294,0.040800793641437696,0.10931280005024746,0.01723539998056367,11.0,7
OLS,10,rolling_5y,0.001672164956401537,0.04089211362110715,0.030871866620995846,0.03841297237551896,-0.274502350484257,0.02603608729997096,0.041485980001119895,0.028528999944683164,0.01778509997529909,11.0,7
OLS oriented,10,rolling_5y,0.001672164956401537,0.04089211362110715,0.030871866620995846,0.03841297237551896,-0.274502350484257,0.02603608729997096,0.041485980001119895,0.04050860001007095,0.024504800036083907,11.0,7
MLP,10,rolling_5y,0.00471311733372408,0.06865214733512769,0.049906519097242405,0.05761866388443059,-2.592276645281521,0.10531269899356498,0.03944859067719945,128.56530760007445,3.7776738001266494,97.0,7
Explicit interactions,10,rolling_5y,0.0075022496000439285,0.08661552747656698,0.04580753328002559,0.04959682814573236,-4.718116931329548,-0.042016535396841935,0.057945647939666015,0.1395500999642536,0.023619500047061592,56.0,7
