,market_loss_1d,vix,realized_volatility_20d,drawdown_severity,liquidity_stress_20d,baa_credit_spread_pct,term_spread_10y_2y_pct,average_equity_correlation_60d,negative_momentum_21d,lagged_portfolio_loss_1d
market_loss_1d,0.0,-2.0040495242886265e-16,0.041137691996823066,1.0267913466050602e-16,-1.2570846690256756e-16,1.0019106074615579e-17,2.751988957242853e-17,1.5561183012152964e-16,-4.7376889488801374e-17,6.439963092255986e-17
vix,-2.0040495242886265e-16,0.0,-1.81399082257697e-16,-4.0652665316006295e-17,-1.5541043561245143e-16,-2.3223718148358104e-17,0.36682040814429795,3.8433237405402376e-17,-3.932649795677822e-17,0.3941969834534372
realized_volatility_20d,0.041137691996823066,-1.81399082257697e-16,0.0,-1.3034088577220464e-17,1.8331134403527401e-16,-4.8184889740207626e-17,3.15568733662664e-17,4.237284154723938e-17,0.16954418937894947,-9.61654139702898e-18
drawdown_severity,1.0267913466050602e-16,-4.0652665316006295e-17,-1.3034088577220464e-17,0.0,-1.1273381608225204e-16,-2.1643792593207645e-17,2.8206411056328065e-17,2.0481831993140253e-16,-1.478274484167564e-16,-1.8892532680837138e-16
liquidity_stress_20d,-1.2570846690256756e-16,-1.5541043561245143e-16,1.8331134403527401e-16,-1.1273381608225204e-16,0.0,2.356662238525634e-17,5.2662358169271117e-17,4.298149785561467e-17,-1.9019102559289997e-16,1.6678506753248383e-16
baa_credit_spread_pct,1.0019106074615579e-17,-2.3223718148358104e-17,-4.8184889740207626e-17,-2.1643792593207645e-17,2.356662238525634e-17,0.0,5.7089820353519815e-18,-1.789468933436986e-17,3.5767811992687687e-17,2.935751177103039e-17
term_spread_10y_2y_pct,2.751988957242853e-17,0.36682040814429795,3.15568733662664e-17,2.8206411056328065e-17,5.2662358169271117e-17,5.7089820353519815e-18,0.0,-1.6003174157739044e-17,4.458046397658827e-17,-6.7944470861575315e-18
average_equity_correlation_60d,1.5561183012152964e-16,3.8433237405402376e-17,4.237284154723938e-17,2.0481831993140253e-16,4.298149785561467e-17,-1.789468933436986e-17,-1.6003174157739044e-17,0.0,2.0078113017203737e-16,1.0025032422867868e-17
negative_momentum_21d,-4.7376889488801374e-17,-3.932649795677822e-17,0.16954418937894947,-1.478274484167564e-16,-1.9019102559289997e-16,3.5767811992687687e-17,4.458046397658827e-17,2.0078113017203737e-16,0.0,0.02830072702649431
lagged_portfolio_loss_1d,6.439963092255986e-17,0.3941969834534372,-9.61654139702898e-18,-1.8892532680837138e-16,1.6678506753248383e-16,2.935751177103039e-17,-6.7944470861575315e-18,1.0025032422867868e-17,0.02830072702649431,0.0
