model,base model,probability calibration,threshold source,ROC AUC,PR AUC,Precision,Recall,F1,Brier,Log loss,Mean predicted probability,Observed event prevalence,Calibration gap,Absolute calibration gap,Threshold,Predicted event rate,Observed event rate,validation PR AUC,selection runtime seconds,refit runtime seconds,calibration runtime seconds,parameter count,calibration observations,calibration event prevalence,OOS folds
Choquistic 1-additive,Choquistic 1-additive,uncalibrated,selection validation,0.6752747252747253,0.11046610756685107,0.08166969147005444,0.4945054945054945,0.14018691588785046,0.2352235902075551,0.6871762309851099,0.45848528244151115,0.05511811023622047,0.40336717220529067,0.40336717220529067,0.5699490241794888,0.33373712901271957,0.05511811023622047,0.10968741001283754,1.8636346999999205,1.6749973000000864,0.0,12.0,3514,0.05520419312606595,7
Choquistic 2-additive,Choquistic 2-additive,uncalibrated,selection validation,0.6421104536489152,0.10958178282280225,0.07642276422764227,0.5164835164835165,0.13314447592067988,0.2206301243615713,0.6559702769612216,0.43513378174716905,0.05511811023622047,0.38001567151094856,0.38001567151094856,0.5099332852496271,0.3725015142337977,0.05511811023622047,0.10578023472146077,7.772334899999805,8.072963999999956,0.0,57.0,3514,0.05520419312606595,7
Logistic,Logistic,uncalibrated,selection validation,0.6138630600169062,0.07893123506014396,0.07311586051743532,0.7142857142857143,0.1326530612244898,0.49698985805935286,1.498470297474105,0.6963023321481466,0.05511811023622047,0.6411842219119261,0.6411842219119261,0.6662937329179096,0.5384615384615384,0.05511811023622047,0.10947014578339129,0.06517490000010184,0.049914699999931145,0.0,11.0,3514,0.05520419312606595,7
Logistic oriented,Logistic oriented,uncalibrated,selection validation,0.6138630600169062,0.07893123506014396,0.07311586051743532,0.7142857142857143,0.1326530612244898,0.49698985805935286,1.498470297474105,0.6963023321481466,0.05511811023622047,0.6411842219119261,0.6411842219119261,0.6662937329179096,0.5384615384615384,0.05511811023622047,0.10947014578339129,0.07501130000002831,0.055783400000109395,0.0,11.0,3514,0.05520419312606595,7
